»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,59,77,30,63,13,24,1.16,40
2015/1/2,«·∂»Œ€»æ,103,418,76,116,38,40,2.22,28
2015/1/3,«·∂»Œ€»æ,117,188,88,128,47,50,2.31,25
2015/1/4,«·∂»Œ€»æ,133,163,100,147,31,52,2.37,33
2015/1/5,÷–∂»Œ€»æ,184,265,142,208,49,50,2.64,28
2015/1/6,¡º,59,120,27,63,11,25,1.11,52
2015/1/7,¡º,93,251,68,107,41,34,1.89,32
2015/1/8,«·∂»Œ€»æ,106,217,79,111,67,40,2.19,22
2015/1/9,«·∂»Œ€»æ,126,219,95,127,48,58,2.57,19
2015/1/10,«·∂»Œ€»æ,124,208,93,123,39,50,2.45,27
2015/1/11,¡º,77,107,56,69,26,32,1.22,41
2015/1/12,«·∂»Œ€»æ,115,250,85,121,69,50,1.66,27
2015/1/13,÷–∂»Œ€»æ,164,310,124,169,100,69,2.56,20
2015/1/14,÷–∂»Œ€»æ,185,315,142,198,118,79,3.23,18
2015/1/15,÷–∂»Œ€»æ,199,304,153,209,76,70,3.5,21
2015/1/16,÷–∂»Œ€»æ,171,288,133,174,50,48,2.62,32
2015/1/17,¡º,84,138,61,85,50,44,1.93,34
2015/1/18,÷–∂»Œ€»æ,154,333,117,162,97,71,2.69,17
2015/1/19,¡º,100,211,74,90,33,37,1.95,38
2015/1/20,«·∂»Œ€»æ,136,298,102,139,56,65,2.69,25
2015/1/21,÷–∂»Œ€»æ,157,310,119,160,28,59,2.97,28
2015/1/22,«·∂»Œ€»æ,122,240,91,126,53,57,2.29,27
2015/1/23,«·∂»Œ€»æ,118,168,88,121,36,48,1.64,38
2015/1/24,¡º,81,79,58,81,14,38,1.37,46
2015/1/25,÷–∂»Œ€»æ,157,220,119,172,23,67,2.24,22
2015/1/26,«·∂»Œ€»æ,134,188,101,147,17,46,1.69,36
2015/1/27,¡º,66,131,40,79,16,27,0.97,44
2015/1/28,¡º,88,307,64,98,28,46,1.44,29
2015/1/29,«·∂»Œ€»æ,125,331,93,146,40,63,2.18,21
2015/1/30,¡º,84,234,61,86,21,37,2.11,40
2015/1/31,¡º,84,240,61,92,32,44,2.44,35
2015/2/1,«·∂»Œ€»æ,104,252,78,112,23,52,2,27
2015/2/2,«·∂»Œ€»æ,118,246,87,135,32,59,2.17,21
2015/2/3,«·∂»Œ€»æ,112,199,80,139,36,58,2.61,24
2015/2/4,«·∂»Œ€»æ,126,229,94,134,38,49,2.69,47
2015/2/5,«·∂»Œ€»æ,148,329,112,143,57,43,2.28,45
2015/2/6,«·∂»Œ€»æ,103,225,76,109,79,46,2.43,34
2015/2/7,¡º,96,176,42,120,73,22,1.47,45
2015/2/8,¡º,97,269,32,142,47,18,1.56,40
2015/2/9,¡º,72,141,50,86,23,32,1.91,35
2015/2/10,¡º,100,180,74,117,26,50,2.27,29
2015/2/11,«·∂»Œ€»æ,130,246,98,146,23,43,2.45,40
2015/2/12,¡º,59,65,38,58,11,20,1.34,54
2015/2/13,¡º,66,66,43,74,23,35,2.02,44
2015/2/14,«·∂»Œ€»æ,117,186,87,130,17,46,2.28,38
2015/2/15,÷ÿ∂»Œ€»æ,208,328,159,233,17,62,2.99,34
2015/2/16,÷ÿ∂»Œ€»æ,210,349,161,228,21,68,3.04,27
2015/2/17,«·∂»Œ€»æ,146,290,110,130,7,37,2.28,50
2015/2/18,¡º,59,72,41,49,7,15,1.47,70
2015/2/19,÷–∂»Œ€»æ,186,306,150,191,18,32,2.02,50
2015/2/20,¡º,85,268,62,83,18,34,2.2,43
2015/2/21,¡º,66,179,47,60,10,34,2.01,46
2015/2/22,—œ÷ÿŒ€»æ,270,346,52,370,6,11,1.79,60
2015/2/23,÷–∂»Œ€»æ,164,349,46,232,7,17,1.94,55
2015/2/24,¡º,70,171,49,77,9,25,2.13,46
2015/2/25,¡º,81,239,57,102,11,30,2.25,47
2015/2/26,¡º,54,157,35,50,6,15,1.85,66
2015/2/27,¡º,64,252,45,60,7,22,2.02,60
2015/2/28,¡º,74,274,51,91,19,24,2.12,59
2015/3/1,¡º,56,142,32,62,6,15,2.07,67
2015/3/2,¡º,82,218,59,100,15,34,2.59,49
2015/3/3,¡º,52,84,35,53,6,13,2.03,73
2015/3/4,”≈,49,110,32,47,6,13,2.07,73
2015/3/5,¡º,93,307,70,97,18,31,2.55,50
2015/3/6,¡º,89,250,62,101,13,30,2.56,54
2015/3/7,«·∂»Œ€»æ,103,279,76,118,12,38,2.89,52
2015/3/8,«·∂»Œ€»æ,134,327,101,146,14,38,2.95,54
2015/3/9,”≈,45,61,22,42,4,9,2.07,69
2015/3/10,”≈,43,43,25,43,9,16,2.24,60
2015/3/11,¡º,61,136,40,72,17,24,2.47,57
2015/3/12,¡º,59,110,35,63,11,16,2.28,81
2015/3/13,¡º,63,123,42,71,17,26,2.53,65
2015/3/14,¡º,62,87,42,65,11,28,2.61,62
2015/3/15,¡º,70,101,47,81,11,30,2.79,55
2015/3/16,«·∂»Œ€»æ,116,263,85,143,12,55,3.33,39
2015/3/17,«·∂»Œ€»æ,104,279,77,98,12,42,3.38,49
2015/3/18,¡º,74,222,50,88,15,36,3.11,47
2015/3/19,¡º,86,231,59,107,13,33,3.07,56
2015/3/20,¡º,78,188,48,100,12,31,2.84,61
2015/3/21,¡º,90,229,54,120,13,27,2.74,65
2015/3/22,¡º,100,238,24,134,7,12,2.48,71
2015/3/23,¡º,65,149,29,80,10,18,1.83,64
2015/3/24,¡º,68,198,45,81,18,24,0.73,60
2015/3/25,¡º,71,201,44,88,22,31,0.89,58
2015/3/26,«·∂»Œ€»æ,101,297,69,144,15,36,1.24,78
2015/3/27,«·∂»Œ€»æ,123,324,87,165,16,34,1.21,104
2015/3/28,«·∂»Œ€»æ,107,260,78,132,12,34,1.16,92
2015/3/29,«·∂»Œ€»æ,103,224,76,128,11,31,1.33,65
2015/3/30,«·∂»Œ€»æ,120,292,79,179,13,29,1.24,75
2015/3/31,¡º,95,262,62,117,10,28,0.99,75
2015/4/1,¡º,64,187,41,67,10,24,0.89,60
2015/4/2,¡º,83,304,56,113,12,34,1.07,32
2015/4/3,¡º,51,92,24,57,5,16,0.74,70
2015/4/4,¡º,67,187,44,80,12,33,1.07,35
2015/4/5,¡º,67,180,45,75,14,25,0.99,45
2015/4/6,¡º,54,172,34,58,2,8,0.27,79
2015/4/7,”≈,50,188,31,50,4,15,0.48,62
2015/4/8,¡º,64,227,41,73,5,25,0.77,55
2015/4/9,¡º,92,304,65,114,6,25,1.06,91
2015/4/10,«·∂»Œ€»æ,102,309,75,117,7,34,1.14,77
2015/4/11,«·∂»Œ€»æ,120,330,90,122,10,48,1.55,17
2015/4/12,¡º,87,308,63,84,3,22,1.02,71
2015/4/13,¡º,82,303,55,91,6,28,1.13,65
2015/4/14,¡º,88,260,57,93,7,25,1.04,90
2015/4/15,¡º,94,215,64,112,8,27,1.12,91
2015/4/16,¡º,82,130,59,89,4,23,1.11,81
2015/4/17,¡º,78,108,44,104,14,23,1.29,59
2015/4/18,¡º,91,219,61,116,5,26,1.24,80
2015/4/19,«·∂»Œ€»æ,109,342,67,161,6,19,1.16,107
2015/4/20,¡º,96,336,46,139,5,20,0.83,77
2015/4/21,¡º,87,290,56,118,12,32,1.02,50
2015/4/22,¡º,88,288,63,97,8,30,1.21,46
2015/4/23,¡º,90,256,59,116,6,31,1.09,60
2015/4/24,¡º,69,138,41,80,2,21,1.05,51
2015/4/25,¡º,76,157,42,100,4,22,0.97,83
2015/4/26,«·∂»Œ€»æ,119,325,81,157,10,24,1.12,146
2015/4/27,«·∂»Œ€»æ,121,335,72,136,9,21,0.88,160
2015/4/28,¡º,93,275,51,80,4,24,0.66,98
2015/4/29,¡º,84,227,56,100,4,25,0.75,88
2015/4/30,«·∂»Œ€»æ,103,279,70,120,5,27,0.89,93
2015/5/1,¡º,97,289,63,123,4,18,0.79,102
2015/5/2,¡º,69,255,44,66,4,11,0.62,91
2015/5/3,¡º,56,103,34,55,4,8,0.64,74
2015/5/4,¡º,65,176,30,79,3,9,0.55,67
2015/5/5,«·∂»Œ€»æ,124,338,50,175,2,15,0.76,71
2015/5/6,÷–∂»Œ€»æ,165,356,45,235,2,10,0.53,68
2015/5/7,¡º,71,135,42,85,4,12,0.62,73
2015/5/8,¡º,64,170,37,49,5,7,0.59,73
2015/5/9,”≈,39,41,24,23,5,5,0.55,64
2015/5/10,¡º,58,136,37,48,5,11,0.67,61
2015/5/11,¡º,65,277,37,72,5,14,0.81,77
2015/5/12,”≈,45,72,21,28,5,5,0.9,88
2015/5/13,”≈,49,55,25,32,7,11,0.94,84
2015/5/14,¡º,85,247,62,92,5,24,0.95,58
2015/5/15,¡º,65,208,43,58,2,11,0.57,72
2015/5/16,¡º,80,245,55,78,4,19,0.79,70
2015/5/17,¡º,93,265,56,103,5,17,0.75,96
2015/5/18,¡º,71,173,34,50,3,13,0.68,98
2015/5/19,”≈,50,107,34,37,4,14,0.66,54
2015/5/20,”≈,41,61,24,33,7,25,0.61,49
2015/5/21,¡º,69,221,36,71,14,24,0.71,71
2015/5/22,¡º,93,295,54,94,18,30,0.84,99
2015/5/23,¡º,91,267,60,86,10,32,0.8,111
2015/5/24,¡º,86,234,52,78,17,33,0.89,91
2015/5/25,¡º,80,200,47,76,16,29,0.87,91
2015/5/26,«·∂»Œ€»æ,123,294,86,91,17,29,0.9,116
2015/5/27,¡º,86,226,47,72,18,23,0.72,117
2015/5/28,¡º,88,258,54,86,4,23,0.57,90
2015/5/29,¡º,65,231,36,68,11,22,0.54,81
2015/5/30,”≈,47,90,26,36,3,17,0.52,59
2015/5/31,¡º,59,123,26,61,12,18,0.5,80
2015/6/1,¡º,67,169,34,53,5,19,0.57,104
2015/6/2,”≈,49,122,31,40,7,19,0.72,61
