日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,中度污染,160,336,121,160,50,46,1.54,38
2015/1/2,轻度污染,115,479,86,104,26,37,1.43,31
2015/1/3,轻度污染,128,210,97,114,22,40,1.62,24
2015/1/4,轻度污染,118,132,87,123,44,50,1.96,56
2015/1/5,优,44,18,30,38,19,22,1.55,39
2015/1/6,优,45,63,28,39,10,15,0.93,71
2015/1/7,良,71,147,51,72,29,29,1.19,55
2015/1/8,优,50,29,35,46,21,24,1.3,40
2015/1/9,优,27,4,17,22,15,28,1.32,39
2015/1/10,优,49,31,33,48,21,33,1.37,28
2015/1/11,优,30,9,20,24,18,26,1.34,30
2015/1/12,优,35,21,24,31,16,25,1.31,41
2015/1/13,轻度污染,129,268,84,157,32,34,1.91,28
2015/1/14,轻度污染,132,261,99,133,27,38,1.49,38
2015/1/15,轻度污染,124,229,93,117,28,30,1.46,32
2015/1/16,良,59,56,43,55,21,34,1.48,29
2015/1/17,轻度污染,118,228,89,109,30,39,1.78,21
2015/1/18,优,24,2,14,17,23,30,1.36,31
2015/1/19,良,75,103,54,73,25,34,1.37,34
2015/1/20,良,61,47,43,55,25,32,1.46,27
2015/1/21,良,70,81,50,70,23,31,1.46,51
2015/1/22,轻度污染,122,238,93,136,35,38,1.99,33
2015/1/23,轻度污染,150,245,115,150,36,38,1.66,45
2015/1/24,轻度污染,140,207,105,126,27,25,1.38,63
2015/1/25,轻度污染,126,179,95,115,29,34,1.44,69
2015/1/26,轻度污染,121,171,91,115,20,27,1.42,45
2015/1/27,良,56,96,39,48,18,27,1.59,30
2015/1/28,优,28,20,19,26,24,28,1.72,7
2015/1/29,优,19,7,10,16,14,21,1.34,19
2015/1/30,优,30,11,16,20,23,22,1.23,25
2015/1/31,优,44,37,31,38,25,26,1.14,25
2015/2/1,良,60,107,43,54,27,29,1.3,20
2015/2/2,良,75,115,55,69,20,35,1.37,13
2015/2/3,优,37,13,24,28,39,28,1.31,23
2015/2/4,优,48,51,31,44,20,25,1.08,54
2015/2/5,良,62,109,43,61,17,27,0.96,65
2015/2/6,良,89,167,65,83,31,30,1.21,39
2015/2/7,优,36,8,21,27,15,22,1.03,56
2015/2/8,良,61,104,43,55,15,23,1.16,56
2015/2/9,良,54,60,36,45,24,32,1.15,41
2015/2/10,良,64,71,46,56,18,32,1.22,44
2015/2/11,良,61,51,43,57,15,34,1.29,59
2015/2/12,轻度污染,114,199,77,125,30,38,2.07,43
2015/2/13,轻度污染,150,279,113,148,25,27,1.19,90
2015/2/14,良,98,140,72,103,21,25,1.43,53
2015/2/15,轻度污染,122,237,92,115,22,24,1.14,73
2015/2/16,轻度污染,129,247,97,125,22,29,1.29,85
2015/2/17,良,92,183,67,88,30,25,1.26,66
2015/2/18,良,96,217,70,105,24,29,1.4,46
2015/2/19,轻度污染,117,205,85,116,13,20,0.97,52
2015/2/20,轻度污染,104,299,77,105,12,16,1.03,50
2015/2/21,良,73,197,52,67,15,16,1.03,59
2015/2/22,优,27,6,17,23,6,14,1.06,38
2015/2/23,优,37,40,25,33,7,13,1.06,40
2015/2/24,优,44,63,26,39,21,16,1.05,56
2015/2/25,优,35,38,17,24,23,20,1.01,48
2015/2/26,优,34,38,16,22,12,17,1.1,43
2015/2/27,优,29,29,18,28,17,20,1.12,19
2015/2/28,优,15,1,4,7,12,15,0.99,32
2015/3/1,优,28,25,13,22,16,13,1.05,35
2015/3/2,优,30,5,20,27,18,18,1.09,27
2015/3/3,优,44,47,27,38,10,15,0.97,71
2015/3/4,优,47,98,32,42,22,21,1.1,36
2015/3/5,优,25,10,15,20,16,20,1.11,36
