»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,÷–∂»Œ€»æ,183,345,139,215,13,59,1.44,10
2015/1/2,÷ÿ∂»Œ€»æ,205,647,155,239,19,52,1.47,12
2015/1/3,÷ÿ∂»Œ€»æ,205,335,155,245,12,50,1.62,22
2015/1/4,÷ÿ∂»Œ€»æ,221,290,171,264,19,70,1.55,10
2015/1/5,÷–∂»Œ€»æ,152,211,115,176,18,55,1.79,13
2015/1/6,¡º,82,225,55,98,12,50,0.94,26
2015/1/7,¡º,97,266,71,130,16,52,0.95,19
2015/1/8,¡º,98,200,72,113,9,46,0.99,16
2015/1/9,«·∂»Œ€»æ,117,203,87,134,13,51,1.24,14
2015/1/10,«·∂»Œ€»æ,126,214,95,146,7,50,1.22,12
2015/1/11,÷–∂»Œ€»æ,160,282,121,181,14,47,1.27,12
2015/1/12,«·∂»Œ€»æ,138,296,104,161,18,57,1.46,19
2015/1/13,÷ÿ∂»Œ€»æ,248,360,197,288,25,75,2.24,8
2015/1/14,÷ÿ∂»Œ€»æ,235,347,184,266,29,77,1.91,7
2015/1/15,—œ÷ÿŒ€»æ,260,343,209,305,27,75,2.14,8
2015/1/16,÷–∂»Œ€»æ,151,267,114,165,17,61,1.36,24
2015/1/17,÷ÿ∂»Œ€»æ,213,356,164,251,28,70,1.69,12
2015/1/18,¡º,99,164,73,111,17,46,0.98,33
2015/1/19,÷–∂»Œ€»æ,177,353,134,207,27,62,1.45,16
2015/1/20,÷ÿ∂»Œ€»æ,216,356,166,247,26,71,1.69,22
2015/1/21,÷ÿ∂»Œ€»æ,207,361,161,251,21,78,2.1,36
2015/1/22,÷ÿ∂»Œ€»æ,237,358,187,292,29,90,2.3,25
2015/1/23,—œ÷ÿŒ€»æ,251,362,200,326,34,95,2.43,10
2015/1/24,÷ÿ∂»Œ€»æ,206,300,159,253,32,82,1.94,14
2015/1/25,÷ÿ∂»Œ€»æ,212,304,162,260,28,78,2.14,20
2015/1/26,÷–∂»Œ€»æ,189,269,142,217,31,63,1.84,11
2015/1/27,÷–∂»Œ€»æ,177,353,135,219,24,60,1.84,16
2015/1/28,”≈,41,92,25,42,7,29,1.39,24
2015/1/29,¡º,58,162,39,65,10,43,1.4,20
2015/1/30,¡º,83,232,61,101,16,45,1.26,20
2015/1/31,¡º,62,137,43,62,6,31,1.07,18
2015/2/1,¡º,68,134,49,65,5,35,1.22,7
2015/2/2,¡º,88,163,65,92,13,46,1.45,7
2015/2/3,«·∂»Œ€»æ,106,183,79,118,16,49,1.49,20
2015/2/4,«·∂»Œ€»æ,117,217,87,135,19,52,1.54,35
2015/2/5,«·∂»Œ€»æ,114,268,85,130,18,51,1.19,39
2015/2/6,÷–∂»Œ€»æ,153,334,115,170,23,59,1.44,17
2015/2/7,«·∂»Œ€»æ,114,236,86,123,20,45,1.25,36
2015/2/8,«·∂»Œ€»æ,119,309,89,140,14,55,1.31,25
2015/2/9,÷–∂»Œ€»æ,177,352,133,199,31,57,1.55,12
2015/2/10,÷–∂»Œ€»æ,195,351,147,208,21,63,1.56,21
2015/2/11,÷–∂»Œ€»æ,185,329,141,198,16,56,1.55,39
2015/2/12,÷–∂»Œ€»æ,192,326,145,217,18,76,2,46
2015/2/13,÷ÿ∂»Œ€»æ,204,349,156,222,13,76,1.92,45
2015/2/14,÷ÿ∂»Œ€»æ,221,340,170,223,19,72,1.81,50
2015/2/15,÷–∂»Œ€»æ,172,295,130,200,15,67,1.69,42
2015/2/16,¡º,95,164,65,129,10,45,1.04,57
2015/2/17,«·∂»Œ€»æ,123,258,92,154,13,42,1.19,67
2015/2/18,«·∂»Œ€»æ,117,276,87,132,13,32,1.17,73
2015/2/19,÷–∂»Œ€»æ,158,277,119,157,22,24,1.34,45
2015/2/20,¡º,68,207,49,66,11,26,1.34,47
2015/2/21,¡º,89,249,65,85,9,39,1.56,33
2015/2/22,¡º,54,93,36,56,6,17,0.91,62
2015/2/23,”≈,43,69,28,42,7,18,0.93,42
2015/2/24,¡º,57,113,40,52,8,26,1.09,29
2015/2/25,”≈,48,114,30,46,7,29,0.98,41
2015/2/26,¡º,54,153,33,57,9,31,0.95,42
2015/2/27,¡º,54,198,37,58,8,32,1.02,25
2015/2/28,”≈,40,125,22,42,8,26,1.05,42
2015/3/1,¡º,69,215,42,86,7,35,0.96,46
2015/3/2,¡º,82,219,59,100,19,43,1.08,35
2015/3/3,«·∂»Œ€»æ,104,279,57,143,10,37,0.73,47
2015/3/4,¡º,83,312,54,115,4,33,0.8,34
2015/3/5,¡º,55,156,33,65,6,30,0.79,33
2015/3/6,¡º,92,256,65,126,9,42,0.98,28
2015/3/7,«·∂»Œ€»æ,120,315,90,154,17,48,1.06,22
2015/3/8,¡º,92,253,67,114,13,49,1.1,46
2015/3/9,«·∂»Œ€»æ,126,330,94,156,24,73,1.98,41
