日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,良,62,86,38,66,129,31,1.18,23
2015/1/2,优,44,32,25,45,85,25,1.01,28
2015/1/3,良,86,106,57,104,141,37,1.65,23
2015/1/4,重度污染,207,274,160,283,340,71,3.58,14
2015/1/5,良,95,115,55,118,86,23,0.91,30
2015/1/6,优,40,39,17,39,60,22,0.66,30
2015/1/7,良,84,214,57,102,174,35,1.64,15
2015/1/8,轻度污染,118,248,85,152,192,35,1.69,13
2015/1/9,良,61,53,36,68,114,32,1.09,22
2015/1/10,良,88,113,55,105,115,28,1.44,26
2015/1/11,良,53,50,31,56,110,32,1.62,22
2015/1/12,轻度污染,119,257,89,149,225,45,2.52,11
2015/1/13,中度污染,167,314,127,205,223,57,2.86,16
2015/1/14,轻度污染,107,213,76,128,159,44,1.85,15
2015/1/15,轻度污染,110,202,82,134,183,41,2.15,11
2015/1/16,良,63,70,37,70,52,24,1.29,23
2015/1/17,良,90,158,64,108,214,39,2.32,20
2015/1/18,良,80,102,44,101,93,28,1.38,27
2015/1/19,良,61,62,38,69,133,36,1.79,23
2015/1/20,良,98,185,71,129,179,47,2.25,16
2015/1/21,良,86,133,61,100,137,36,1.97,17
2015/1/22,轻度污染,106,195,79,134,192,49,2.39,14
2015/1/23,良,89,86,49,112,77,30,1.63,26
2015/1/24,良,69,48,48,84,145,43,1.78,17
2015/1/25,中度污染,158,222,120,203,193,57,3.16,13
2015/1/26,轻度污染,105,147,58,128,69,20,1.51,27
2015/1/27,优,43,48,23,42,58,18,1.36,28
2015/1/28,良,76,275,52,87,140,35,1.94,17
2015/1/29,良,68,214,37,79,75,23,1.36,26
2015/1/30,优,35,28,14,34,43,19,0.99,30
2015/1/31,良,78,218,53,86,147,36,1.92,19
2015/2/1,轻度污染,137,318,105,168,249,47,2.76,14
2015/2/2,轻度污染,132,264,99,173,230,52,2.53,12
2015/2/3,轻度污染,112,201,81,138,139,37,1.66,20
2015/2/4,优,44,34,17,45,37,20,0.82,31
2015/2/5,优,44,25,21,46,82,28,0.97,29
2015/2/6,良,62,58,40,71,77,29,1.52,28
2015/2/7,良,51,38,9,57,21,10,0.82,34
2015/2/8,优,36,11,17,35,65,21,1.04,27
2015/2/9,良,83,184,52,103,131,36,1.73,20
2015/2/10,良,84,129,56,105,115,41,1.78,21
2015/2/11,良,78,99,47,88,95,29,1.26,26
2015/2/12,优,48,32,28,53,71,31,0.96,26
2015/2/13,良,82,142,55,102,129,43,1.76,18
2015/2/14,轻度污染,109,162,74,134,112,45,1.55,24
2015/2/15,良,96,167,66,127,140,53,1.61,19
2015/2/16,轻度污染,107,197,65,141,56,37,1.21,25
2015/2/17,优,39,11,14,40,21,17,1.03,35
2015/2/18,良,53,54,33,53,82,15,1.37,30
2015/2/19,严重污染,301,360,295,355,207,23,2.16,26
2015/2/20,轻度污染,124,331,93,126,48,22,1.64,34
2015/2/21,轻度污染,138,316,62,155,45,17,1.19,32
2015/2/22,中度污染,163,310,54,168,23,11,0.78,30
2015/2/23,良,61,129,40,66,81,28,1.32,25
2015/2/24,轻度污染,114,296,83,131,100,38,1.81,20
2015/2/25,优,48,113,29,49,37,23,1.18,23
2015/2/26,优,44,86,21,45,38,22,1.2,25
2015/2/27,优,42,118,28,42,63,28,1.23,26
2015/2/28,良,84,311,35,101,36,22,1.14,27
2015/3/1,良,74,237,19,91,43,26,1.24,28
2015/3/2,良,78,199,45,105,94,38,1.42,17
2015/3/3,良,63,128,18,80,21,12,0.62,30
2015/3/4,优,37,40,22,37,64,30,1.36,25
2015/3/5,轻度污染,102,327,72,121,91,34,1.5,25
2015/3/6,良,100,279,71,129,56,33,1.48,36
2015/3/7,良,88,233,58,108,47,28,1.37,34
2015/3/8,优,34,15,15,33,26,19,1.11,29
2015/3/9,优,48,77,14,52,19,13,1.25,30
2015/3/10,优,48,84,22,51,41,23,1.33,28
2015/3/11,优,31,23,10,30,27,20,0.83,30
2015/3/12,优,48,73,25,56,38,27,0.88,33
2015/3/13,优,50,74,26,56,59,37,1.22,25
2015/3/14,轻度污染,130,280,63,181,83,39,1.31,24
2015/3/15,重度污染,216,345,44,280,33,24,0.93,33
2015/3/16,轻度污染,101,223,57,150,52,41,1.27,31
2015/3/17,良,57,92,35,58,42,34,1.04,28
2015/3/18,良,100,300,59,143,63,40,1.43,26
2015/3/19,中度污染,154,341,40,241,37,27,1.25,27
2015/3/20,轻度污染,138,308,42,216,39,29,1.2,23
2015/3/21,轻度污染,115,290,30,172,18,19,1.02,26
2015/3/22,良,72,127,15,89,22,20,1.25,27
2015/3/23,优,49,45,25,53,35,29,1.17,22
2015/3/24,良,64,176,36,77,64,45,1.53,21
2015/3/25,良,80,247,51,106,44,40,1.41,30
2015/3/26,轻度污染,115,319,83,163,33,28,1.45,50
2015/3/27,轻度污染,101,273,68,144,28,27,1.3,51
2015/3/28,重度污染,227,359,74,314,26,37,1.25,35
2015/3/29,轻度污染,123,267,56,194,40,38,1.24,32
2015/3/30,中度污染,158,330,69,261,29,26,1.21,50
2015/3/31,良,87,240,48,123,20,27,0.78,34
2015/4/1,良,64,186,39,78,38,34,0.87,27
2015/4/2,优,49,96,31,47,29,39,0.87,32
2015/4/3,优,42,56,25,38,33,31,0.71,42
2015/4/4,良,92,282,68,101,44,39,0.89,35
2015/4/5,轻度污染,114,296,58,154,21,21,0.37,31
2015/4/6,优,28,12,16,27,15,13,0.39,37
2015/4/7,优,28,11,11,27,25,19,0.55,34
2015/4/8,良,51,134,26,57,42,28,0.76,25
