日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,优,33,10,13,31,37,19,0.48,37
2015/1/2,优,46,41,22,48,57,29,0.6,34
2015/1/3,良,75,79,50,85,86,44,1,29
2015/1/4,中度污染,181,234,136,208,66,69,1.97,24
2015/1/5,中度污染,167,236,124,185,36,49,1.33,20
2015/1/6,优,44,56,17,44,40,27,0.43,38
2015/1/7,优,44,33,20,43,47,31,0.58,32
2015/1/8,良,58,59,36,63,66,43,0.8,27
2015/1/9,轻度污染,108,189,80,116,85,60,1.37,20
2015/1/10,轻度污染,124,209,93,139,101,65,1.38,25
2015/1/11,良,53,51,32,55,45,29,0.49,38
2015/1/12,良,53,79,31,56,76,45,0.7,28
2015/1/13,优,46,70,30,49,61,45,0.78,27
2015/1/14,良,85,165,61,88,53,46,0.99,24
2015/1/15,中度污染,152,264,114,144,51,42,1.06,35
2015/1/16,轻度污染,121,212,90,109,45,32,0.9,33
2015/1/17,优,43,21,25,42,61,34,0.67,35
2015/1/18,轻度污染,136,284,102,148,79,51,1.26,26
2015/1/19,优,45,29,24,48,57,30,0.5,37
2015/1/20,良,52,24,26,53,38,33,0.56,40
2015/1/21,良,87,136,62,82,48,38,0.94,38
2015/1/22,良,60,41,42,55,54,32,0.71,43
2015/1/23,轻度污染,109,137,81,108,103,41,1.04,34
2015/1/24,轻度污染,114,160,84,115,93,41,1.06,24
2015/1/25,良,93,109,68,90,64,35,1.09,26
2015/1/26,轻度污染,103,140,76,96,47,29,1.2,38
2015/1/27,优,33,15,14,30,37,19,0.44,56
2015/1/28,优,50,148,30,50,59,26,0.63,43
2015/1/29,良,74,233,53,77,77,36,0.96,30
2015/1/30,优,40,42,21,37,35,23,0.54,49
2015/1/31,优,43,33,19,44,52,25,0.48,45
2015/2/1,良,75,169,52,81,74,44,1.29,29
2015/2/2,中度污染,191,340,149,197,107,69,2.37,25
2015/2/3,中度污染,194,308,148,191,111,68,2.34,26
2015/2/4,良,92,168,67,88,66,35,0.81,51
2015/2/5,优,37,9,19,33,49,24,0.44,52
2015/2/6,良,70,77,49,79,82,40,0.86,43
2015/2/7,良,85,129,34,109,48,25,0.54,49
2015/2/8,良,62,110,15,75,42,17,0.33,56
2015/2/9,良,76,158,48,89,88,39,0.87,40
2015/2/10,中度污染,176,341,134,204,95,57,1.55,30
2015/2/11,良,81,105,58,85,97,43,0.94,40
2015/2/12,优,45,26,25,46,51,25,0.55,48
2015/2/13,优,40,12,21,38,63,31,0.58,36
2015/2/14,中度污染,152,260,115,162,64,42,1.08,45
2015/2/15,轻度污染,117,222,87,116,28,29,0.85,55
2015/2/16,轻度污染,142,270,107,136,42,32,1.34,51
2015/2/17,良,56,58,39,56,27,20,0.59,50
2015/2/18,优,37,9,21,35,36,14,0.4,57
2015/2/19,良,94,151,69,92,71,21,0.67,49
2015/2/20,良,56,150,39,51,26,16,0.47,59
2015/2/21,良,69,185,49,60,30,19,0.71,49
2015/2/22,严重污染,347,356,91,534,30,17,0.96,48
2015/2/23,轻度污染,107,298,46,162,59,26,1.11,38
2015/2/24,良,71,176,35,90,45,29,0.93,43
2015/2/25,良,85,246,58,104,26,28,0.79,45
2015/2/26,优,32,31,18,31,36,19,0.61,46
2015/2/27,优,40,97,18,40,34,18,0.44,43
2015/2/28,优,46,164,30,45,52,23,0.55,39
2015/3/1,良,100,311,51,143,35,21,0.8,48
2015/3/2,轻度污染,108,298,78,142,63,43,0.89,48
2015/3/3,良,73,176,38,81,28,29,0.59,54
