»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,«·∂»Œ€»æ,120,312,90,118,13,50,1.23,11
2015/1/2,÷–∂»Œ€»æ,168,615,127,177,14,51,1.34,11
2015/1/3,÷–∂»Œ€»æ,164,289,124,170,11,41,1.4,17
2015/1/4,÷ÿ∂»Œ€»æ,203,268,154,223,18,56,1.35,11
2015/1/5,÷–∂»Œ€»æ,173,245,131,200,17,61,1.43,9
2015/1/6,¡º,51,85,31,56,11,32,0.5,27
2015/1/7,¡º,78,180,57,88,12,43,0.66,17
2015/1/8,¡º,82,144,60,81,15,38,0.76,21
2015/1/9,¡º,95,151,70,105,9,49,0.93,23
2015/1/10,«·∂»Œ€»æ,107,167,80,111,8,37,0.88,21
2015/1/11,«·∂»Œ€»æ,141,248,106,155,12,50,1.04,24
2015/1/12,÷–∂»Œ€»æ,159,318,120,167,17,66,1.34,20
2015/1/13,÷–∂»Œ€»æ,167,315,126,180,10,57,1.36,21
2015/1/14,÷–∂»Œ€»æ,188,319,142,202,21,65,1.41,22
2015/1/15,÷ÿ∂»Œ€»æ,202,306,155,233,23,73,1.58,24
2015/1/16,÷–∂»Œ€»æ,180,301,137,206,23,73,1.56,44
2015/1/17,÷–∂»Œ€»æ,161,314,122,164,16,51,1.24,39
2015/1/18,¡º,81,109,57,91,12,35,0.89,97
2015/1/19,«·∂»Œ€»æ,139,309,104,148,13,46,1.24,29
2015/1/20,÷–∂»Œ€»æ,180,337,136,186,20,52,1.53,33
2015/1/21,÷ÿ∂»Œ€»æ,227,365,176,257,42,73,1.8,51
2015/1/22,÷–∂»Œ€»æ,175,338,132,195,17,59,1.38,36
2015/1/23,÷–∂»Œ€»æ,153,250,115,185,18,58,1.28,18
2015/1/24,÷–∂»Œ€»æ,198,292,150,247,29,66,1.49,9
2015/1/25,÷–∂»Œ€»æ,186,271,142,217,22,47,1.28,19
2015/1/26,«·∂»Œ€»æ,142,200,107,164,20,45,1.24,16
2015/1/27,«·∂»Œ€»æ,128,307,96,152,12,33,1.13,30
2015/1/28,”≈,33,43,17,28,3,15,1.09,44
2015/1/29,¡º,61,175,38,73,14,28,1.07,30
2015/1/30,¡º,66,157,45,77,10,24,0.9,40
2015/1/31,”≈,44,36,29,40,2,16,0.77,37
2015/2/1,¡º,62,114,42,62,4,19,0.98,25
2015/2/2,¡º,92,179,68,92,9,25,1.08,17
2015/2/3,¡º,90,152,66,94,14,30,1.01,36
2015/2/4,¡º,89,161,65,99,21,42,1.05,46
2015/2/5,¡º,91,208,66,101,15,36,0.86,47
2015/2/6,«·∂»Œ€»æ,122,280,92,138,18,36,1.06,19
2015/2/7,¡º,100,191,73,117,18,39,1.04,37
2015/2/8,«·∂»Œ€»æ,112,298,83,140,18,45,1.05,33
2015/2/9,«·∂»Œ€»æ,118,305,88,137,15,32,0.98,31
2015/2/10,«·∂»Œ€»æ,128,261,96,138,32,33,1.02,46
2015/2/11,÷–∂»Œ€»æ,179,319,136,207,19,54,1.29,47
2015/2/12,÷–∂»Œ€»æ,169,299,127,185,16,48,1.35,55
2015/2/13,÷ÿ∂»Œ€»æ,217,355,167,247,30,54,1.57,41
2015/2/14,÷–∂»Œ€»æ,189,306,145,212,15,43,1.28,53
2015/2/15,«·∂»Œ€»æ,145,263,107,169,20,48,1.23,39
2015/2/16,«·∂»Œ€»æ,101,182,64,131,17,34,0.71,57
2015/2/17,«·∂»Œ€»æ,124,259,92,149,12,29,0.92,50
2015/2/18,«·∂»Œ€»æ,107,246,80,130,15,27,0.89,58
2015/2/19,¡º,100,168,73,103,10,15,0.85,46
2015/2/20,”≈,49,108,31,49,6,16,0.88,55
2015/2/21,¡º,71,190,51,75,7,24,1.03,38
2015/2/22,”≈,45,63,24,45,4,10,0.59,58
2015/2/23,”≈,37,42,19,35,2,11,0.71,41
2015/2/24,”≈,50,86,32,48,6,20,0.9,24
2015/2/25,¡º,53,137,31,53,8,19,0.85,39
2015/2/26,¡º,51,130,25,54,12,20,0.77,43
2015/2/27,”≈,47,157,26,47,3,15,0.9,38
2015/2/28,”≈,42,144,19,45,5,19,0.89,44
2015/3/1,¡º,64,189,33,75,12,21,0.71,54
2015/3/2,¡º,66,140,43,77,8,23,0.92,46
2015/3/3,«·∂»Œ€»æ,108,291,54,156,10,22,0.79,56
2015/3/4,¡º,75,283,33,97,15,17,0.77,54
2015/3/5,”≈,42,84,19,48,6,18,0.77,45
2015/3/6,¡º,91,255,61,127,13,33,1.04,29
2015/3/7,¡º,95,258,68,129,10,27,0.96,26
2015/3/8,¡º,94,257,68,125,16,37,1.12,42
2015/3/9,¡º,83,241,60,100,17,39,1.22,43
2015/3/10,¡º,78,251,56,88,14,27,0.94,50
2015/3/11,¡º,74,204,53,82,10,25,0.97,52
2015/3/12,«·∂»Œ€»æ,107,272,80,120,20,39,1.23,45
2015/3/13,«·∂»Œ€»æ,106,264,78,122,17,37,1.27,59
2015/3/14,¡º,97,195,72,109,19,38,1.21,61
2015/3/15,«·∂»Œ€»æ,110,222,82,126,10,28,1.25,62
2015/3/16,¡º,100,217,74,111,11,28,1.29,40
2015/3/17,¡º,86,230,60,101,15,31,1.26,59
2015/3/18,¡º,70,205,41,75,17,23,1.15,79
2015/3/19,¡º,55,81,30,55,13,24,1.14,68
2015/3/20,¡º,58,111,33,63,15,31,1.01,62
2015/3/21,¡º,69,139,41,74,13,30,1.04,73
2015/3/22,¡º,64,91,41,74,14,27,1.11,61
2015/3/23,¡º,54,69,29,56,13,25,1.01,59
2015/3/24,¡º,68,200,44,82,18,33,1.1,51
2015/3/25,¡º,74,220,52,86,14,25,1.17,62
2015/3/26,¡º,73,209,49,86,22,26,1.17,73
2015/3/27,¡º,93,254,67,113,21,35,1.25,41
2015/3/28,«·∂»Œ€»æ,117,279,88,148,19,44,1.45,23
2015/3/29,«·∂»Œ€»æ,133,288,98,163,19,37,1.36,62
2015/3/30,¡º,98,250,71,113,17,34,1.21,88
2015/3/31,¡º,94,260,59,103,38,25,0.94,97
2015/4/1,¡º,71,223,48,86,12,18,0.76,77
2015/4/2,¡º,82,300,44,111,13,23,0.71,91
2015/4/3,¡º,83,272,45,109,13,25,0.76,83
2015/4/4,¡º,56,116,20,60,8,12,0.57,73
2015/4/5,”≈,42,61,17,41,7,14,0.59,57
2015/4/6,”≈,36,47,10,22,7,11,0.59,73
2015/4/7,”≈,45,141,16,28,6,10,0.68,88
2015/4/8,”≈,40,66,20,36,7,15,0.83,60
2015/4/9,¡º,57,142,37,61,31,26,0.9,69
2015/4/10,¡º,68,195,45,80,15,35,0.92,56
2015/4/11,¡º,61,118,38,61,11,23,0.76,67
2015/4/12,¡º,83,284,50,88,14,30,0.83,88
2015/4/13,¡º,74,259,43,93,13,27,0.71,92
2015/4/14,¡º,92,277,64,123,19,37,0.88,84
2015/4/15,«·∂»Œ€»æ,129,307,85,156,23,40,1.02,99
2015/4/16,«·∂»Œ€»æ,101,216,67,118,20,31,0.9,99
2015/4/17,¡º,96,189,62,116,26,27,0.86,87
2015/4/18,¡º,67,116,39,81,13,17,0.75,79
2015/4/19,¡º,59,158,35,62,15,26,0.73,64
2015/4/20,¡º,61,180,38,68,17,31,0.78,49
2015/4/21,”≈,50,89,30,48,17,28,0.72,50
2015/4/22,¡º,57,93,31,60,20,41,0.78,58
2015/4/23,¡º,95,270,67,115,36,49,1.02,59
2015/4/24,¡º,99,282,72,115,16,29,0.91,82
2015/4/25,¡º,80,181,55,92,11,29,0.87,86
2015/4/26,«·∂»Œ€»æ,141,353,106,159,26,47,1.11,105
2015/4/27,÷–∂»Œ€»æ,173,355,126,201,26,48,1.27,125
2015/4/28,÷–∂»Œ€»æ,155,359,110,180,32,38,1.21,122
2015/4/29,«·∂»Œ€»æ,143,338,97,165,42,39,1.12,131
2015/4/30,«·∂»Œ€»æ,112,298,80,141,24,33,1.07,93
2015/5/1,¡º,56,106,19,46,7,13,0.73,101
2015/5/2,¡º,81,314,38,85,16,25,0.89,90
2015/5/3,¡º,60,136,31,64,11,21,0.82,72
2015/5/4,¡º,51,79,18,40,11,14,0.7,91
2015/5/5,¡º,59,98,36,61,7,11,0.82,90
2015/5/6,«·∂»Œ€»æ,101,275,70,122,16,26,1.06,95
2015/5/7,«·∂»Œ€»æ,124,333,92,164,17,27,1.17,114
2015/5/8,¡º,92,317,28,76,9,19,0.82,125
2015/5/9,¡º,93,320,45,110,17,30,0.95,101
2015/5/10,¡º,91,298,49,114,14,23,0.95,100
2015/5/11,¡º,97,354,31,141,11,17,0.7,85
2015/5/12,«·∂»Œ€»æ,117,358,51,182,18,28,0.86,80
2015/5/13,¡º,94,309,52,123,19,24,0.96,98
2015/5/14,¡º,95,280,58,117,23,24,1.02,109
2015/5/15,¡º,83,279,45,86,23,18,0.92,103
2015/5/16,¡º,58,130,25,50,10,11,0.88,94
2015/5/17,¡º,61,121,37,55,8,13,0.93,95
2015/5/18,«·∂»Œ€»æ,111,324,69,107,13,24,1.16,130
2015/5/19,«·∂»Œ€»æ,115,318,80,120,32,26,1.24,109
2015/5/20,¡º,86,288,55,83,12,21,1.16,87
2015/5/21,”≈,39,47,19,34,6,13,1,69
2015/5/22,¡º,51,99,18,32,8,16,0.9,93
2015/5/23,¡º,61,161,27,48,11,22,0.86,91
2015/5/24,¡º,56,98,32,47,8,17,0.96,83
2015/5/25,”≈,49,60,27,43,7,15,0.91,83
2015/5/26,¡º,51,81,28,46,9,16,0.93,72
2015/5/27,¡º,99,246,67,101,14,32,1.15,82
2015/5/28,¡º,95,272,69,99,14,24,1.01,80
2015/5/29,”≈,49,95,16,31,7,16,0.66,91
2015/5/30,¡º,72,268,29,54,16,29,0.75,88
2015/5/31,¡º,68,180,32,52,12,16,0.72,112
2015/6/1,¡º,67,167,37,55,9,14,0.74,100
2015/6/2,”≈,49,124,25,44,12,17,0.77,55
2015/6/3,”≈,50,165,22,46,11,18,0.76,58
2015/6/4,”≈,43,101,14,30,6,14,0.76,81
2015/6/5,¡º,63,194,24,57,13,29,0.68,72
2015/6/6,¡º,54,123,26,46,12,21,0.64,75
2015/6/7,¡º,57,171,32,50,9,15,0.68,78
