日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,优,46,37,21,47,38,33,0.84,30
2015/1/2,良,65,144,35,78,61,44,1.01,25
2015/1/3,良,72,70,43,93,61,51,1.06,21
2015/1/4,良,88,67,60,123,73,59,1.31,23
2015/1/5,良,68,61,27,86,27,22,0.64,44
2015/1/6,优,42,47,18,42,49,39,1.02,27
2015/1/7,良,64,111,25,75,35,32,0.67,34
2015/1/8,良,92,175,30,132,17,24,0.6,45
2015/1/9,优,48,32,17,50,26,30,0.71,43
2015/1/10,良,51,35,22,54,30,43,0.78,36
2015/1/11,良,67,94,41,80,51,63,1.64,32
2015/1/12,轻度污染,104,218,75,149,86,68,1.35,31
2015/1/13,中度污染,175,323,132,194,60,52,1.61,43
2015/1/14,良,67,129,43,81,29,37,0.89,45
2015/1/15,良,66,93,36,81,24,34,0.9,39
2015/1/16,优,36,8,12,33,20,24,0.53,47
2015/1/17,良,55,41,24,60,34,33,0.7,35
2015/1/18,良,53,37,14,57,10,15,0.45,57
2015/1/19,良,52,40,20,55,49,40,0.77,31
2015/1/20,优,47,21,12,47,15,15,0.41,56
2015/1/21,优,31,3,10,27,27,25,0.62,44
2015/1/22,良,57,33,25,62,45,44,0.75,32
2015/1/23,良,64,28,29,76,42,44,0.97,32
2015/1/24,良,76,63,46,98,71,58,1.2,22
2015/1/25,良,61,30,35,69,34,39,0.98,39
2015/1/26,良,68,52,28,79,24,26,0.68,44
2015/1/27,优,48,65,13,50,39,27,0.72,39
2015/1/28,良,81,292,49,88,54,37,1.14,23
2015/1/29,优,42,68,18,38,17,13,0.53,50
2015/1/30,优,32,19,13,31,22,22,0.71,43
2015/1/31,良,51,80,29,56,48,40,1.2,31
2015/2/1,轻度污染,117,278,87,126,95,48,1.37,35
2015/2/2,轻度污染,135,271,102,125,80,43,1.49,44
2015/2/3,良,79,111,53,74,21,19,0.79,61
2015/2/4,优,29,6,8,22,13,14,0.45,55
2015/2/5,优,32,4,12,29,30,33,0.83,44
2015/2/6,优,27,2,11,22,20,27,0.76,49
2015/2/7,优,32,2,10,30,23,18,0.6,53
2015/2/8,优,37,13,14,36,36,32,0.71,40
2015/2/9,优,45,19,21,45,35,39,0.87,41
2015/2/10,良,61,56,28,72,24,27,0.6,58
2015/2/11,良,87,125,33,123,12,17,0.52,53
2015/2/12,良,64,81,25,77,17,21,0.62,47
2015/2/13,优,47,18,16,48,24,23,0.82,46
2015/2/14,良,69,59,32,85,49,30,0.76,49
2015/2/15,严重污染,273,354,74,389,7,8,0.39,66
2015/2/16,良,63,54,20,79,15,17,0.56,51
2015/2/17,优,49,42,21,52,35,25,0.8,45
2015/2/18,良,74,124,46,87,62,20,0.89,59
2015/2/19,轻度污染,145,254,111,157,76,23,1.28,62
2015/2/20,轻度污染,112,311,77,126,14,18,0.82,52
2015/2/21,中度污染,161,342,34,228,6,6,0.34,67
2015/2/22,良,66,133,13,83,18,10,0.48,59
2015/2/23,良,70,161,23,88,23,16,0.62,49
2015/2/24,轻度污染,125,314,31,176,12,9,0.49,61
2015/2/25,优,42,80,12,41,18,9,0.53,57
2015/2/26,优,33,32,11,32,24,11,0.65,58
2015/2/27,良,73,290,48,73,42,26,1.19,37
2015/2/28,良,55,205,16,58,10,11,0.54,57
2015/3/1,优,45,87,15,44,25,16,0.6,56
2015/3/2,良,85,231,25,118,8,9,0.49,65
2015/3/3,良,64,134,14,80,13,11,0.62,62
2015/3/4,优,42,64,16,42,27,24,0.86,47
2015/3/5,良,73,248,36,94,37,31,0.93,43
2015/3/6,良,82,227,49,94,19,21,0.73,51
2015/3/7,良,72,170,24,93,14,19,0.7,55
2015/3/8,良,80,216,25,108,11,8,0.48,64
2015/3/9,优,34,13,7,30,14,9,0.51,60
2015/3/10,优,31,9,8,29,15,15,0.58,55
2015/3/11,优,38,37,11,36,14,20,0.58,56
2015/3/12,良,57,104,18,65,9,11,0.47,71
2015/3/13,优,45,58,14,48,25,18,0.56,59
2015/3/14,轻度污染,129,276,34,206,7,9,0.36,71
2015/3/15,良,87,158,30,123,20,22,0.6,55
2015/3/16,良,83,168,30,114,17,17,0.55,67
2015/3/17,良,73,172,20,93,22,26,0.61,57
2015/3/18,良,62,164,20,72,9,19,0.48,63
2015/3/19,良,64,132,16,78,4,11,0.38,69
2015/3/20,轻度污染,124,290,33,182,7,11,0.4,70
2015/3/21,良,70,147,25,91,9,18,0.53,64
2015/3/22,良,54,45,13,57,29,21,0.56,55
2015/3/23,优,39,12,12,36,20,24,0.55,60
2015/3/24,优,44,46,18,43,26,33,0.78,57
2015/3/25,良,75,221,45,98,34,25,0.84,79
2015/3/26,良,68,186,45,70,21,25,0.73,72
2015/3/27,良,82,211,29,99,14,16,0.6,74
2015/3/28,中度污染,162,344,47,224,14,17,0.49,72
2015/3/29,轻度污染,106,229,36,160,41,28,0.66,68
2015/3/30,良,84,211,43,116,47,22,0.85,99
2015/3/31,轻度污染,138,330,31,216,20,15,0.5,83
2015/4/1,良,51,95,22,54,12,20,0.89,62
2015/4/2,优,32,17,14,22,11,16,0.75,64
2015/4/3,优,39,35,18,31,19,19,0.58,73
2015/4/4,良,52,89,17,54,5,12,0.44,74
2015/4/5,良,87,252,22,121,7,10,0.36,82
2015/4/6,优,40,68,18,36,16,14,0.49,75
2015/4/7,优,39,69,12,33,23,17,0.49,75
2015/4/8,优,47,105,23,45,23,21,0.61,70
2015/4/9,优,46,71,17,46,7,19,0.56,74
2015/4/10,良,76,225,18,99,9,15,0.48,82
2015/4/11,良,88,262,20,124,8,13,0.44,81
2015/4/12,优,49,54,15,43,11,9,0.49,91
2015/4/13,优,47,26,18,35,20,22,0.69,84
2015/4/14,优,45,8,14,30,13,19,0.54,92
2015/4/15,重度污染,228,360,67,348,13,11,0.44,96
2015/4/16,良,87,149,27,109,9,16,0.5,99
2015/4/17,良,63,58,20,73,16,29,0.66,82
2015/4/18,良,62,89,20,65,11,17,0.57,97
2015/4/19,良,69,223,9,30,9,15,0.38,128
2015/4/20,良,61,181,11,32,8,20,0.46,109
2015/4/21,良,60,153,9,42,4,10,0.39,109
2015/4/22,良,56,87,11,37,9,20,0.55,99
