日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,良,71,143,48,86,20,43,1.01,71
2015/1/2,良,76,225,52,96,19,61,1.25,49
2015/1/3,轻度污染,134,225,101,153,29,96,1.66,40
2015/1/4,良,92,73,67,107,23,84,1.46,45
2015/1/5,良,82,84,59,88,28,78,1.43,10
2015/1/6,轻度污染,111,286,83,114,21,84,1.61,17
2015/1/7,良,61,94,43,60,16,35,1.84,14
2015/1/8,良,62,73,44,61,18,33,1.43,59
2015/1/9,良,77,96,56,73,22,50,1.26,50
2015/1/10,良,79,94,57,79,23,54,1.25,45
2015/1/11,良,75,103,54,67,14,45,1.18,26
2015/1/12,优,48,58,32,43,4,39,1.24,22
2015/1/13,优,24,9,12,22,5,36,1.18,24
2015/1/14,优,37,32,22,36,9,37,0.96,33
2015/1/15,良,61,76,43,62,9,54,0.92,39
2015/1/16,良,84,133,61,98,17,70,1.28,29
2015/1/17,良,68,72,48,67,14,54,0.88,49
2015/1/18,良,100,165,74,101,22,57,1.12,54
2015/1/19,良,89,156,65,94,19,60,1.13,63
2015/1/20,中度污染,175,334,133,180,37,145,2.07,37
2015/1/21,中度污染,163,326,123,157,33,120,1.87,42
2015/1/22,良,80,100,58,83,19,75,1.22,50
2015/1/23,良,87,79,64,96,30,90,1.09,39
2015/1/24,良,99,120,73,102,28,90,1.12,38
2015/1/25,良,93,111,68,91,22,70,1.15,28
2015/1/26,良,92,112,68,87,21,68,1.23,21
2015/1/27,良,88,212,64,82,22,68,1.11,20
2015/1/28,良,69,247,49,68,14,55,1.05,37
2015/1/29,良,72,231,51,82,18,67,1.03,45
2015/1/30,良,51,96,32,52,12,39,1.16,14
2015/1/31,良,51,78,35,51,12,37,0.97,17
2015/2/1,良,59,106,41,58,11,40,1.02,30
2015/2/2,良,74,109,53,79,13,61,1.15,34
2015/2/3,轻度污染,107,187,80,106,22,80,1.36,27
2015/2/4,良,68,115,49,62,11,41,1.33,12
2015/2/5,良,58,88,41,52,9,25,1.07,39
2015/2/6,轻度污染,117,269,87,110,25,50,1.13,47
2015/2/7,轻度污染,129,270,97,128,25,69,1.39,21
2015/2/8,良,88,241,65,86,18,40,0.99,66
2015/2/9,良,96,239,71,94,21,58,1.06,71
2015/2/10,轻度污染,125,253,94,125,23,78,1.21,60
2015/2/11,轻度污染,146,272,110,141,26,87,1.44,31
2015/2/12,轻度污染,149,260,112,140,15,73,1.36,53
2015/2/13,良,95,189,70,98,15,95,1.37,47
2015/2/14,良,85,98,63,91,18,88,1.19,43
2015/2/15,轻度污染,103,190,76,97,5,60,1.34,20
2015/2/16,良,65,61,46,65,2,44,1.27,22
2015/2/17,良,55,56,38,52,4,39,1.03,32
2015/2/18,良,68,99,48,71,6,37,0.99,60
2015/2/19,良,84,129,61,94,11,27,0.97,70
2015/2/20,良,52,120,34,51,4,21,0.78,71
2015/2/21,优,50,114,33,48,4,29,0.78,41
2015/2/22,优,43,56,29,40,4,32,0.8,24
2015/2/23,优,29,18,17,28,3,34,0.82,18
2015/2/24,优,36,35,23,34,4,32,0.93,19
2015/2/25,优,34,31,22,32,3,28,0.9,25
2015/2/26,优,37,49,23,35,7,33,0.82,23
2015/2/27,优,32,49,18,31,5,34,0.79,26
2015/2/28,优,36,99,22,35,7,37,0.77,38
2015/3/1,优,18,3,9,17,3,23,0.93,30
2015/3/2,优,45,49,31,45,9,48,1.02,20
2015/3/3,优,46,56,30,40,7,48,1.13,13
2015/3/4,优,21,4,11,17,5,30,0.94,19
