日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,中度污染,151,334,116,156,46,52,2.86,17
2015/1/2,重度污染,206,648,159,215,45,50,3.44,25
2015/1/3,重度污染,233,347,183,230,42,55,3.46,21
2015/1/4,严重污染,278,338,228,272,60,56,3.98,13
2015/1/5,重度污染,238,316,189,225,30,46,3.26,21
2015/1/6,优,46,67,28,36,17,20,1.59,44
2015/1/7,良,95,259,70,88,20,27,2,20
2015/1/8,轻度污染,118,246,88,103,21,32,1.98,20
2015/1/9,中度污染,177,291,135,159,25,40,2.55,19
2015/1/10,重度污染,220,330,173,188,18,41,2.94,21
2015/1/11,重度污染,207,336,160,180,17,39,2.79,26
2015/1/12,中度污染,197,344,152,164,19,38,2.72,25
2015/1/13,严重污染,258,361,208,231,24,47,3.17,14
2015/1/14,严重污染,315,366,265,274,41,50,3.96,23
2015/1/15,中度污染,191,296,146,162,33,44,2.82,21
2015/1/16,中度污染,172,291,130,153,21,38,2.4,28
2015/1/17,轻度污染,135,266,101,120,16,38,1.59,31
2015/1/18,轻度污染,136,282,102,117,13,32,1.63,23
2015/1/19,重度污染,205,362,160,191,19,42,2.41,12
2015/1/20,重度污染,223,362,175,204,26,46,2.97,18
2015/1/21,中度污染,157,312,118,154,28,41,2.21,30
2015/1/22,轻度污染,138,280,104,137,29,43,1.91,33
2015/1/23,中度污染,182,317,137,170,28,52,2.05,14
2015/1/24,重度污染,234,330,183,212,37,54,2.59,12
2015/1/25,重度污染,221,314,172,203,31,47,2.77,12
2015/1/26,严重污染,266,336,215,252,39,56,3.08,19
2015/1/27,中度污染,162,346,127,153,30,30,2.31,46
2015/1/28,优,43,107,28,40,22,16,1.43,56
2015/1/29,良,64,191,46,58,26,19,1.41,49
2015/1/30,良,87,240,64,85,22,27,1.64,36
2015/1/31,良,74,206,53,62,22,15,1.35,69
2015/2/1,轻度污染,124,293,93,99,27,21,1.67,62
2015/2/2,中度污染,175,325,132,154,25,41,2.19,29
2015/2/3,中度污染,188,302,143,168,15,36,2.49,34
2015/2/4,轻度污染,141,252,106,133,22,38,2.35,38
2015/2/5,轻度污染,120,281,89,116,21,36,2.11,44
2015/2/6,轻度污染,124,285,93,120,21,40,1.83,38
2015/2/7,良,95,161,63,98,17,28,1.5,55
2015/2/8,良,78,193,55,85,14,27,1.35,54
2015/2/9,良,96,240,70,95,20,31,1.46,60
2015/2/10,轻度污染,133,276,100,133,19,42,2.09,34
2015/2/11,轻度污染,125,231,94,131,24,42,2.02,45
2015/2/12,轻度污染,118,206,88,122,22,41,1.54,60
2015/2/13,轻度污染,135,263,101,132,17,44,1.61,52
2015/2/14,中度污染,173,287,131,159,17,48,1.97,29
2015/2/15,轻度污染,147,268,96,157,15,33,1.76,40
2015/2/16,良,91,150,55,117,17,26,1.34,52
2015/2/17,轻度污染,110,231,81,126,19,30,1.71,48
2015/2/18,中度污染,157,340,119,169,23,25,1.98,53
2015/2/19,轻度污染,114,199,85,118,16,13,1.48,80
2015/2/20,轻度污染,111,309,83,105,8,14,1.63,56
2015/2/21,良,82,229,60,74,11,16,1.72,43
2015/2/22,良,92,190,66,92,12,19,1.84,36
2015/2/23,良,54,100,37,51,9,14,1.5,46
2015/2/24,良,55,108,38,51,10,19,1.78,24
2015/2/25,良,83,243,60,77,12,22,2.1,18
2015/2/26,良,89,273,58,109,18,24,1.9,31
2015/2/27,良,55,202,30,55,10,11,1.44,75
2015/2/28,优,46,163,29,35,8,14,1.39,69
2015/3/1,良,61,178,43,58,9,19,1.62,38
2015/3/2,良,75,188,54,77,18,28,1.89,29
2015/3/3,中度污染,155,344,74,254,12,22,1.59,54
2015/3/4,良,100,336,54,149,13,15,1.28,57
2015/3/5,优,43,87,29,35,8,12,1.05,51
2015/3/6,良,64,153,45,59,13,20,1.08,49
2015/3/7,良,78,193,57,86,17,31,1.4,31
2015/3/8,良,65,146,44,73,17,27,1.4,53
2015/3/9,良,75,214,52,82,21,33,1.29,55
2015/3/10,轻度污染,134,334,100,135,17,19,1.3,71
2015/3/11,轻度污染,119,332,89,124,15,26,1.47,56
2015/3/12,良,90,220,65,101,24,36,1.33,58
2015/3/13,良,85,198,62,91,22,39,1.32,45
2015/3/14,良,96,191,70,116,18,37,1.25,66
2015/3/15,轻度污染,116,243,87,123,15,32,1.2,68
2015/3/16,轻度污染,110,244,82,124,14,38,1.24,38
2015/3/17,轻度污染,124,302,93,132,29,36,1.65,29
2015/3/18,良,69,200,48,73,17,31,1.48,40
2015/3/19,优,36,22,23,33,13,26,1.32,36
2015/3/20,优,43,40,28,43,17,25,1.13,38
2015/3/21,良,64,113,41,72,13,26,0.96,49
2015/3/22,良,83,177,60,100,26,42,1.46,18
2015/3/23,良,65,147,42,59,16,23,1.18,50
2015/3/24,优,49,75,30,48,10,19,0.93,50
2015/3/25,良,60,137,42,58,10,17,0.97,57
2015/3/26,良,52,83,33,53,9,14,0.88,71
2015/3/27,优,50,69,32,48,9,24,1.04,58
2015/3/28,良,74,145,53,81,16,32,1.38,36
2015/3/29,良,65,96,40,70,17,26,1.27,64
2015/3/30,良,79,187,57,84,18,34,1.22,52
2015/3/31,良,83,221,61,83,13,31,1.25,39
2015/4/1,良,53,111,36,48,9,25,1.38,29
2015/4/2,优,49,99,24,61,9,19,1.32,41
2015/4/3,良,69,199,34,87,7,19,1.16,38
2015/4/4,优,31,9,11,17,5,13,1.15,59
2015/4/5,优,26,5,8,15,7,14,0.9,50
2015/4/6,优,35,39,11,17,4,11,0.82,70
2015/4/7,优,47,158,27,37,5,10,0.9,90
2015/4/8,优,50,131,34,49,5,17,0.88,70
2015/4/9,良,58,151,36,62,9,27,1.09,43
2015/4/10,良,55,108,34,59,15,30,1.12,45
