»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,«·∂»Œ€»æ,116,301,76,161,75,57,1.68,28
2015/1/2,«·∂»Œ€»æ,142,574,104,198,69,65,1.9,25
2015/1/3,÷ÿ∂»Œ€»æ,216,338,164,299,100,89,2.45,15
2015/1/4,—œ÷ÿŒ€»æ,419,357,314,527,130,118,3.07,21
2015/1/5,—œ÷ÿŒ€»æ,444,360,361,589,119,124,5.18,10
2015/1/6,¡º,89,245,35,125,44,40,1.27,34
2015/1/7,«·∂»Œ€»æ,115,303,85,152,101,68,2.23,19
2015/1/8,÷ÿ∂»Œ€»æ,208,348,163,264,147,95,3.2,10
2015/1/9,—œ÷ÿŒ€»æ,281,354,219,370,125,97,3.34,17
2015/1/10,—œ÷ÿŒ€»æ,291,358,232,371,135,106,3.39,19
2015/1/11,÷–∂»Œ€»æ,161,283,118,212,69,61,1.87,33
2015/1/12,¡º,98,206,70,124,75,57,1.58,19
2015/1/13,÷–∂»Œ€»æ,188,339,143,243,99,71,2.73,17
2015/1/14,—œ÷ÿŒ€»æ,261,356,209,327,111,87,3.56,5
2015/1/15,—œ÷ÿŒ€»æ,350,361,284,438,44,83,4.25,4
2015/1/16,—œ÷ÿŒ€»æ,313,363,245,401,48,89,3.83,21
2015/1/17,«·∂»Œ€»æ,105,201,73,147,54,52,1.66,32
2015/1/18,÷ÿ∂»Œ€»æ,239,367,93,328,54,44,1.65,40
2015/1/19,«·∂»Œ€»æ,123,273,78,192,86,54,2,28
2015/1/20,÷–∂»Œ€»æ,187,345,142,280,82,86,2.94,9
2015/1/21,÷–∂»Œ€»æ,154,299,101,207,56,63,2.47,29
2015/1/22,«·∂»Œ€»æ,116,222,84,148,49,49,1.76,33
2015/1/23,÷–∂»Œ€»æ,189,328,146,245,72,69,2.26,24
2015/1/24,—œ÷ÿŒ€»æ,318,362,259,397,93,89,4.66,9
2015/1/25,«·∂»Œ€»æ,128,182,95,132,32,37,1.74,31
2015/1/26,÷ÿ∂»Œ€»æ,222,299,173,254,35,56,2.83,15
2015/1/27,¡º,82,180,54,89,34,39,1.73,38
2015/1/28,¡º,80,288,54,99,56,43,2.18,30
2015/1/29,«·∂»Œ€»æ,138,339,103,166,88,59,2.51,21
2015/1/30,«·∂»Œ€»æ,131,328,97,154,68,57,2.39,29
2015/1/31,«·∂»Œ€»æ,109,304,77,142,56,60,1.84,36
2015/2/1,«·∂»Œ€»æ,124,292,92,161,90,80,1.71,24
2015/2/2,÷–∂»Œ€»æ,152,298,114,197,79,64,1.87,31
2015/2/3,—œ÷ÿŒ€»æ,330,362,273,409,113,99,4.01,16
2015/2/4,«·∂»Œ€»æ,131,239,86,171,64,52,1.84,42
2015/2/5,¡º,76,161,43,100,40,43,1.36,45
2015/2/6,«·∂»Œ€»æ,140,323,105,190,66,62,2.07,33
2015/2/7,÷–∂»Œ€»æ,172,344,111,240,80,53,2.7,37
2015/2/8,¡º,66,132,33,81,27,31,1.04,49
2015/2/9,«·∂»Œ€»æ,113,293,71,173,58,48,1.75,37
2015/2/10,«·∂»Œ€»æ,129,265,90,205,80,63,1.91,38
2015/2/11,÷–∂»Œ€»æ,169,307,119,258,81,76,2.79,31
2015/2/12,¡º,99,175,66,138,50,52,1.52,49
2015/2/13,÷–∂»Œ€»æ,157,288,118,199,74,57,1.76,62
2015/2/14,÷ÿ∂»Œ€»æ,231,348,163,334,55,39,1.9,104
2015/2/15,÷ÿ∂»Œ€»æ,216,336,170,260,37,52,2.82,19
2015/2/16,÷–∂»Œ€»æ,169,313,99,234,36,33,2.17,47
2015/2/17,«·∂»Œ€»æ,140,284,93,216,40,39,1.89,49
2015/2/18,÷–∂»Œ€»æ,193,363,154,226,48,35,2.22,60
2015/2/19,÷–∂»Œ€»æ,193,316,149,230,95,35,2.03,44
2015/2/20,÷ÿ∂»Œ€»æ,208,359,162,211,29,26,2.29,37
2015/2/21,—œ÷ÿŒ€»æ,265,362,212,282,31,29,2.69,33
2015/2/22,«·∂»Œ€»æ,117,237,33,182,22,18,1.4,65
2015/2/23,÷–∂»Œ€»æ,153,344,95,254,48,28,2.25,53
2015/2/24,÷ÿ∂»Œ€»æ,230,361,172,340,25,31,2.48,23
2015/2/25,—œ÷ÿŒ€»æ,264,361,185,336,38,42,3.54,40
2015/2/26,¡º,92,277,66,113,41,32,1.86,53
2015/2/27,¡º,84,315,60,100,49,34,1.67,43
2015/2/28,«·∂»Œ€»æ,101,339,75,106,34,24,1.29,45
2015/3/1,«·∂»Œ€»æ,122,338,79,154,48,41,1.54,50
2015/3/2,«·∂»Œ€»æ,122,327,84,190,58,50,1.49,33
2015/3/3,¡º,92,254,34,130,21,21,0.7,70
2015/3/4,¡º,62,214,32,72,25,26,0.92,63
2015/3/5,«·∂»Œ€»æ,107,336,72,149,55,36,1.14,54
2015/3/6,÷–∂»Œ€»æ,153,348,111,216,36,27,1.08,68
2015/3/7,«·∂»Œ€»æ,138,336,104,179,32,29,1.06,81
2015/3/8,÷–∂»Œ€»æ,174,350,134,210,32,38,1.42,56
2015/3/9,¡º,87,259,42,111,16,25,0.92,57
2015/3/10,¡º,95,296,51,138,37,35,1.1,56
2015/3/11,«·∂»Œ€»æ,112,320,73,165,33,34,1.1,65
2015/3/12,÷–∂»Œ€»æ,175,354,131,271,83,65,1.83,57
2015/3/13,«·∂»Œ€»æ,150,326,110,191,54,58,1.58,46
2015/3/14,÷ÿ∂»Œ€»æ,206,355,96,283,60,48,1.25,70
2015/3/15,÷–∂»Œ€»æ,197,335,137,299,46,49,1.3,68
2015/3/16,÷–∂»Œ€»æ,190,338,138,238,30,26,1.14,69
2015/3/17,÷–∂»Œ€»æ,182,346,120,243,31,36,1.12,57
