»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,87,225,60,113,129,47,2.89,15
2015/1/2,«·∂»Œ€»æ,117,488,85,159,160,61,4.05,11
2015/1/3,«·∂»Œ€»æ,133,219,98,193,196,71,4.61,9
2015/1/4,«·∂»Œ€»æ,144,187,103,227,188,82,4.08,12
2015/1/5,¡º,76,73,36,103,40,24,1.82,39
2015/1/6,¡º,65,151,41,80,73,45,2.75,21
2015/1/7,«·∂»Œ€»æ,102,277,75,144,107,60,3.77,12
2015/1/8,«·∂»Œ€»æ,125,267,86,184,114,60,3.73,15
2015/1/9,¡º,74,88,39,98,63,42,2.51,28
2015/1/10,«·∂»Œ€»æ,117,189,81,177,166,73,4.06,10
2015/1/11,«·∂»Œ€»æ,121,217,87,181,157,81,3.95,14
2015/1/12,«·∂»Œ€»æ,108,234,75,160,125,79,3.68,16
2015/1/13,÷–∂»Œ€»æ,156,302,116,215,156,86,3.34,10
2015/1/14,¡º,88,172,60,112,65,41,1.84,22
2015/1/15,«·∂»Œ€»æ,142,254,105,174,82,56,2.78,16
2015/1/16,”≈,34,4,13,34,37,28,1.62,44
2015/1/17,¡º,68,73,42,85,95,62,2.72,15
2015/1/18,¡º,70,71,32,87,48,35,1.9,35
2015/1/19,¡º,73,94,44,91,98,63,2.44,16
2015/1/20,¡º,85,124,57,110,69,47,2.76,26
2015/1/21,”≈,44,26,22,47,67,39,1.33,29
2015/1/22,¡º,70,67,44,88,94,62,2.39,14
2015/1/23,¡º,100,110,67,143,132,71,3.32,11
2015/1/24,¡º,92,107,56,122,81,61,2.5,14
2015/1/25,÷–∂»Œ€»æ,170,243,129,205,86,61,2.73,9
2015/1/26,¡º,71,62,29,79,28,19,0.94,46
2015/1/27,”≈,40,37,18,42,66,39,1.23,32
2015/1/28,¡º,56,183,28,62,87,47,1.51,18
2015/1/29,”≈,34,34,16,33,40,21,0.78,48
2015/1/30,¡º,57,121,36,59,56,40,1.38,30
2015/1/31,¡º,55,102,35,58,81,59,1.79,21
2015/2/1,¡º,80,186,55,93,115,67,2.32,16
2015/2/2,«·∂»Œ€»æ,131,262,99,151,143,64,2.16,21
2015/2/3,¡º,62,66,37,65,46,22,0.96,53
2015/2/4,”≈,40,24,17,38,42,25,1.06,43
2015/2/5,”≈,50,46,26,56,71,44,1.53,29
2015/2/6,¡º,74,93,49,94,85,53,1.96,21
2015/2/7,”≈,32,3,8,30,38,20,0.8,51
2015/2/8,”≈,49,54,24,56,86,47,1.57,25
2015/2/9,¡º,86,200,57,118,115,64,2.56,18
2015/2/10,«·∂»Œ€»æ,111,225,80,161,120,74,3.11,17
2015/2/11,¡º,83,112,42,114,48,38,1.86,37
2015/2/12,¡º,55,52,20,59,59,43,1.77,32
2015/2/13,¡º,74,99,38,95,73,53,2.37,22
2015/2/14,¡º,94,123,58,134,103,66,2.9,23
2015/2/15,—œ÷ÿŒ€»æ,256,348,65,382,51,29,1.57,45
2015/2/16,¡º,99,171,34,146,65,31,1.63,37
2015/2/17,”≈,50,45,22,53,54,28,1.69,39
2015/2/18,”≈,46,32,21,50,57,28,1.63,45
2015/2/19,÷ÿ∂»Œ€»æ,247,347,189,320,111,59,3.13,22
2015/2/20,÷ÿ∂»Œ€»æ,236,360,185,264,47,40,2.69,21
2015/2/21,÷–∂»Œ€»æ,167,344,58,249,23,15,1.32,47
2015/2/22,«·∂»Œ€»æ,126,251,25,196,39,18,1.32,46
2015/2/23,¡º,89,225,45,125,90,39,1.95,27
2015/2/24,¡º,90,246,50,129,82,41,2.31,27
2015/2/25,”≈,41,74,8,41,36,15,1.15,52
2015/2/26,”≈,43,78,16,42,46,24,1.41,46
2015/2/27,”≈,49,168,24,51,62,33,1.66,33
2015/2/28,¡º,88,315,55,96,46,31,1.84,33
2015/3/1,¡º,61,177,34,69,62,40,2.06,30
2015/3/2,¡º,79,209,40,105,53,36,2.17,35
2015/3/3,¡º,72,169,12,95,28,15,1.21,55
2015/3/4,¡º,53,139,24,58,58,39,1.95,33
2015/3/5,¡º,84,284,53,112,84,47,2.19,31
2015/3/6,«·∂»Œ€»æ,116,310,84,157,68,47,2.05,32
2015/3/7,¡º,73,174,30,95,55,38,1.48,41
2015/3/8,¡º,75,195,18,98,24,15,0.8,56
2015/3/9,”≈,35,14,6,32,28,13,0.85,58
2015/3/10,”≈,47,69,18,52,55,32,1.28,41
2015/3/11,¡º,66,159,30,81,54,37,1.46,36
2015/3/12,¡º,73,160,26,95,58,25,0.91,55
2015/3/13,”≈,48,67,19,51,58,34,1.18,47
2015/3/14,«·∂»Œ€»æ,142,299,45,222,42,37,1.46,39
