日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,良,67,115,40,82,21,25,0.94,90
2015/1/2,良,72,194,42,92,19,25,0.97,85
2015/1/3,良,73,72,43,94,11,36,1.04,75
2015/1/4,良,58,24,28,62,8,25,0.86,99
2015/1/5,良,67,58,37,82,10,41,1.1,51
2015/1/6,良,68,162,45,82,12,38,1.04,66
2015/1/7,良,54,62,30,58,13,31,1.47,43
2015/1/8,良,55,47,33,58,16,21,1.33,69
2015/1/9,良,70,80,47,87,17,33,1.23,70
2015/1/10,良,77,89,52,102,17,40,1.21,63
2015/1/11,良,81,119,59,95,16,29,1.19,55
2015/1/12,优,50,69,33,49,8,20,1.03,48
2015/1/13,优,25,11,6,10,5,15,0.73,48
2015/1/14,优,32,17,13,25,7,11,0.69,65
2015/1/15,优,48,35,28,53,9,25,0.92,53
2015/1/16,良,57,42,33,64,12,35,0.96,44
2015/1/17,良,59,52,38,65,12,23,0.85,74
2015/1/18,良,77,96,54,96,17,31,1.02,74
2015/1/19,良,77,104,54,100,18,30,1.02,85
2015/1/20,良,93,169,64,130,13,52,1.16,74
2015/1/21,良,96,163,68,137,17,59,1.36,63
2015/1/22,良,68,57,39,83,14,36,0.96,76
2015/1/23,良,72,41,40,86,12,40,0.94,80
2015/1/24,良,68,44,43,83,11,33,1,79
2015/1/25,良,63,38,40,72,9,33,1.03,51
2015/1/26,良,59,32,37,66,9,29,0.99,43
2015/1/27,良,56,95,35,59,8,26,0.95,64
2015/1/28,优,48,140,26,48,6,17,0.96,77
2015/1/29,良,56,151,29,60,10,28,0.95,80
2015/1/30,优,47,78,23,47,10,29,1.08,45
2015/1/31,优,47,50,25,47,10,27,1.01,27
2015/2/1,良,55,86,33,58,9,29,1.1,36
2015/2/2,良,57,45,35,62,10,29,1.1,57
2015/2/3,良,68,83,45,83,12,38,1.09,60
2015/2/4,良,51,61,31,57,9,27,1.11,39
2015/2/5,良,52,57,35,54,8,16,1.06,54
2015/2/6,良,91,180,67,104,18,26,1.18,69
2015/2/7,良,88,136,64,107,13,35,1.22,62
2015/2/8,良,69,150,47,84,17,22,0.89,97
2015/2/9,良,82,182,57,101,17,30,0.93,101
2015/2/10,良,73,97,47,88,11,26,0.8,101
2015/2/11,良,88,127,63,111,17,36,0.94,98
2015/2/12,轻度污染,110,192,74,127,16,36,1.13,84
2015/2/13,良,73,91,39,87,10,33,0.87,88
2015/2/14,良,70,62,37,83,9,24,0.81,97
2015/2/15,良,67,74,41,80,5,25,0.92,74
2015/2/16,良,59,43,40,63,5,24,1.04,33
2015/2/17,优,49,40,31,49,5,16,0.92,63
2015/2/18,良,67,95,42,77,7,12,1,109
2015/2/19,良,77,106,45,101,10,9,0.88,108
2015/2/20,良,54,135,23,48,6,7,0.7,98
2015/2/21,优,44,68,19,42,5,8,0.7,76
2015/2/22,优,37,28,20,36,5,12,0.77,52
2015/2/23,优,31,23,14,21,4,8,0.83,59
2015/2/24,优,33,24,20,32,5,9,0.97,55
2015/2/25,优,30,14,16,28,6,10,0.83,52
2015/2/26,优,31,28,15,29,10,12,0.77,46
2015/2/27,优,31,39,12,25,10,10,0.69,59
2015/2/28,优,35,97,14,28,7,10,0.76,66
2015/3/1,优,28,24,7,18,7,11,0.89,54
2015/3/2,优,35,14,18,33,8,14,0.96,55
2015/3/3,优,47,61,30,48,7,18,0.99,60
2015/3/4,优,22,6,9,17,5,17,1,27
2015/3/5,优,38,64,19,37,6,15,0.96,38
2015/3/6,优,27,28,14,26,5,16,1.05,16
2015/3/7,优,33,23,18,33,6,18,1.09,21
2015/3/8,优,38,33,18,34,6,13,0.86,60
2015/3/9,良,51,93,27,52,8,20,0.98,45
2015/3/10,优,47,67,22,46,7,14,0.79,64
2015/3/11,优,46,61,25,48,7,23,0.84,34
2015/3/12,优,22,6,9,21,6,20,0.96,16
2015/3/13,优,37,20,18,37,8,23,0.95,26
2015/3/14,良,52,43,26,53,9,27,0.94,47
2015/3/15,优,45,26,21,44,6,22,0.78,55
2015/3/16,优,41,20,20,40,6,19,0.71,46
2015/3/17,优,39,18,19,38,6,14,0.62,48
2015/3/18,优,38,45,18,37,6,15,0.6,42
2015/3/19,优,44,46,20,44,7,22,0.66,42
2015/3/20,优,48,68,23,47,7,23,0.69,45
2015/3/21,良,61,92,38,70,9,30,0.87,50
2015/3/22,良,59,67,36,67,8,20,0.99,74
2015/3/23,良,64,139,33,76,10,27,0.89,92
2015/3/24,优,49,77,24,48,9,18,0.91,65
2015/3/25,良,52,84,27,54,9,21,0.76,58
2015/3/26,优,43,44,25,42,7,22,0.78,37
2015/3/27,优,36,11,20,34,7,22,0.83,34
2015/3/28,优,49,43,26,50,9,20,0.87,63
2015/3/29,良,56,60,34,58,8,26,0.88,69
2015/3/30,优,50,57,25,51,7,18,0.78,78
2015/3/31,优,42,34,19,42,7,17,0.71,48
2015/4/1,优,39,40,15,38,6,17,0.67,31
2015/4/2,优,37,36,15,36,7,14,0.64,34
2015/4/3,优,37,27,13,36,6,14,0.64,31
2015/4/4,优,34,15,14,33,5,11,0.64,41
2015/4/5,优,36,25,16,35,5,11,0.64,50
2015/4/6,优,50,141,25,52,8,19,0.77,40
2015/4/7,优,49,173,23,52,7,17,0.85,53
2015/4/8,优,22,6,12,19,5,16,0.95,34
2015/4/9,优,30,12,17,28,5,19,0.95,20
2015/4/10,优,16,3,9,14,5,17,0.88,22
2015/4/11,优,22,7,13,21,5,20,0.9,24
2015/4/12,优,49,57,32,48,8,28,1.06,41
2015/4/13,良,77,278,44,96,12,40,1.04,67
2015/4/14,良,64,102,21,69,11,22,0.53,103
2015/4/15,良,90,193,30,75,11,37,0.64,117
2015/4/16,良,94,184,41,92,13,45,0.75,118
2015/4/17,良,67,72,32,63,10,25,0.62,87
2015/4/18,优,50,46,21,49,7,19,0.59,46
2015/4/19,良,51,97,24,52,6,26,0.69,36
2015/4/20,优,47,80,22,45,7,27,0.77,39
2015/4/21,优,35,12,14,26,8,19,1.05,71
2015/4/22,良,55,77,27,51,10,24,0.83,91
2015/4/23,良,67,125,39,75,11,30,0.89,86
2015/4/24,良,64,114,37,67,10,25,0.91,82
2015/4/25,良,70,115,42,81,10,20,0.81,109
2015/4/26,良,61,60,31,69,8,17,0.71,100
2015/4/27,良,66,98,33,68,10,22,0.78,103
2015/4/28,良,63,108,34,67,10,27,0.78,71
2015/4/29,良,69,154,34,71,10,35,0.86,73
2015/4/30,良,61,67,27,49,6,23,0.73,87
2015/5/1,优,46,54,29,45,6,11,0.65,58
2015/5/2,优,32,19,13,31,6,16,0.62,27
2015/5/3,优,43,33,18,42,6,21,0.69,37
2015/5/4,优,46,44,20,44,7,19,0.67,51
2015/5/5,优,40,36,24,38,6,15,0.7,53
2015/5/6,优,45,42,22,44,6,11,0.7,67
2015/5/7,优,28,5,11,23,6,16,0.74,44
2015/5/8,优,28,13,12,26,6,13,0.68,24
2015/5/9,优,30,15,13,27,7,18,0.74,31
2015/5/10,优,39,25,21,36,7,17,0.82,40
2015/5/11,优,39,42,20,34,7,12,0.76,56
2015/5/12,优,42,47,12,37,7,15,0.81,86
2015/5/13,良,55,77,21,48,8,13,0.88,99
2015/5/14,优,38,31,15,37,7,10,0.77,48
2015/5/15,优,31,20,12,30,7,10,0.76,35
2015/5/16,优,43,68,20,39,7,23,0.94,65
2015/5/17,优,45,67,24,47,8,28,1.04,30
2015/5/18,优,36,33,12,35,7,19,0.81,33
2015/5/19,优,35,39,13,34,6,20,0.64,30
2015/5/20,优,32,21,15,30,6,23,0.67,28
2015/5/21,优,30,16,6,15,6,12,0.62,65
2015/5/22,优,38,41,12,23,6,12,0.68,72
2015/5/23,优,33,23,12,24,6,22,0.78,49
2015/5/24,优,49,66,32,48,8,40,1.03,44
2015/5/25,良,59,113,35,60,8,28,1.02,58
2015/5/26,优,26,1,10,20,6,12,0.66,47
2015/5/27,优,35,17,12,34,7,14,0.65,37
2015/5/28,优,43,40,16,41,7,15,0.69,52
2015/5/29,优,45,61,16,44,8,14,0.68,58
2015/5/30,优,48,102,17,45,7,16,0.69,57
2015/5/31,优,38,29,15,34,8,22,0.79,44
2015/6/1,优,34,18,13,32,9,23,0.83,26
2015/6/2,优,32,22,12,31,8,14,0.73,32
2015/6/3,优,32,31,10,31,8,15,0.65,33
2015/6/4,优,39,61,14,37,10,21,0.71,36
2015/6/5,优,42,73,15,38,11,24,0.79,46
2015/6/6,优,43,66,15,33,8,22,0.83,43
2015/6/7,优,27,12,8,24,8,9,0.66,41
2015/6/8,优,30,31,13,29,8,12,0.67,38
2015/6/9,优,33,28,13,31,9,15,0.7,36
2015/6/10,优,37,39,15,35,8,19,0.74,34
2015/6/11,优,40,61,18,38,9,19,0.72,47
2015/6/12,优,41,57,19,40,10,25,0.81,44
2015/6/13,优,35,37,14,34,11,17,0.71,36
2015/6/14,优,30,29,10,28,9,14,0.7,34
2015/6/15,优,32,33,9,28,9,12,0.68,45
2015/6/16,优,37,55,14,34,10,19,0.71,50
2015/6/17,优,36,59,12,31,11,23,0.68,40
2015/6/18,优,48,137,16,39,14,24,0.72,57
2015/6/19,优,39,61,13,35,17,23,0.71,52
2015/6/20,优,30,23,8,26,11,14,0.63,35
2015/6/21,优,28,20,8,25,9,7,0.61,43
2015/6/22,优,23,10,6,19,8,8,0.64,40
2015/6/23,优,24,17,5,16,9,10,0.67,47
2015/6/24,优,23,10,8,21,9,11,0.71,37
2015/6/25,优,30,46,12,29,9,16,0.77,36
2015/6/26,优,34,58,11,31,8,14,0.74,51
2015/6/27,优,37,92,12,34,7,11,0.71,54
2015/6/28,优,38,96,13,33,7,13,0.73,56
2015/6/29,优,42,113,15,36,8,17,0.75,56
2015/6/30,优,48,172,18,45,8,17,0.79,65
2015/7/1,优,48,151,20,43,8,16,0.78,67
2015/7/2,优,46,125,16,42,8,15,0.78,59
2015/7/3,优,48,150,20,45,7,13,0.82,74
2015/7/4,优,45,104,21,45,7,10,0.83,66
2015/7/5,优,45,117,25,44,8,11,0.79,66
2015/7/6,优,40,63,22,37,8,11,0.83,71
2015/7/7,优,43,73,23,40,8,10,0.71,77
2015/7/8,优,43,53,25,42,8,9,0.6,77
2015/7/9,优,35,31,19,29,8,12,0.62,53
2015/7/10,优,32,28,13,29,8,13,0.55,46
2015/7/11,良,57,186,38,54,15,27,0.72,52
2015/7/12,良,60,171,38,66,11,24,0.72,61
2015/7/13,良,82,230,52,78,12,22,0.73,101
2015/7/14,优,44,48,16,41,8,12,0.58,62
2015/7/15,优,39,53,17,36,8,12,0.61,59
2015/7/16,优,42,58,23,40,8,13,0.64,74
2015/7/17,良,51,143,24,42,9,21,0.75,82
2015/7/18,优,47,107,26,43,8,16,0.69,58
2015/7/19,优,50,112,28,50,9,16,0.68,54
2015/7/20,优,34,32,17,30,8,12,0.62,42
2015/7/21,优,29,42,12,20,9,24,0.73,36
2015/7/22,优,37,75,16,36,9,27,0.84,17
2015/7/23,优,27,24,11,25,7,17,0.68,23
