日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,良,66,114,39,76,42,49,0.82,32
2015/1/2,轻度污染,111,460,83,121,61,81,1.2,16
2015/1/3,轻度污染,127,206,95,131,42,83,1.17,28
2015/1/4,轻度污染,117,127,88,130,54,97,1.08,58
2015/1/5,轻度污染,139,196,107,145,57,95,1.19,23
2015/1/6,轻度污染,144,348,107,147,33,56,1.08,21
2015/1/7,良,64,108,40,69,39,47,0.73,33
2015/1/8,中度污染,154,309,116,165,64,80,1.27,22
2015/1/9,中度污染,193,308,147,206,82,110,1.73,23
2015/1/10,重度污染,210,317,162,239,95,134,1.62,20
2015/1/11,中度污染,182,314,140,208,80,115,1.45,30
2015/1/12,良,86,182,62,99,23,53,0.86,25
2015/1/13,良,53,88,33,51,16,67,0.57,10
2015/1/14,良,60,105,43,50,19,47,0.66,16
2015/1/15,良,74,112,54,67,29,47,0.74,16
2015/1/16,轻度污染,108,191,80,101,36,56,0.84,18
2015/1/17,轻度污染,136,271,102,144,35,49,0.98,39
2015/1/18,轻度污染,135,278,101,133,37,57,1.01,48
2015/1/19,轻度污染,116,261,78,149,47,68,1.05,36
2015/1/20,良,79,109,49,104,21,47,0.74,44
2015/1/21,轻度污染,131,236,99,147,43,62,1.06,37
2015/1/22,轻度污染,149,297,112,146,48,57,1.42,35
2015/1/23,中度污染,169,290,127,159,36,73,1.38,35
2015/1/24,中度污染,156,234,117,157,39,70,1.11,46
2015/1/25,中度污染,179,253,142,186,45,71,1.32,24
2015/1/26,中度污染,152,217,115,167,30,57,1.34,9
2015/1/27,良,82,182,59,77,19,28,0.63,53
2015/1/28,优,41,96,25,40,18,34,0.51,35
2015/1/29,优,39,54,27,32,15,50,0.62,18
2015/1/30,轻度污染,116,303,86,100,36,48,1,28
2015/1/31,良,56,106,38,55,30,37,0.78,46
2015/2/1,优,44,32,27,43,23,36,0.57,40
2015/2/2,良,93,183,69,89,34,64,0.78,8
2015/2/3,良,79,110,57,75,30,69,0.71,10
2015/2/4,中度污染,181,307,139,169,43,61,1.24,46
2015/2/5,轻度污染,119,277,87,120,44,62,1.07,41
2015/2/6,良,88,165,65,95,39,80,0.97,30
2015/2/7,轻度污染,111,228,82,108,38,81,0.96,47
2015/2/8,良,79,199,53,78,24,37,0.7,57
2015/2/9,优,48,27,30,48,22,29,0.48,62
2015/2/10,良,74,101,53,69,24,60,0.61,47
2015/2/11,良,94,153,69,96,29,75,0.87,50
2015/2/12,轻度污染,147,254,113,170,45,53,1.09,77
2015/2/13,良,83,143,60,87,20,41,0.73,78
2015/2/14,良,99,143,73,101,13,50,0.84,72
2015/2/15,良,66,73,44,72,10,41,0.68,63
2015/2/16,轻度污染,120,226,90,108,16,33,1.2,71
2015/2/17,中度污染,158,308,119,175,12,37,1.33,70
2015/2/18,良,91,194,64,110,15,32,0.9,94
2015/2/19,良,58,36,34,53,10,21,0.46,88
2015/2/20,优,37,23,17,27,9,24,0.49,68
2015/2/21,良,53,132,37,42,9,33,0.96,22
2015/2/22,轻度污染,131,263,98,112,14,35,1.13,34
2015/2/23,良,84,208,54,106,11,32,0.75,70
2015/2/24,良,76,193,43,100,8,30,0.72,73
2015/2/25,优,44,90,24,36,5,33,0.75,63
2015/2/26,良,84,258,61,81,7,37,0.99,50
2015/2/27,优,38,82,23,34,6,33,0.71,62
2015/2/28,优,33,83,20,24,6,42,0.69,50
2015/3/1,良,75,240,54,66,18,39,0.85,64
2015/3/2,良,100,281,74,95,21,52,1,78
2015/3/3,良,98,270,70,99,18,41,0.91,64
2015/3/4,良,51,123,21,52,15,31,0.67,64
2015/3/5,优,49,123,27,48,11,40,0.61,41
2015/3/6,良,65,158,46,59,16,42,0.54,41
2015/3/7,良,82,208,59,76,24,53,0.63,43
2015/3/8,优,49,80,34,35,11,46,0.62,41
2015/3/9,良,63,161,44,57,22,39,0.64,47
