»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,«·∂»Œ€»æ,109,282,77,142,123,32,1.85,42
2015/1/2,«·∂»Œ€»æ,110,451,80,140,164,38,1.76,45
2015/1/3,«·∂»Œ€»æ,135,226,101,169,232,52,2.06,33
2015/1/4,¡º,93,76,42,134,93,15,0.89,66
2015/1/5,¡º,55,34,30,61,99,21,0.9,56
2015/1/6,¡º,70,172,44,82,129,23,1.1,45
2015/1/7,÷–∂»Œ€»æ,166,352,76,244,153,30,1.26,42
2015/1/8,¡º,75,124,44,89,157,31,1.61,52
2015/1/9,¡º,63,57,31,70,195,20,1.35,64
2015/1/10,¡º,99,147,71,125,247,33,1.86,50
2015/1/11,«·∂»Œ€»æ,103,175,75,126,279,39,2.04,44
2015/1/12,«·∂»Œ€»æ,120,260,88,157,237,38,1.87,43
2015/1/13,¡º,93,196,56,128,101,23,0.59,57
2015/1/14,¡º,85,164,49,116,77,20,0.67,54
2015/1/15,¡º,88,143,52,121,139,31,0.8,52
2015/1/16,¡º,86,141,58,115,133,26,1.1,47
2015/1/17,¡º,84,134,28,117,35,11,0.65,65
2015/1/18,«·∂»Œ€»æ,104,179,62,143,137,36,1.38,48
2015/1/19,¡º,69,79,39,80,100,25,1.27,54
2015/1/20,¡º,70,78,25,87,77,18,1,66
2015/1/21,¡º,78,110,46,96,148,30,1.56,39
2015/1/22,¡º,80,98,46,107,105,21,1.44,52
2015/1/23,¡º,74,45,36,96,82,18,1.46,60
2015/1/24,«·∂»Œ€»æ,106,143,51,160,114,28,1.77,52
2015/1/25,«·∂»Œ€»æ,107,136,41,152,74,20,1.8,59
2015/1/26,¡º,73,68,24,94,88,11,1.64,64
2015/1/27,¡º,91,225,33,131,68,11,1.65,52
2015/1/28,¡º,94,324,35,137,62,10,1.44,39
2015/1/29,¡º,74,235,35,95,50,17,0.85,36
2015/1/30,¡º,72,193,41,91,103,20,1.09,45
2015/1/31,¡º,91,261,60,125,43,18,1.35,28
2015/2/1,«·∂»Œ€»æ,104,248,75,141,44,18,1.64,24
2015/2/2,«·∂»Œ€»æ,104,211,76,142,57,27,1.95,25
2015/2/3,¡º,71,92,41,89,39,12,1.44,54
2015/2/4,¡º,62,99,38,67,33,15,1.28,47
2015/2/5,¡º,54,69,28,61,46,17,1.51,56
2015/2/6,¡º,73,88,37,94,34,15,1.58,53
2015/2/7,«·∂»Œ€»æ,121,253,51,190,51,20,1.62,48
2015/2/8,«·∂»Œ€»æ,102,274,56,149,49,20,1.67,46
2015/2/9,¡º,97,244,58,140,57,24,1.88,48
2015/2/10,«·∂»Œ€»æ,108,212,43,159,44,15,1.6,64
2015/2/11,¡º,84,117,30,116,33,14,1.3,71
2015/2/12,¡º,64,85,30,76,66,18,0.84,69
2015/2/13,¡º,88,156,60,109,136,36,1.21,51
2015/2/14,÷–∂»Œ€»æ,197,315,71,295,60,18,1.1,58
2015/2/15,¡º,53,38,21,57,30,14,0.68,64
2015/2/16,¡º,69,77,43,77,101,41,1.4,46
2015/2/17,¡º,65,94,37,77,69,19,1.18,59
2015/2/18,¡º,77,136,45,96,101,13,1.06,66
2015/2/19,÷–∂»Œ€»æ,173,293,137,203,130,20,1.33,60
2015/2/20,¡º,75,235,25,97,18,6,1.07,68
2015/2/21,¡º,81,226,24,110,66,5,1.11,75
2015/2/22,¡º,92,191,34,133,51,6,1.41,55
2015/2/23,¡º,78,189,41,103,110,19,1.67,59
2015/2/24,¡º,62,130,21,74,40,7,1.61,75
2015/2/25,¡º,55,142,15,59,27,7,1.77,73
2015/2/26,¡º,55,160,20,61,63,10,1.45,66
2015/2/27,¡º,75,292,24,101,25,5,1.2,65
2015/2/28,”≈,41,139,13,34,38,8,1.01,74
2015/3/1,¡º,74,238,35,92,49,15,2.35,71
2015/3/2,«·∂»Œ€»æ,120,321,37,183,29,8,0.97,76
