»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,88,226,62,97,166,22,2.12,16
2015/1/2,«·∂»Œ€»æ,137,560,103,165,251,30,3.39,12
2015/1/3,÷–∂»Œ€»æ,173,301,132,200,215,36,2.95,13
2015/1/4,÷–∂»Œ€»æ,191,252,146,213,168,43,2.28,26
2015/1/5,÷–∂»Œ€»æ,187,273,143,197,100,32,1.6,20
2015/1/6,¡º,85,234,59,114,79,24,1.22,13
2015/1/7,«·∂»Œ€»æ,118,309,88,146,127,28,2.44,14
2015/1/8,«·∂»Œ€»æ,132,277,97,154,84,25,2.28,17
2015/1/9,«·∂»Œ€»æ,134,236,99,163,121,31,2.93,18
2015/1/10,«·∂»Œ€»æ,113,184,82,132,149,36,2.99,15
2015/1/11,«·∂»Œ€»æ,108,186,78,130,137,38,3.61,18
2015/1/12,«·∂»Œ€»æ,112,243,84,130,124,34,2.73,16
2015/1/13,¡º,99,210,72,109,100,31,1.75,14
2015/1/14,«·∂»Œ€»æ,132,260,100,155,82,32,1.63,15
2015/1/15,÷–∂»Œ€»æ,169,280,130,212,99,40,2.1,13
2015/1/16,¡º,71,96,46,85,78,21,1.32,25
2015/1/17,¡º,86,147,63,102,114,30,1.64,18
2015/1/18,¡º,71,75,37,82,60,18,0.99,25
2015/1/19,¡º,80,118,49,98,157,33,2.28,14
2015/1/20,¡º,96,177,65,123,161,34,2.24,19
2015/1/21,”≈,41,18,17,42,51,16,0.88,29
2015/1/22,¡º,77,88,54,93,113,30,2.06,16
2015/1/23,«·∂»Œ€»æ,142,227,107,171,162,43,4.05,11
2015/1/24,÷ÿ∂»Œ€»æ,212,308,168,247,132,43,4.98,4
2015/1/25,÷–∂»Œ€»æ,182,262,140,186,68,32,2.73,11
2015/1/26,÷–∂»Œ€»æ,183,258,140,209,99,35,4.07,8
2015/1/27,«·∂»Œ€»æ,108,279,78,138,42,27,2.01,8
2015/1/28,¡º,67,230,47,68,43,21,1.48,10
