»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,72,155,47,88,125,33,2.66,14
2015/1/2,«·∂»Œ€»æ,103,419,77,130,170,43,3.28,9
2015/1/3,«·∂»Œ€»æ,146,252,110,174,188,51,4.47,10
2015/1/4,«·∂»Œ€»æ,143,180,108,192,183,57,2.65,9
2015/1/5,«·∂»Œ€»æ,139,195,97,172,142,41,3.02,18
2015/1/6,¡º,66,156,35,79,102,32,2.1,17
2015/1/7,«·∂»Œ€»æ,127,322,96,152,193,41,3.52,9
2015/1/8,«·∂»Œ€»æ,113,231,83,142,189,38,3.13,15
2015/1/9,«·∂»Œ€»æ,106,188,77,138,172,40,3,13
2015/1/10,«·∂»Œ€»æ,110,179,81,140,192,41,3.19,12
2015/1/11,«·∂»Œ€»æ,105,181,77,134,175,41,2.57,12
2015/1/12,«·∂»Œ€»æ,115,251,86,147,161,41,2.7,15
2015/1/13,«·∂»Œ€»æ,146,293,110,168,162,49,2.79,21
2015/1/14,÷–∂»Œ€»æ,184,313,140,212,176,56,2.89,15
2015/1/15,÷ÿ∂»Œ€»æ,244,337,195,270,246,58,3.32,13
2015/1/16,«·∂»Œ€»æ,108,189,74,123,138,32,1.34,30
2015/1/17,¡º,93,170,63,112,186,40,2.14,15
2015/1/18,¡º,87,128,40,119,92,20,1.17,39
2015/1/19,«·∂»Œ€»æ,107,240,80,140,217,38,2.69,19
2015/1/20,«·∂»Œ€»æ,114,251,81,142,179,41,2.35,21
2015/1/21,¡º,65,69,28,76,77,27,1.23,38
2015/1/22,¡º,95,158,69,110,162,43,2.09,15
2015/1/23,÷–∂»Œ€»æ,166,282,125,188,237,60,3.18,12
2015/1/24,«·∂»Œ€»æ,117,163,85,150,131,48,1.87,24
2015/1/25,÷ÿ∂»Œ€»æ,208,300,161,206,126,56,3.33,16
2015/1/26,÷ÿ∂»Œ€»æ,228,304,182,246,178,50,2.77,19
2015/1/27,¡º,90,224,66,107,95,35,1.52,21
2015/1/28,¡º,63,217,41,72,96,33,1.3,20
2015/1/29,«·∂»Œ€»æ,123,330,89,123,145,34,2.22,26
2015/1/30,¡º,54,108,32,58,98,31,1.47,26
2015/1/31,¡º,64,152,43,72,137,36,1.62,17
2015/2/1,«·∂»Œ€»æ,104,249,78,117,148,41,2.2,22
2015/2/2,÷–∂»Œ€»æ,155,303,117,171,191,50,2.8,16
2015/2/3,÷–∂»Œ€»æ,193,305,149,195,214,50,3.16,15
2015/2/4,¡º,66,110,43,71,101,28,1.25,37
2015/2/5,¡º,61,102,36,66,121,34,1.41,29
2015/2/6,«·∂»Œ€»æ,101,222,75,113,192,42,2.3,14
2015/2/7,¡º,92,152,59,100,153,30,1.77,46
2015/2/8,¡º,59,92,30,58,115,28,1.38,48
2015/2/9,¡º,90,217,66,106,170,38,2.23,16
2015/2/10,«·∂»Œ€»æ,103,197,74,123,165,36,2.25,29
2015/2/11,¡º,80,104,46,105,106,29,1.94,31
2015/2/12,¡º,77,119,40,102,112,26,1.37,23
2015/2/13,¡º,72,89,46,91,112,30,2.11,21
2015/2/14,¡º,81,93,56,103,144,36,2.57,26
2015/2/15,«·∂»Œ€»æ,103,188,67,128,103,30,1.84,31
2015/2/16,¡º,73,90,26,94,67,17,1.17,42
2015/2/17,¡º,55,57,28,63,93,19,1.26,36
2015/2/18,¡º,74,125,45,96,75,16,1.18,55
2015/2/19,¡º,97,159,71,121,79,21,1.59,56
2015/2/20,«·∂»Œ€»æ,122,326,91,126,85,29,2.29,16
2015/2/21,÷–∂»Œ€»æ,158,336,108,182,105,23,2.08,29
2015/2/22,¡º,61,120,16,71,50,13,0.99,41
2015/2/23,¡º,91,239,62,117,128,25,1.78,19
2015/2/24,«·∂»Œ€»æ,130,320,98,170,164,33,3.12,15
2015/2/25,¡º,81,240,35,104,67,14,0.76,38
2015/2/26,”≈,47,104,20,48,72,17,1.19,28
2015/2/27,¡º,67,267,38,82,74,18,1.29,29
2015/2/28,¡º,70,260,47,72,76,18,1.58,29
2015/3/1,¡º,68,211,39,84,84,21,1.99,25
2015/3/2,¡º,84,227,54,105,107,21,1.81,28
2015/3/3,¡º,60,117,11,72,37,8,0.68,48
2015/3/4,”≈,46,94,18,46,81,17,0.96,31
2015/3/5,¡º,88,296,60,101,89,22,1.34,27
2015/3/6,«·∂»Œ€»æ,121,316,90,134,104,24,1.58,30
2015/3/7,«·∂»Œ€»æ,117,310,87,138,124,30,1.95,28
2015/3/8,«·∂»Œ€»æ,125,316,91,158,124,31,2.03,25
2015/3/9,¡º,84,248,52,85,53,12,0.78,43
2015/3/10,¡º,59,161,32,66,92,22,1.19,24
2015/3/11,¡º,65,154,37,80,101,24,1.68,18
2015/3/12,¡º,74,164,41,96,57,19,1.49,32
2015/3/13,¡º,59,105,29,69,62,22,1.43,20
2015/3/14,¡º,87,168,48,119,62,22,1.35,32
2015/3/15,¡º,83,147,36,115,59,23,1.32,32
2015/3/16,¡º,100,216,74,131,49,26,1.56,48
2015/3/17,«·∂»Œ€»æ,118,296,80,167,41,20,1.43,45
2015/3/18,«·∂»Œ€»æ,121,337,91,158,53,25,1.62,39
2015/3/19,«·∂»Œ€»æ,124,318,89,154,51,29,1.69,20
2015/3/20,¡º,89,225,53,112,44,27,1.48,27
2015/3/21,¡º,79,190,44,105,44,26,1.36,29
2015/3/22,¡º,88,200,23,124,49,23,0.9,23
2015/3/23,¡º,77,232,20,104,45,21,1.01,27
2015/3/24,¡º,75,225,39,98,58,26,1.47,25
2015/3/25,¡º,78,239,54,98,42,22,1.5,35
2015/3/26,¡º,62,155,38,68,26,20,1.25,40
2015/3/27,¡º,76,188,54,85,39,21,1.65,40
2015/3/28,¡º,98,235,59,128,47,26,1.74,28
2015/3/29,¡º,84,168,40,116,40,20,1.37,41
2015/3/30,¡º,84,212,47,115,35,20,1.51,61
