»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,”≈,49,48,30,42,93,30,1.08,30
2015/1/2,”≈,39,19,18,30,90,29,0.84,35
2015/1/3,«·∂»Œ€»æ,104,157,75,97,224,81,3.04,10
2015/1/4,«·∂»Œ€»æ,132,159,97,132,156,72,2.66,23
2015/1/5,¡º,75,71,47,92,146,60,2.01,23
2015/1/6,”≈,49,76,27,39,94,33,1.24,37
2015/1/7,”≈,50,50,30,43,86,37,1.34,30
2015/1/8,¡º,92,176,66,89,125,54,2.01,17
2015/1/9,¡º,97,160,69,106,156,59,2.07,16
2015/1/10,«·∂»Œ€»æ,104,161,75,117,148,58,2.4,17
2015/1/11,”≈,44,31,22,30,100,27,1.01,37
2015/1/12,¡º,79,166,57,76,109,47,1.83,18
2015/1/13,¡º,80,173,58,78,177,66,2.29,15
2015/1/14,¡º,95,182,70,95,108,48,1.94,23
2015/1/15,¡º,99,170,72,93,103,41,1.68,29
2015/1/16,¡º,68,86,47,77,103,38,1.35,31
2015/1/17,¡º,65,64,44,67,112,48,1.53,23
2015/1/18,«·∂»Œ€»æ,108,193,78,117,147,63,2.25,15
2015/1/19,”≈,44,26,25,36,90,32,0.92,36
2015/1/20,¡º,76,99,54,73,122,55,1.6,16
2015/1/21,¡º,56,47,36,47,96,31,1.16,39
2015/1/22,¡º,80,97,57,83,105,49,1.51,25
2015/1/23,«·∂»Œ€»æ,131,199,98,148,152,88,2.81,14
2015/1/24,¡º,61,31,40,58,98,40,1.19,34
2015/1/25,¡º,90,102,66,106,131,53,1.49,31
2015/1/26,¡º,58,31,29,68,78,32,1.16,36
2015/1/27,¡º,61,115,35,65,82,29,0.99,37
2015/1/28,¡º,89,309,61,85,88,42,1.43,23
2015/1/29,«·∂»Œ€»æ,104,299,71,118,135,53,1.73,22
2015/1/30,¡º,52,99,24,51,69,22,0.93,41
2015/1/31,¡º,82,230,52,87,102,44,1.46,21
2015/2/1,«·∂»Œ€»æ,135,312,102,142,127,57,2.07,20
2015/2/2,÷ÿ∂»Œ€»æ,202,347,159,209,163,71,2.91,19
2015/2/3,÷ÿ∂»Œ€»æ,221,328,174,236,196,86,2.92,19
2015/2/4,¡º,63,103,37,69,91,30,1.06,40
2015/2/5,¡º,54,70,30,50,94,29,0.88,41
2015/2/6,÷–∂»Œ€»æ,152,333,113,152,146,64,2.26,18
2015/2/7,¡º,79,117,10,109,45,9,0.68,53
2015/2/8,¡º,73,166,32,83,93,27,0.96,37
2015/2/9,«·∂»Œ€»æ,101,267,70,105,115,48,1.74,25
2015/2/10,«·∂»Œ€»æ,134,278,97,148,125,58,2.12,23
2015/2/11,¡º,96,155,63,106,89,39,1.34,34
2015/2/12,¡º,54,50,28,52,74,27,0.93,43
2015/2/13,«·∂»Œ€»æ,119,237,88,134,130,61,1.95,24
2015/2/14,÷ÿ∂»Œ€»æ,201,325,154,205,151,74,2.46,26
2015/2/15,÷–∂»Œ€»æ,199,319,159,186,114,58,2.07,45
2015/2/16,÷–∂»Œ€»æ,155,286,122,160,77,43,1.73,45
2015/2/17,¡º,51,48,30,51,67,22,0.92,53
2015/2/18,”≈,44,29,23,36,67,17,0.87,51
2015/2/19,÷–∂»Œ€»æ,179,300,134,161,102,31,1.35,38
2015/2/20,¡º,65,196,46,54,90,29,1.15,44
2015/2/21,«·∂»Œ€»æ,118,300,70,106,80,32,1.59,44
2015/2/22,—œ÷ÿŒ€»æ,305,353,147,663,51,15,0.91,47
2015/2/23,¡º,67,143,38,77,80,26,1.13,37
2015/2/24,«·∂»Œ€»æ,106,284,71,127,103,42,1.64,25
2015/2/25,¡º,63,178,42,71,61,26,1.31,36
2015/2/26,¡º,54,152,23,55,59,18,0.95,44
2015/2/27,”≈,50,178,28,47,67,26,0.94,43
2015/2/28,«·∂»Œ€»æ,102,342,75,93,99,52,1.9,20
2015/3/1,«·∂»Œ€»æ,105,320,53,135,85,39,1.41,37
2015/3/2,«·∂»Œ€»æ,130,334,95,158,103,48,1.95,27
2015/3/3,¡º,70,155,15,92,60,17,0.78,46
2015/3/4,”≈,42,63,21,38,53,22,0.8,46
2015/3/5,¡º,100,321,66,108,92,48,1.55,34
2015/3/6,«·∂»Œ€»æ,102,286,75,106,85,45,1.29,41
2015/3/7,÷–∂»Œ€»æ,182,354,141,174,99,63,1.8,39
2015/3/8,¡º,98,270,66,93,62,40,1.37,33
2015/3/9,¡º,74,211,13,97,47,15,0.8,52
2015/3/10,¡º,66,195,34,74,63,37,1.17,36
2015/3/11,¡º,59,126,31,62,62,31,1.14,44
2015/3/12,¡º,77,182,47,88,89,46,1.18,51
2015/3/13,¡º,73,166,46,75,64,40,1.15,40
2015/3/14,«·∂»Œ€»æ,111,237,69,131,100,58,1.42,33
2015/3/15,«·∂»Œ€»æ,118,247,76,149,80,59,1.73,41
2015/3/16,÷–∂»Œ€»æ,156,314,112,166,78,61,1.71,30
2015/3/17,¡º,85,224,47,96,54,34,1.14,47
2015/3/18,«·∂»Œ€»æ,110,324,80,132,109,71,1.42,33
2015/3/19,«·∂»Œ€»æ,109,290,74,127,76,56,1.15,42
2015/3/20,«·∂»Œ€»æ,105,264,69,131,79,54,1.08,43
2015/3/21,«·∂»Œ€»æ,113,285,70,150,79,51,1.09,38
2015/3/22,¡º,99,233,18,154,39,16,0.56,57
2015/3/23,¡º,86,277,57,95,60,41,0.92,45
2015/3/24,«·∂»Œ€»æ,103,311,73,118,72,55,1.18,44
2015/3/25,«·∂»Œ€»æ,103,313,74,115,80,59,1.08,47
2015/3/26,÷–∂»Œ€»æ,168,355,117,203,91,76,1.78,50
2015/3/27,«·∂»Œ€»æ,145,341,87,202,72,65,1.48,64
2015/3/28,«·∂»Œ€»æ,150,338,114,156,71,65,1.56,39
2015/3/29,÷–∂»Œ€»æ,170,324,128,213,64,53,1.74,57
2015/3/30,«·∂»Œ€»æ,107,277,70,141,46,34,1.09,81
2015/3/31,¡º,85,229,55,93,44,32,0.98,62
2015/4/1,¡º,83,276,55,90,40,43,1.08,57
2015/4/2,¡º,93,320,66,87,28,44,1.29,45
2015/4/3,¡º,70,214,50,57,19,24,0.91,76
2015/4/4,¡º,98,295,73,92,30,41,1.19,76
2015/4/5,«·∂»Œ€»æ,117,299,79,115,37,40,1.12,77
2015/4/6,”≈,46,114,24,45,14,16,0.73,83
2015/4/7,”≈,44,129,26,42,18,20,0.75,76
2015/4/8,¡º,82,292,60,86,38,37,1.11,76
2015/4/9,«·∂»Œ€»æ,105,326,78,100,43,43,1.23,73
2015/4/10,«·∂»Œ€»æ,116,326,87,102,29,39,1.17,76
2015/4/11,«·∂»Œ€»æ,118,324,88,100,32,42,1.11,75
2015/4/12,¡º,63,137,45,55,16,24,0.99,77
2015/4/13,¡º,71,241,49,61,24,31,0.98,70
2015/4/14,«·∂»Œ€»æ,107,323,79,112,45,56,1.44,60
2015/4/15,÷–∂»Œ€»æ,158,330,118,160,58,56,1.67,72
2015/4/16,¡º,73,80,20,94,20,23,0.69,65
2015/4/17,«·∂»Œ€»æ,105,230,70,128,48,72,1.34,38
2015/4/18,«·∂»Œ€»æ,111,294,72,151,64,58,1.27,53
2015/4/19,¡º,72,247,41,91,17,27,0.84,67
2015/4/20,¡º,79,279,45,103,37,45,1.07,49
2015/4/21,¡º,94,307,66,116,45,57,1.4,48
2015/4/22,¡º,75,228,44,90,38,47,1.09,49
2015/4/23,¡º,91,261,33,129,36,31,0.84,58
2015/4/24,¡º,81,207,46,98,41,46,1.03,46
2015/4/25,«·∂»Œ€»æ,103,257,64,146,61,67,1.35,59
2015/4/26,¡º,99,263,64,137,75,50,1.3,102
2015/4/27,«·∂»Œ€»æ,113,321,71,124,61,35,1.09,135
2015/4/28,¡º,65,134,31,64,33,28,0.67,89
2015/4/29,¡º,85,233,54,90,45,47,0.82,61
2015/4/30,¡º,88,206,62,92,48,39,1.05,78
2015/5/1,¡º,90,267,63,95,58,35,0.8,108
2015/5/2,¡º,83,319,59,84,36,34,0.79,64
2015/5/3,¡º,73,219,40,71,19,22,0.65,74
2015/5/4,¡º,51,78,11,52,25,19,0.52,76
2015/5/5,«·∂»Œ€»æ,105,313,48,140,35,39,0.89,64
2015/5/6,¡º,68,128,32,80,23,31,0.62,60
2015/5/7,¡º,68,127,37,79,31,39,0.69,68
2015/5/8,¡º,62,160,35,77,22,30,0.83,49
2015/5/9,¡º,54,132,34,46,23,30,0.75,52
2015/5/10,¡º,59,142,35,59,35,38,0.92,54
2015/5/11,”≈,47,110,32,32,16,30,0.86,48
2015/5/12,”≈,40,36,21,34,28,29,0.84,57
2015/5/13,¡º,77,215,49,87,36,51,1.03,67
2015/5/14,¡º,62,136,29,69,15,22,0.62,81
2015/5/15,”≈,50,111,27,49,18,22,0.56,76
2015/5/16,¡º,73,206,47,84,43,47,0.99,71
2015/5/17,«·∂»Œ€»æ,110,304,72,136,53,40,1.19,114
2015/5/18,¡º,76,205,42,64,18,27,0.84,109
2015/5/19,¡º,60,158,23,65,20,29,0.69,70
2015/5/20,¡º,59,163,28,60,31,34,0.71,73
2015/5/21,¡º,70,225,35,72,38,41,0.66,83
2015/5/22,¡º,98,314,61,99,56,45,1.04,138
2015/5/23,«·∂»Œ€»æ,103,293,57,87,53,40,0.95,144
2015/5/24,«·∂»Œ€»æ,107,286,64,96,58,41,1.04,152
2015/5/25,«·∂»Œ€»æ,137,325,86,119,58,44,1.3,190
2015/5/26,«·∂»Œ€»æ,148,336,103,139,64,45,1.41,201
2015/5/27,÷–∂»Œ€»æ,160,338,115,141,54,37,1.29,178
2015/5/28,¡º,74,214,26,64,42,29,0.65,105
2015/5/29,¡º,63,221,44,55,30,42,0.73,58
2015/5/30,¡º,60,195,24,58,24,36,0.74,68
2015/5/31,«·∂»Œ€»æ,110,317,57,106,41,33,0.92,159
2015/6/1,«·∂»Œ€»æ,103,275,53,92,32,34,1.03,130
2015/6/2,¡º,71,249,28,69,18,24,0.68,97
2015/6/3,¡º,58,224,22,58,28,40,0.67,74
2015/6/4,¡º,85,316,46,85,36,59,1.04,90
2015/6/5,¡º,94,325,45,50,22,20,0.96,156
2015/6/6,¡º,94,284,42,55,17,24,0.85,128
2015/6/7,¡º,55,159,26,45,24,29,0.64,81
2015/6/8,¡º,65,256,30,48,26,31,0.88,112
2015/6/9,¡º,87,272,63,68,30,43,1.37,86
2015/6/10,¡º,54,143,33,40,12,26,0.77,89
2015/6/11,¡º,61,189,27,33,14,16,0.88,114
2015/6/12,¡º,68,218,40,50,16,28,1,93
2015/6/13,¡º,54,154,26,36,15,23,0.97,85
2015/6/14,¡º,62,188,27,37,23,24,0.84,103
2015/6/15,¡º,96,300,57,84,30,39,1.28,107
2015/6/16,¡º,81,261,46,69,47,34,0.99,106
2015/6/17,«·∂»Œ€»æ,131,332,73,102,30,24,1,152
2015/6/18,¡º,52,172,13,32,15,16,0.58,90
2015/6/19,”≈,41,76,16,31,16,17,0.65,81
2015/6/20,”≈,50,116,20,34,20,16,0.71,94
2015/6/21,«·∂»Œ€»æ,131,362,70,98,41,30,1.39,133
2015/6/22,¡º,83,282,34,57,35,17,0.82,137
2015/6/23,¡º,67,229,40,56,27,16,0.79,104
2015/6/24,¡º,81,312,57,71,31,20,0.93,108
2015/6/25,¡º,77,324,48,64,40,22,0.89,113
2015/6/26,¡º,78,302,56,72,27,32,1.15,84
2015/6/27,¡º,98,328,69,91,38,28,1.4,90
2015/6/28,¡º,78,289,44,64,34,28,0.82,104
2015/6/29,”≈,50,182,17,27,17,20,0.66,78
2015/6/30,”≈,37,71,14,30,16,21,0.62,59
2015/7/1,”≈,36,55,11,24,13,18,0.52,63
2015/7/2,”≈,33,38,10,23,15,22,0.55,49
2015/7/3,”≈,39,77,13,26,16,18,0.56,76
2015/7/4,¡º,66,235,36,61,33,33,0.86,77
2015/7/5,¡º,56,196,23,41,22,23,0.75,91
2015/7/6,¡º,77,297,34,67,34,35,0.75,92
2015/7/7,¡º,70,257,33,64,28,37,0.73,80
2015/7/8,¡º,84,285,48,80,25,34,0.81,78
2015/7/9,¡º,79,256,37,75,38,34,0.82,90
