»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,88,230,64,86,23,43,1.04,35
2015/1/2,¡º,82,276,56,86,37,50,1.3,24
2015/1/3,«·∂»Œ€»æ,137,232,63,171,23,44,1.35,30
2015/1/4,¡º,95,82,63,128,29,50,1.21,24
2015/1/5,¡º,83,88,59,91,24,43,1.17,24
2015/1/6,÷ÿ∂»Œ€»æ,215,398,80,257,18,42,1.26,24
2015/1/7,÷–∂»Œ€»æ,166,351,72,271,25,43,1.1,30
2015/1/8,¡º,71,113,46,85,38,46,1.19,29
2015/1/9,¡º,81,106,55,90,22,43,1.07,28
2015/1/10,¡º,84,104,60,98,30,49,1.22,26
2015/1/11,«·∂»Œ€»æ,132,240,83,205,53,54,1.8,23
2015/1/12,¡º,88,188,56,119,24,45,1.22,20
2015/1/13,«·∂»Œ€»æ,113,242,75,169,24,44,1.32,29
2015/1/14,¡º,100,195,60,141,24,38,1.1,31
2015/1/15,¡º,91,153,56,117,18,38,0.92,35
2015/1/16,¡º,78,113,48,97,19,37,0.92,37
2015/1/17,¡º,95,174,43,134,14,27,0.64,47
2015/1/18,¡º,73,80,49,82,29,43,1.02,30
2015/1/19,¡º,71,88,42,91,27,42,0.94,28
2015/1/20,¡º,67,65,45,74,27,36,0.97,41
2015/1/21,¡º,91,148,66,95,27,50,1.52,24
2015/1/22,¡º,89,136,56,120,22,37,0.93,32
2015/1/23,«·∂»Œ€»æ,109,138,60,156,27,42,0.83,23
2015/1/24,«·∂»Œ€»æ,101,127,65,151,19,46,0.58,31
2015/1/25,¡º,74,68,48,92,14,34,0.43,36
2015/1/26,¡º,83,91,51,94,14,27,0.38,43
2015/1/27,«·∂»Œ€»æ,109,282,57,166,8,19,1.28,44
2015/1/28,¡º,69,248,46,72,15,22,0.68,48
2015/1/29,«·∂»Œ€»æ,110,312,71,156,23,34,1.27,26
2015/1/30,¡º,63,142,42,61,12,25,0.82,38
2015/1/31,¡º,73,197,51,79,18,33,0.99,34
2015/2/1,«·∂»Œ€»æ,107,259,80,123,23,39,1.36,31
2015/2/2,«·∂»Œ€»æ,110,231,82,122,26,39,1.38,36
2015/2/3,¡º,85,139,62,98,16,26,0.93,43
2015/2/4,¡º,79,136,50,100,10,27,0.93,40
2015/2/5,¡º,86,200,61,109,23,37,1.44,28
2015/2/6,«·∂»Œ€»æ,138,318,60,212,17,28,0.81,35
2015/2/7,«·∂»Œ€»æ,104,206,56,153,12,32,0.9,36
2015/2/8,¡º,93,257,62,123,17,35,0.96,34
2015/2/9,«·∂»Œ€»æ,108,280,67,156,29,35,1,33
2015/2/10,÷–∂»Œ€»æ,169,335,73,251,23,33,1,31
2015/2/11,¡º,80,102,54,85,28,37,1.07,32
2015/2/12,¡º,85,139,57,89,27,41,1.01,27
2015/2/13,¡º,74,97,48,87,26,40,1.14,27
2015/2/14,÷ÿ∂»Œ€»æ,227,345,61,337,15,20,0.63,39
2015/2/15,¡º,64,66,32,77,22,27,0.74,37
2015/2/16,¡º,57,37,32,63,33,32,1.29,33
2015/2/17,¡º,68,102,44,63,15,30,0.9,28
2015/2/18,÷–∂»Œ€»æ,168,356,78,235,25,26,0.86,36
2015/2/19,÷–∂»Œ€»æ,154,270,105,216,44,22,0.78,36
2015/2/20,¡º,97,292,39,135,17,18,0.58,43
2015/2/21,¡º,68,181,27,85,6,13,0.38,46
2015/2/22,«·∂»Œ€»æ,148,292,62,244,15,26,0.88,31
2015/2/23,«·∂»Œ€»æ,101,273,63,139,32,31,1.18,29
2015/2/24,¡º,77,198,33,102,11,16,0.42,50
2015/2/25,”≈,38,50,24,32,9,19,0.51,43
2015/2/26,”≈,50,124,29,50,11,18,0.48,41
2015/2/27,¡º,65,259,34,77,23,20,0.75,35
2015/2/28,¡º,59,219,35,63,23,28,0.73,35
2015/3/1,¡º,94,289,40,133,18,26,0.65,35
2015/3/2,¡º,88,247,46,120,19,21,0.57,42
2015/3/3,¡º,76,184,47,96,9,23,0.71,39
2015/3/4,¡º,81,302,47,109,14,28,0.68,39
2015/3/5,¡º,92,302,53,132,35,27,0.7,39
2015/3/6,«·∂»Œ€»æ,126,324,65,200,28,34,0.8,36
2015/3/7,«·∂»Œ€»æ,115,303,54,173,30,26,0.57,41
