日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,优,48,45,33,42,30,22,0.62,39
2015/1/2,轻度污染,103,421,77,94,44,44,1.15,31
2015/1/3,良,62,38,43,59,45,47,0.91,35
2015/1/4,轻度污染,108,113,79,107,43,52,1.38,43
2015/1/5,轻度污染,103,131,68,109,48,50,1.22,34
2015/1/6,优,37,24,14,30,16,18,0.59,60
2015/1/7,良,89,237,62,91,46,46,1.22,35
2015/1/8,轻度污染,123,261,92,123,61,60,1.49,29
2015/1/9,轻度污染,142,247,107,134,96,54,1.58,27
2015/1/10,轻度污染,128,219,94,131,87,48,1.6,39
2015/1/11,轻度污染,138,241,103,127,48,39,1.27,52
2015/1/12,轻度污染,124,266,93,120,55,47,1.31,45
2015/1/13,轻度污染,148,295,113,140,92,58,1.93,52
2015/1/14,中度污染,173,304,132,169,82,57,2.02,32
2015/1/15,轻度污染,148,260,111,148,59,43,1.54,50
2015/1/16,良,59,58,41,55,52,23,0.82,59
2015/1/17,优,46,24,28,39,21,20,0.93,58
2015/1/18,良,72,77,51,77,50,42,1.32,38
2015/1/19,良,99,206,72,92,33,34,1.44,48
2015/1/20,轻度污染,130,288,98,122,92,56,1.74,40
2015/1/21,中度污染,153,296,117,145,81,48,1.61,51
2015/1/22,重度污染,212,353,164,206,97,63,1.9,48
2015/1/23,中度污染,170,293,129,160,89,49,1.78,59
2015/1/24,中度污染,164,244,126,159,60,48,2.01,47
2015/1/25,中度污染,159,224,120,157,81,46,1.8,54
2015/1/26,良,80,86,53,80,43,21,1.12,65
2015/1/27,良,60,110,35,56,33,23,1.04,59
2015/1/28,轻度污染,115,341,86,111,52,46,1.61,37
2015/1/29,良,93,276,68,91,74,47,1.45,44
2015/1/30,良,68,168,46,66,36,29,1.01,57
2015/1/31,良,95,273,69,92,46,41,1.36,44
2015/2/1,轻度污染,130,303,98,144,70,50,1.81,38
2015/2/2,中度污染,178,328,137,189,86,66,2.31,41
2015/2/3,中度污染,186,301,144,188,77,64,2.19,58
2015/2/4,中度污染,191,323,147,182,60,53,2.05,57
2015/2/5,轻度污染,132,311,100,123,37,41,1.59,49
2015/2/6,良,79,115,57,76,51,37,1.41,54
2015/2/7,良,59,52,16,68,15,6,0.68,66
2015/2/8,优,46,43,17,48,15,11,0.78,51
2015/2/9,良,57,72,39,55,36,29,1.24,39
2015/2/10,轻度污染,115,231,86,117,65,50,1.95,24
2015/2/11,轻度污染,134,255,102,135,43,39,1.9,36
2015/2/12,优,35,4,21,28,16,11,0.98,57
2015/2/13,优,49,24,32,43,38,23,1.28,50
