日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,中度污染,151,333,114,158,28,18,0.86,35
2015/1/2,轻度污染,136,555,102,131,18,21,0.95,33
2015/1/3,轻度污染,115,184,86,104,12,21,0.99,27
2015/1/4,轻度污染,143,181,109,150,14,32,1.13,19
2015/1/5,轻度污染,127,170,95,138,14,25,1.39,18
2015/1/6,良,77,204,56,85,17,24,0.86,26
2015/1/7,轻度污染,110,293,82,112,17,25,0.82,24
2015/1/8,轻度污染,116,239,87,111,22,22,0.86,22
2015/1/9,良,60,50,42,53,27,25,1.01,23
2015/1/10,良,71,73,50,68,26,30,0.88,30
2015/1/11,良,66,90,47,61,22,20,0.84,27
2015/1/12,良,61,112,42,57,25,25,0.88,30
2015/1/13,良,98,207,73,97,27,25,0.88,28
2015/1/14,轻度污染,128,254,96,126,22,26,0.73,33
2015/1/15,轻度污染,134,244,101,131,22,27,0.73,25
2015/1/16,良,95,161,70,86,24,36,1.05,20
2015/1/17,良,71,85,50,63,12,24,0.8,25
2015/1/18,优,50,32,35,40,25,37,1,23
2015/1/19,良,64,69,46,56,31,35,1.1,19
2015/1/20,轻度污染,102,204,75,96,24,29,1.15,19
2015/1/21,良,83,125,60,91,27,25,1.02,26
2015/1/22,轻度污染,113,211,85,116,24,30,1.12,25
2015/1/23,轻度污染,117,166,88,116,21,28,0.96,29
2015/1/24,轻度污染,136,200,103,135,20,25,0.98,27
2015/1/25,中度污染,172,246,131,171,17,24,1.05,27
2015/1/26,良,99,130,74,99,13,21,0.65,28
2015/1/27,良,91,227,66,99,14,19,0.61,24
2015/1/28,良,89,312,66,95,14,20,0.67,24
2015/1/29,轻度污染,105,300,77,113,22,30,1.53,15
2015/1/30,良,51,92,34,45,18,27,1.35,13
2015/1/31,良,54,97,38,45,17,27,1.01,11
2015/2/1,良,63,116,43,64,17,22,1.06,10
2015/2/2,良,84,144,58,86,19,25,1.15,25
2015/2/3,良,99,169,73,104,33,25,1.04,19
2015/2/4,良,55,76,39,48,21,23,0.94,17
2015/2/5,良,69,137,50,64,23,24,0.69,32
2015/2/6,良,95,199,70,79,18,28,0.69,24
2015/2/7,良,63,71,45,54,26,25,0.84,20
2015/2/8,良,65,125,46,53,21,21,0.81,15
2015/2/9,良,56,65,39,42,19,26,0.9,19
2015/2/10,良,62,59,44,65,22,25,1.06,22
2015/2/11,良,63,58,43,70,24,22,1,30
2015/2/12,轻度污染,113,196,85,120,37,31,1.25,31
2015/2/13,轻度污染,129,255,97,128,18,21,1.06,33
2015/2/14,良,60,48,36,61,12,17,0.64,29
2015/2/15,良,83,135,57,100,30,31,1.28,32
2015/2/16,中度污染,163,298,124,171,22,21,1.03,44
2015/2/17,轻度污染,109,229,81,107,25,27,0.97,27
2015/2/18,良,82,161,60,83,21,24,0.93,34
2015/2/19,良,66,68,37,70,12,17,0.46,51
2015/2/20,良,57,155,27,62,14,19,0.54,55
2015/2/21,良,87,244,64,93,13,19,0.84,47
2015/2/22,良,86,176,63,94,12,14,0.88,42
2015/2/23,良,77,183,51,85,13,16,0.81,46
2015/2/24,良,94,261,69,106,12,18,0.82,41
2015/2/25,良,87,253,62,99,14,23,0.91,41
2015/2/26,良,77,240,54,84,14,24,1,21
2015/2/27,良,83,313,52,104,23,31,1.07,39
2015/2/28,良,67,246,46,79,18,19,0.9,17
2015/3/1,优,42,69,25,42,13,18,0.8,16
2015/3/2,良,92,258,67,97,16,24,0.9,21
2015/3/3,良,53,88,32,57,11,20,0.65,29
2015/3/4,良,84,314,59,102,13,14,0.73,22
2015/3/5,良,68,222,47,77,20,17,0.91,12
2015/3/6,良,61,143,39,67,9,20,0.74,16
2015/3/7,良,71,169,51,77,13,19,0.7,19
2015/3/8,良,82,224,57,98,22,21,0.98,24
2015/3/9,轻度污染,120,323,90,134,16,19,0.7,35
2015/3/10,良,69,205,49,66,13,22,0.71,26
2015/3/11,良,55,99,38,58,22,24,0.75,30
2015/3/12,良,80,191,58,90,16,24,0.78,41
2015/3/13,轻度污染,115,284,86,130,16,23,0.84,39
2015/3/14,良,99,205,73,109,14,22,0.78,48
2015/3/15,轻度污染,110,218,82,120,15,23,0.81,41
2015/3/16,轻度污染,123,270,93,153,14,25,0.84,40
2015/3/17,良,96,257,68,122,15,30,0.73,42
2015/3/18,良,89,276,60,109,13,29,0.69,39
2015/3/19,良,78,201,44,99,10,27,0.44,43
2015/3/20,轻度污染,103,259,77,118,8,20,0.91,36
2015/3/21,良,59,84,39,68,7,19,0.62,42
2015/3/22,轻度污染,114,273,85,131,8,15,0.77,29
2015/3/23,良,82,259,60,92,11,22,0.57,41
2015/3/24,良,54,115,37,53,16,31,0.66,26
2015/3/25,优,46,55,29,49,9,22,0.65,23
2015/3/26,良,53,92,35,56,6,23,0.62,20
2015/3/27,良,59,131,41,58,7,24,0.56,31
