»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,90,237,62,74,211,24,3.06,21
2015/1/2,«·∂»Œ€»æ,130,541,99,126,298,28,4.44,20
2015/1/3,÷–∂»Œ€»æ,179,311,137,190,305,34,4.85,22
2015/1/4,÷ÿ∂»Œ€»æ,212,279,170,182,337,42,4.96,21
2015/1/5,«·∂»Œ€»æ,146,206,109,134,190,29,3.51,25
2015/1/6,¡º,95,259,69,88,202,31,3.23,21
2015/1/7,«·∂»Œ€»æ,127,323,95,105,199,29,3.32,24
2015/1/8,«·∂»Œ€»æ,111,226,83,101,131,28,3.58,22
2015/1/9,«·∂»Œ€»æ,139,244,104,123,130,34,3.87,22
2015/1/10,«·∂»Œ€»æ,133,226,101,110,138,36,3.74,23
2015/1/11,«·∂»Œ€»æ,148,264,112,129,173,40,4,22
2015/1/12,÷–∂»Œ€»æ,171,332,130,154,145,40,4.34,27
2015/1/13,÷–∂»Œ€»æ,177,326,133,184,157,56,5.17,26
2015/1/14,÷–∂»Œ€»æ,172,303,130,160,144,43,4.62,26
2015/1/15,«·∂»Œ€»æ,132,239,100,114,125,35,4.54,25
2015/1/16,¡º,88,150,61,93,113,23,4.51,28
2015/1/17,¡º,55,42,34,55,82,30,4.02,26
2015/1/18,”≈,45,24,23,43,64,18,3.7,36
2015/1/19,¡º,65,73,44,67,123,33,4.92,23
2015/1/20,¡º,85,127,58,87,107,25,5.09,29
2015/1/21,”≈,46,29,24,41,70,23,3.88,28
2015/1/22,¡º,58,39,38,61,114,28,4.25,24
2015/1/23,¡º,81,63,58,93,163,33,5.01,23
2015/1/24,¡º,94,114,70,106,138,39,5.06,22
2015/1/25,¡º,98,120,73,102,138,35,5.08,24
2015/1/26,¡º,73,66,51,76,98,29,4.31,25
2015/1/27,¡º,57,98,34,61,102,27,3.85,23
2015/1/28,¡º,68,237,48,78,121,35,4.29,23
