»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,÷–∂»Œ€»æ,194,348,148,201,16,43,1.17,12
2015/1/2,÷ÿ∂»Œ€»æ,203,643,154,209,21,48,1.31,10
2015/1/3,÷–∂»Œ€»æ,169,295,127,176,15,38,1.32,17
2015/1/4,÷ÿ∂»Œ€»æ,238,310,187,257,26,64,1.4,11
2015/1/5,÷–∂»Œ€»æ,168,239,127,167,16,40,1.36,13
2015/1/6,¡º,88,242,62,91,21,31,0.76,26
2015/1/7,¡º,86,218,63,94,22,34,0.59,14
2015/1/8,¡º,93,179,68,84,11,28,0.54,22
2015/1/9,«·∂»Œ€»æ,104,186,77,105,16,27,0.68,21
2015/1/10,«·∂»Œ€»æ,110,178,82,111,19,26,0.86,32
2015/1/11,«·∂»Œ€»æ,105,182,78,99,16,25,0.67,34
2015/1/12,¡º,92,195,66,95,15,27,0.73,28
2015/1/13,÷–∂»Œ€»æ,200,345,154,204,30,56,1.4,7
2015/1/14,÷ÿ∂»Œ€»æ,214,333,166,217,27,60,1.38,5
2015/1/15,—œ÷ÿŒ€»æ,267,345,216,283,35,56,1.7,4
2015/1/16,÷–∂»Œ€»æ,160,276,121,159,28,35,0.93,22
2015/1/17,÷–∂»Œ€»æ,161,313,122,158,22,27,0.8,28
2015/1/18,«·∂»Œ€»æ,148,316,111,144,19,31,0.7,21
2015/1/19,«·∂»Œ€»æ,148,320,112,142,18,28,0.79,19
2015/1/20,÷–∂»Œ€»æ,168,329,127,173,27,39,1.09,31
2015/1/21,÷–∂»Œ€»æ,155,305,117,167,24,38,1,37
2015/1/22,÷ÿ∂»Œ€»æ,213,354,163,228,40,65,1.39,10
2015/1/23,—œ÷ÿŒ€»æ,251,361,200,273,42,72,1.52,10
2015/1/24,÷ÿ∂»Œ€»æ,233,328,184,256,35,70,1.43,18
2015/1/25,÷–∂»Œ€»æ,180,254,135,191,29,48,1.13,22
2015/1/26,÷–∂»Œ€»æ,174,245,131,175,23,52,1.07,13
2015/1/27,÷–∂»Œ€»æ,186,356,141,202,23,54,1.27,8
2015/1/28,¡º,69,249,41,90,6,21,0.85,17
2015/1/29,”≈,50,117,32,51,10,15,0.88,26
2015/1/30,¡º,74,200,53,79,16,16,1.05,20
2015/1/31,¡º,61,126,43,54,6,16,0.68,18
2015/2/1,”≈,47,47,33,37,6,12,0.72,20
2015/2/2,¡º,74,112,53,66,10,11,0.83,28
2015/2/3,«·∂»Œ€»æ,110,196,82,102,10,24,1.01,21
2015/2/4,¡º,94,174,69,93,12,21,1.06,39
2015/2/5,¡º,97,229,72,100,13,27,0.74,39
2015/2/6,«·∂»Œ€»æ,131,306,98,131,33,28,0.98,33
2015/2/7,«·∂»Œ€»æ,121,250,91,112,14,31,0.9,28
2015/2/8,«·∂»Œ€»æ,109,292,81,110,25,28,0.89,31
2015/2/9,÷–∂»Œ€»æ,163,346,123,158,16,32,1.09,16
2015/2/10,÷–∂»Œ€»æ,181,342,137,176,15,35,1.08,29
2015/2/11,«·∂»Œ€»æ,150,279,113,151,15,27,1.11,42
2015/2/12,«·∂»Œ€»æ,145,252,110,144,24,36,1.12,59
2015/2/13,«·∂»Œ€»æ,149,277,112,138,13,28,0.94,57
2015/2/14,÷–∂»Œ€»æ,175,291,135,170,19,34,1.2,52
2015/2/15,÷–∂»Œ€»æ,186,309,143,200,13,36,1.32,28
2015/2/16,¡º,100,176,70,120,11,21,0.7,43
2015/2/17,«·∂»Œ€»æ,104,214,78,119,10,15,0.72,54
2015/2/18,«·∂»Œ€»æ,130,300,98,139,12,15,0.67,56
2015/2/19,÷ÿ∂»Œ€»æ,218,335,177,221,36,13,0.68,37
2015/2/20,¡º,79,250,57,74,9,11,0.72,27
2015/2/21,«·∂»Œ€»æ,102,272,76,94,8,17,0.87,11
2015/2/22,¡º,57,108,39,55,6,6,0.38,48
2015/2/23,”≈,49,88,33,46,5,6,0.43,28
2015/2/24,¡º,55,109,37,50,6,7,0.59,24
2015/2/25,¡º,56,148,35,51,18,14,0.73,38
2015/2/26,¡º,55,162,35,57,14,18,0.48,40
2015/2/27,¡º,65,258,46,63,8,24,0.64,20
2015/2/28,”≈,36,103,23,36,12,16,0.59,37
2015/3/1,¡º,57,149,34,62,15,15,0.48,48
2015/3/2,¡º,65,134,44,75,14,20,0.62,47
2015/3/3,¡º,84,223,56,108,10,23,0.63,44
2015/3/4,¡º,76,285,47,94,4,30,0.54,24
2015/3/5,¡º,58,172,35,60,7,23,0.53,30
2015/3/6,¡º,79,213,55,100,9,23,0.55,34
2015/3/7,«·∂»Œ€»æ,115,304,86,138,14,40,0.77,26
2015/3/8,«·∂»Œ€»æ,103,283,76,110,15,33,0.74,49
2015/3/9,¡º,99,287,73,103,21,32,0.85,57
2015/3/10,«·∂»Œ€»æ,120,329,90,122,28,42,0.85,37
2015/3/11,¡º,92,282,68,81,16,19,0.54,60
2015/3/12,¡º,99,245,73,100,18,24,0.69,82
2015/3/13,«·∂»Œ€»æ,116,286,87,116,22,32,0.73,66
2015/3/14,«·∂»Œ€»æ,140,294,106,134,30,32,0.86,71
2015/3/15,«·∂»Œ€»æ,146,303,110,132,20,24,0.8,78
2015/3/16,«·∂»Œ€»æ,128,279,96,121,11,31,0.82,59
2015/3/17,¡º,98,269,68,96,13,32,0.87,65
2015/3/18,¡º,74,220,52,81,10,30,0.81,67
2015/3/19,¡º,71,171,49,77,20,30,0.71,55
2015/3/20,¡º,59,116,38,61,9,28,0.65,58
2015/3/21,¡º,74,168,45,77,14,20,0.5,85
2015/3/22,¡º,66,103,40,77,12,24,0.52,88
2015/3/23,¡º,75,218,49,88,16,33,0.59,57
2015/3/24,¡º,54,116,31,51,17,18,0.42,75
2015/3/25,¡º,71,200,48,72,9,19,0.54,77
2015/3/26,«·∂»Œ€»æ,114,316,83,122,18,35,0.64,74
2015/3/27,÷–∂»Œ€»æ,157,349,119,178,22,53,0.97,33
2015/3/28,÷–∂»Œ€»æ,167,345,126,167,16,45,0.96,31
2015/3/29,«·∂»Œ€»æ,112,244,83,118,10,29,0.82,58
2015/3/30,¡º,93,234,65,94,13,31,0.85,81
2015/3/31,«·∂»Œ€»æ,145,336,106,149,20,41,0.92,93
2015/4/1,«·∂»Œ€»æ,124,335,92,139,20,44,0.91,79
2015/4/2,¡º,75,282,45,77,17,19,0.51,81
2015/4/3,¡º,73,228,44,80,21,25,0.5,82
2015/4/4,¡º,67,184,40,80,13,25,0.46,73
2015/4/5,”≈,44,74,24,44,11,12,0.39,63
2015/4/6,”≈,40,76,22,34,9,16,0.51,55
2015/4/7,”≈,42,93,27,38,10,15,0.47,79
2015/4/8,”≈,49,123,32,45,4,12,0.59,67
2015/4/9,¡º,60,162,38,60,9,25,0.67,49
2015/4/10,¡º,61,143,34,66,20,23,0.61,50
2015/4/11,¡º,67,148,39,75,11,23,0.6,62
2015/4/12,¡º,76,234,41,94,16,18,0.49,80
2015/4/13,¡º,77,276,39,97,16,29,0.52,80
2015/4/14,¡º,92,279,55,126,22,30,0.62,103
2015/4/15,«·∂»Œ€»æ,101,248,66,115,21,20,0.66,108
2015/4/16,«·∂»Œ€»æ,104,226,65,114,18,39,0.76,102
2015/4/17,«·∂»Œ€»æ,149,345,98,165,17,41,0.84,110
2015/4/18,¡º,90,217,65,118,18,34,0.64,55
2015/4/19,¡º,58,148,29,67,20,32,0.45,42
2015/4/20,¡º,69,241,39,85,22,30,0.54,49
2015/4/21,¡º,71,217,48,87,10,40,0.52,31
2015/4/22,¡º,54,69,30,62,16,33,0.41,37
2015/4/23,¡º,59,81,36,66,22,20,0.47,50
2015/4/24,¡º,60,89,34,57,10,11,0.38,90
2015/4/25,¡º,77,160,53,76,12,14,0.52,110
2015/4/26,«·∂»Œ€»æ,122,329,89,124,18,24,0.66,96
2015/4/27,«·∂»Œ€»æ,129,342,96,138,30,30,0.77,102
2015/4/28,«·∂»Œ€»æ,148,355,106,150,32,32,0.84,95
2015/4/29,«·∂»Œ€»æ,114,314,80,120,20,39,0.75,92
2015/4/30,«·∂»Œ€»æ,126,320,91,130,16,37,0.74,102
2015/5/1,¡º,60,132,37,58,7,13,0.32,87
2015/5/2,¡º,84,321,57,99,15,30,0.52,69
2015/5/3,«·∂»Œ€»æ,122,338,91,128,13,35,0.77,46
2015/5/4,¡º,72,225,44,62,15,20,0.33,86
