日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,良,63,97,32,74,29,38,0.79,46
2015/1/2,良,96,368,71,119,36,67,1.08,27
2015/1/3,轻度污染,109,170,81,128,30,67,1.11,35
2015/1/4,良,99,92,73,118,36,103,1.07,58
2015/1/5,良,81,82,58,96,20,62,0.87,41
2015/1/6,轻度污染,128,313,95,139,24,51,1.17,39
2015/1/7,良,63,104,40,71,24,44,0.92,38
2015/1/8,中度污染,156,311,118,174,60,72,1.39,31
2015/1/9,中度污染,191,306,145,206,55,98,1.55,28
2015/1/10,重度污染,244,344,193,280,56,118,2.04,14
2015/1/11,轻度污染,149,266,113,171,41,91,1.4,42
2015/1/12,轻度污染,119,259,88,135,14,50,1.07,42
2015/1/13,优,46,65,26,48,10,50,0.71,32
2015/1/14,优,47,70,30,41,14,37,0.77,40
2015/1/15,良,80,128,58,77,20,51,0.95,16
2015/1/16,轻度污染,102,178,75,102,22,51,0.95,30
2015/1/17,轻度污染,148,294,112,151,26,45,1.15,54
2015/1/18,轻度污染,130,262,98,143,27,65,1.13,43
2015/1/19,轻度污染,105,231,74,130,38,69,1.11,50
2015/1/20,良,84,119,54,112,24,56,1.03,46
2015/1/21,轻度污染,102,179,74,120,27,63,1,50
2015/1/22,中度污染,179,342,137,192,36,55,1.56,44
2015/1/23,中度污染,178,309,134,175,26,62,1.55,50
2015/1/24,良,100,126,72,98,19,53,1.13,75
2015/1/25,轻度污染,115,150,86,124,20,64,1.13,41
2015/1/26,重度污染,222,297,179,247,19,67,1.75,16
2015/1/27,良,63,121,43,60,11,27,0.92,63
2015/1/28,优,39,81,20,36,9,38,0.83,34
2015/1/29,优,49,106,32,46,12,55,0.89,15
2015/1/30,良,78,219,56,69,17,47,1.09,24
2015/1/31,良,62,143,41,56,16,32,0.98,54
2015/2/1,优,45,36,25,46,9,35,0.77,40
2015/2/2,良,96,192,71,104,14,60,1.06,9
2015/2/3,良,67,80,48,67,10,59,0.91,15
2015/2/4,中度污染,167,285,127,167,24,60,1.33,37
2015/2/5,中度污染,151,331,116,151,33,51,1.31,51
2015/2/6,良,89,169,66,98,24,62,1.04,41
