»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,«·∂»Œ€»æ,148,331,90,243,53,61,1.93,16
2015/1/2,÷–∂»Œ€»æ,156,600,118,219,61,66,3.5,20
2015/1/3,÷–∂»Œ€»æ,179,312,137,220,62,79,6,20
2015/1/4,«·∂»Œ€»æ,149,200,96,210,49,41,2.82,55
2015/1/5,¡º,79,78,39,106,28,24,0.87,64
2015/1/6,¡º,74,189,51,88,33,42,2.84,32
2015/1/7,«·∂»Œ€»æ,110,294,77,137,39,49,4.13,28
2015/1/8,¡º,89,165,58,110,39,57,5.46,28
2015/1/9,«·∂»Œ€»æ,101,174,73,122,45,63,7.29,27
2015/1/10,«·∂»Œ€»æ,132,222,96,155,51,70,4.1,25
2015/1/11,«·∂»Œ€»æ,124,223,93,139,49,67,1,32
2015/1/12,÷–∂»Œ€»æ,194,342,152,213,67,76,1.49,34
2015/1/13,—œ÷ÿŒ€»æ,266,364,215,298,63,81,2.09,20
2015/1/14,«·∂»Œ€»æ,144,274,106,177,55,64,1.37,26
2015/1/15,¡º,98,168,63,122,40,43,0.83,45
2015/1/16,¡º,80,118,53,95,46,57,0.87,30
2015/1/17,«·∂»Œ€»æ,107,204,73,137,48,49,1.01,35
2015/1/18,¡º,87,131,59,110,55,53,1.49,36
2015/1/19,¡º,90,163,63,112,53,61,1.63,28
2015/1/20,¡º,92,161,55,115,34,39,1,46
2015/1/21,«·∂»Œ€»æ,103,180,52,154,38,42,1,40
2015/1/22,«·∂»Œ€»æ,122,241,90,170,53,69,1.78,24
2015/1/23,«·∂»Œ€»æ,131,198,99,151,52,67,1.81,34
2015/1/24,«·∂»Œ€»æ,112,155,78,141,43,49,1.28,44
2015/1/25,«·∂»Œ€»æ,111,142,81,140,35,63,1.45,31
2015/1/26,«·∂»Œ€»æ,136,190,92,169,37,50,1.29,36
2015/1/27,¡º,79,168,49,93,14,28,0.46,40
2015/1/28,¡º,91,318,67,86,34,40,1.38,20
2015/1/29,¡º,81,250,45,110,33,31,0.82,44
2015/1/30,«·∂»Œ€»æ,107,285,72,152,30,44,1.86,31
2015/1/31,«·∂»Œ€»æ,106,298,79,106,24,30,1.51,56
2015/2/1,«·∂»Œ€»æ,149,332,112,134,33,38,1.88,43
2015/2/2,÷–∂»Œ€»æ,198,346,151,187,42,53,2.4,48
2015/2/3,÷–∂»Œ€»æ,161,276,122,165,40,47,2.29,45
2015/2/4,«·∂»Œ€»æ,131,237,99,126,39,33,1.77,56
2015/2/5,¡º,78,166,55,87,32,49,1.67,36
2015/2/6,¡º,93,192,68,107,36,43,1.62,38
2015/2/7,¡º,94,157,58,129,34,22,0.72,62
2015/2/8,¡º,97,268,65,130,42,46,1.7,43
2015/2/9,«·∂»Œ€»æ,137,328,104,157,54,58,2.16,40
2015/2/10,«·∂»Œ€»æ,117,234,79,136,40,48,1.95,47
2015/2/11,÷–∂»Œ€»æ,152,282,75,236,46,45,2.03,47
2015/2/12,¡º,78,121,51,93,39,40,1.36,46
2015/2/13,¡º,82,139,54,106,49,43,1.33,50
2015/2/14,÷–∂»Œ€»æ,190,309,99,247,60,48,1.63,53
2015/2/15,¡º,82,129,49,104,39,24,1.07,63
2015/2/16,¡º,76,98,51,88,43,42,1.48,42
2015/2/17,«·∂»Œ€»æ,102,210,76,123,55,50,1.83,42
2015/2/18,÷–∂»Œ€»æ,160,347,123,173,52,39,1.81,56
2015/2/19,÷ÿ∂»Œ€»æ,222,340,175,212,32,32,1.81,50
2015/2/20,«·∂»Œ€»æ,129,337,91,129,30,27,1.38,54
2015/2/21,¡º,83,231,45,113,28,22,1.11,63
2015/2/22,«·∂»Œ€»æ,106,218,63,159,34,26,1.22,48
2015/2/23,¡º,88,220,56,123,36,25,1.1,65
2015/2/24,¡º,75,189,53,88,39,34,1.38,49
2015/2/25,¡º,97,272,59,141,33,33,1.11,47
2015/2/26,«·∂»Œ€»æ,102,298,65,148,48,37,1.09,46
2015/2/27,«·∂»Œ€»æ,117,349,87,128,37,34,1.26,51
2015/2/28,¡º,71,263,45,87,33,25,0.82,57
2015/3/1,¡º,68,208,48,70,41,40,1.09,39
2015/3/2,«·∂»Œ€»æ,122,325,63,171,36,32,0.99,53
2015/3/3,«·∂»Œ€»æ,123,323,61,182,35,24,0.75,64
2015/3/4,¡º,95,327,63,113,39,29,0.85,57
2015/3/5,«·∂»Œ€»æ,127,351,96,107,36,36,1.13,44
2015/3/6,÷–∂»Œ€»æ,160,352,121,144,41,51,1.61,22
2015/3/7,«·∂»Œ€»æ,136,335,102,125,56,63,2,22
2015/3/8,¡º,81,219,55,92,34,40,1.18,57
2015/3/9,¡º,84,249,50,115,26,29,0.88,55
2015/3/10,«·∂»Œ€»æ,108,318,80,134,45,49,1.18,32
2015/3/11,«·∂»Œ€»æ,102,310,68,132,52,55,1.49,36
2015/3/12,¡º,81,195,53,105,58,65,1.55,52
2015/3/13,¡º,75,171,39,100,36,44,0.93,55
2015/3/14,«·∂»Œ€»æ,144,304,65,235,27,30,0.74,65
2015/3/15,«·∂»Œ€»æ,132,279,77,206,35,52,1.12,56
2015/3/16,«·∂»Œ€»æ,132,287,99,165,32,60,1.55,54
2015/3/17,¡º,63,127,40,61,24,38,0.98,60
2015/3/18,¡º,53,114,37,49,23,38,1.09,47
2015/3/19,¡º,63,130,42,63,17,38,1.08,58
2015/3/20,¡º,61,127,37,70,19,37,1.03,44
2015/3/21,¡º,64,108,43,66,24,46,0.97,43
2015/3/22,¡º,64,94,44,66,21,49,0.91,39
2015/3/23,¡º,54,74,34,56,18,36,0.74,55
2015/3/24,”≈,50,87,34,45,12,29,0.61,67
2015/3/25,¡º,53,93,37,46,13,34,0.91,34
2015/3/26,”≈,44,46,30,37,15,30,0.92,44
2015/3/27,¡º,69,166,50,61,23,44,1.09,41
2015/3/28,¡º,75,149,47,89,25,58,1.07,32
2015/3/29,¡º,62,81,39,68,24,46,1.02,65
2015/3/30,«·∂»Œ€»æ,103,267,76,99,24,49,1.15,64
2015/3/31,«·∂»Œ€»æ,105,282,78,101,27,61,1.38,28
2015/4/1,¡º,73,229,52,74,12,43,1.45,26
2015/4/2,«·∂»Œ€»æ,150,351,111,175,19,50,1.54,27
2015/4/3,«·∂»Œ€»æ,124,341,78,195,11,39,1.23,33
2015/4/4,¡º,84,256,42,115,9,31,1.06,33
2015/4/5,”≈,47,89,22,47,11,26,0.83,65
2015/4/6,¡º,56,184,32,61,7,26,0.79,74
2015/4/7,¡º,71,287,49,84,11,33,1.07,49
2015/4/8,¡º,85,301,62,94,12,40,1.29,39
2015/4/9,¡º,71,233,42,86,13,36,0.93,62
2015/4/10,¡º,66,180,39,80,21,45,1.18,53
2015/4/11,¡º,94,289,39,132,10,30,0.55,68
2015/4/12,«·∂»Œ€»æ,108,354,42,154,9,18,0.42,84
2015/4/13,¡º,61,152,32,70,13,45,0.72,57
2015/4/14,¡º,79,203,44,105,20,61,1.04,42
2015/4/15,«·∂»Œ€»æ,104,259,54,149,16,45,0.9,56
2015/4/16,÷ÿ∂»Œ€»æ,203,357,92,314,12,37,0.7,56
2015/4/17,«·∂»Œ€»æ,110,248,51,167,22,58,0.9,48
2015/4/18,¡º,51,50,31,39,5,21,0.75,75
2015/4/19,”≈,42,39,15,22,6,29,0.83,69
2015/4/20,¡º,53,121,29,57,9,47,1.07,39
2015/4/21,”≈,50,86,21,49,8,34,0.97,66
2015/4/22,¡º,58,105,26,64,20,43,1.01,55
2015/4/23,¡º,74,176,38,94,29,62,1.13,45
2015/4/24,¡º,72,154,29,91,13,52,0.64,64
2015/4/25,¡º,67,93,34,79,12,54,0.7,64
2015/4/26,¡º,74,120,39,96,14,60,0.83,51
2015/4/27,¡º,82,191,33,111,15,61,0.96,53
2015/4/28,¡º,87,251,32,122,12,52,1.55,68
2015/4/29,¡º,92,268,43,133,13,49,1.55,79
2015/4/30,÷ÿ∂»Œ€»æ,216,357,111,288,13,39,0.95,84
2015/5/1,¡º,59,129,22,67,6,30,0.73,66
