日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,优,50,51,27,50,31,28,0.95,81
2015/1/2,优,45,38,24,46,31,36,1.16,41
2015/1/3,良,58,31,35,64,52,52,1.42,32
2015/1/4,轻度污染,121,139,90,136,76,80,2.2,45
2015/1/5,中度污染,180,257,136,168,63,72,1.84,9
2015/1/6,轻度污染,136,335,101,117,44,47,1.73,13
2015/1/7,优,47,44,32,42,30,35,1.75,20
2015/1/8,良,59,62,41,57,32,29,1.17,67
2015/1/9,良,66,69,46,69,32,38,1.14,57
2015/1/10,良,62,54,43,60,29,32,0.99,53
2015/1/11,优,48,40,33,43,22,29,0.87,39
2015/1/12,优,35,20,23,30,15,21,0.91,44
2015/1/13,优,23,4,10,14,12,19,0.94,43
2015/1/14,优,30,15,20,27,16,20,0.78,42
2015/1/15,优,50,38,33,51,19,33,0.73,44
2015/1/16,良,55,33,37,55,24,33,0.81,34
2015/1/17,良,68,75,49,64,24,35,0.68,58
2015/1/18,良,80,103,58,82,27,33,0.84,57
2015/1/19,良,78,106,55,85,24,44,0.9,54
2015/1/20,良,95,173,70,113,44,65,1.7,48
2015/1/21,良,98,168,72,109,29,63,1.69,45
2015/1/22,良,72,71,50,81,30,54,1.16,49
2015/1/23,良,77,50,52,92,39,66,1.27,45
2015/1/24,轻度污染,105,137,78,117,30,81,1.35,19
2015/1/25,轻度污染,109,140,80,103,48,55,1.65,37
2015/1/26,良,68,50,47,76,25,46,1.25,34
2015/1/27,良,84,197,62,92,34,42,1.35,37
2015/1/28,良,61,212,42,53,16,40,1.88,14
2015/1/29,优,42,63,27,40,17,35,1.48,10
2015/1/30,优,27,7,15,25,18,28,0.93,12
2015/1/31,优,37,19,25,34,19,27,0.87,23
2015/2/1,优,39,17,26,35,16,26,0.84,27
2015/2/2,良,63,71,43,57,19,26,0.88,37
2015/2/3,良,73,98,53,70,23,38,0.92,24
2015/2/4,优,28,3,18,25,17,31,1.04,14
2015/2/5,良,66,121,47,61,19,26,0.77,41
2015/2/6,良,84,139,61,89,26,35,0.98,60
2015/2/7,良,94,155,69,101,24,52,1.24,22
2015/2/8,良,87,234,63,92,23,34,0.96,71
2015/2/9,良,93,227,69,101,26,38,1.01,73
2015/2/10,良,100,186,74,110,31,39,1.08,66
2015/2/11,轻度污染,132,249,99,137,31,52,1.54,27
2015/2/12,轻度污染,131,234,99,144,19,43,1.99,34
2015/2/13,轻度污染,103,206,77,118,29,44,1.61,46
2015/2/14,轻度污染,128,215,97,131,23,49,1.74,22
2015/2/15,良,93,161,68,89,28,35,1.93,44
2015/2/16,良,67,67,47,70,18,26,1.72,34
2015/2/17,良,54,54,35,55,19,26,1.25,36
2015/2/18,良,64,85,45,64,16,21,0.97,29
2015/2/19,轻度污染,144,247,108,137,27,21,1.04,27
2015/2/20,良,58,161,37,62,24,21,0.92,57
2015/2/21,优,37,29,17,29,19,18,0.76,52
2015/2/22,优,23,3,13,22,15,16,0.91,27
2015/2/23,优,31,22,19,30,15,15,1.11,24
2015/2/24,优,37,36,24,36,9,15,1.18,23
2015/2/25,优,36,41,20,35,17,18,1.23,28
2015/2/26,优,37,48,21,35,21,18,0.93,45
2015/2/27,优,37,70,22,36,18,21,1.2,33
2015/2/28,优,24,20,12,20,21,20,1,29
2015/3/1,优,17,1,8,12,9,12,0.84,33
2015/3/2,优,38,19,23,35,20,22,1.13,37
2015/3/3,优,33,9,19,25,11,19,0.91,29
2015/3/4,优,35,31,19,30,10,16,0.76,50
2015/3/5,优,16,2,6,10,9,14,0.89,29
2015/3/6,优,15,3,5,7,9,12,0.91,30
2015/3/7,优,23,5,11,19,13,16,1.05,32
2015/3/8,优,42,48,26,42,20,25,1.5,16
2015/3/9,优,29,6,17,28,17,18,1.09,28
2015/3/10,优,41,37,28,37,12,15,0.86,51
2015/3/11,优,17,5,7,11,9,15,0.81,29
2015/3/12,优,26,9,11,22,12,17,0.95,52
2015/3/13,优,43,42,27,42,20,29,1.09,27
2015/3/14,良,61,81,43,65,19,32,1.69,7
2015/3/15,优,48,34,30,50,23,29,1.63,9
2015/3/16,良,52,54,34,54,20,29,1.65,8
2015/3/17,优,45,36,28,43,19,29,1.21,18
2015/3/18,优,44,67,27,46,23,33,1.07,26
2015/3/19,良,58,99,38,61,24,31,1.32,38
2015/3/20,良,61,126,41,62,26,31,1.09,41
2015/3/21,优,36,6,22,34,14,20,1.2,43
2015/3/22,优,47,22,30,46,14,23,1.24,57
2015/3/23,优,40,17,26,37,12,24,1.24,33
2015/3/24,优,27,6,13,22,13,17,0.89,52
2015/3/25,优,35,8,21,34,11,19,0.69,51
2015/3/26,优,49,69,31,48,16,26,0.83,25
2015/3/27,优,41,34,26,40,13,20,0.75,35
2015/3/28,优,45,27,29,44,15,24,0.9,39
2015/3/29,良,73,126,52,75,21,33,1.28,58
2015/3/30,良,61,109,41,64,20,39,1.04,46
2015/3/31,优,43,40,24,44,18,27,0.9,48
2015/4/1,优,41,46,21,40,16,23,0.72,42
2015/4/2,优,40,57,21,40,14,22,0.73,46
