日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,良,74,161,52,88,14,39,1.17,69
2015/1/2,良,86,304,59,104,15,41,1.26,75
2015/1/3,良,68,60,44,80,11,44,1.14,73
2015/1/4,良,62,30,33,72,10,43,1.06,72
2015/1/5,良,56,37,35,59,8,40,1.11,54
2015/1/6,良,62,137,40,69,11,56,1.09,44
2015/1/7,良,68,132,47,74,12,44,1.56,38
2015/1/8,良,61,69,42,59,12,28,1.52,62
2015/1/9,良,91,137,67,98,14,47,1.33,66
2015/1/10,良,94,134,68,109,12,57,1.31,66
2015/1/11,良,96,155,71,102,12,41,1.26,54
2015/1/12,良,70,143,51,60,7,30,1.25,45
2015/1/13,优,28,21,13,23,4,29,1.16,45
2015/1/14,优,37,36,19,35,6,26,1.11,59
2015/1/15,良,56,57,36,61,6,42,1.16,61
2015/1/16,良,75,105,51,90,8,64,1.31,53
2015/1/17,良,70,80,48,76,9,36,1.06,72
2015/1/18,良,95,151,70,103,11,38,1.26,73
2015/1/19,良,91,169,66,107,14,41,1.21,84
2015/1/20,良,88,133,62,110,11,61,1.28,77
2015/1/21,轻度污染,132,238,99,160,17,101,1.63,73
2015/1/22,良,89,132,61,113,10,64,1.26,70
2015/1/23,良,75,47,48,97,10,55,1.14,79
2015/1/24,良,71,54,48,82,10,32,1.12,85
2015/1/25,良,66,45,45,72,8,41,1.15,60
2015/1/26,良,72,64,51,77,9,51,1.13,48
2015/1/27,良,65,128,46,62,6,34,1.06,67
2015/1/28,优,44,111,28,41,4,19,1.06,74
2015/1/29,良,53,130,31,57,9,47,1.06,56
2015/1/30,良,61,137,41,66,7,48,1.27,45
2015/1/31,良,61,127,41,67,7,44,1.28,29
2015/2/1,良,70,151,50,72,7,34,1.29,45
2015/2/2,良,74,111,53,81,8,41,1.28,68
2015/2/3,良,69,87,49,78,10,50,1.16,65
2015/2/4,良,72,126,52,73,7,37,1.36,43
2015/2/5,良,58,86,41,55,6,24,1.34,50
2015/2/6,轻度污染,102,223,76,97,12,41,1.37,55
2015/2/7,轻度污染,102,200,75,106,12,46,1.26,69
2015/2/8,良,84,226,61,90,14,23,1.02,87
2015/2/9,良,97,242,72,111,13,39,1.08,93
2015/2/10,良,73,96,53,76,10,37,0.95,87
2015/2/11,轻度污染,106,185,79,110,16,72,1.12,61
2015/2/12,轻度污染,135,240,99,136,12,49,1.26,79
2015/2/13,良,68,77,41,85,8,45,0.87,79
2015/2/14,良,72,70,41,91,7,25,0.8,93
2015/2/15,良,84,140,60,96,7,54,1.12,59
2015/2/16,良,88,140,65,90,5,43,1.27,30
2015/2/17,良,61,79,43,58,6,28,1.08,47
2015/2/18,良,69,102,48,74,8,13,1.12,97
2015/2/19,良,71,82,49,86,9,13,0.96,98
2015/2/20,优,50,110,31,50,6,14,0.83,82
2015/2/21,优,46,80,27,45,6,25,0.87,55
2015/2/22,优,46,70,28,45,6,29,0.93,36
2015/2/23,优,29,17,17,25,6,20,1,45
2015/2/24,优,39,47,27,36,5,21,1.14,43
2015/2/25,优,35,37,23,33,6,25,1.01,37
2015/2/26,优,37,50,20,35,7,25,0.9,36
2015/2/27,优,29,30,16,25,4,18,0.84,52
2015/2/28,优,32,72,17,28,4,19,0.89,58
2015/3/1,优,31,38,14,30,4,20,1.01,48
2015/3/2,优,44,45,21,44,5,21,1.02,54
2015/3/3,良,61,119,38,71,5,33,1.11,53
2015/3/4,优,37,36,19,35,4,27,1.17,32
2015/3/5,优,36,52,23,33,4,21,1.06,54
2015/3/6,优,48,97,31,45,4,29,1.14,28
2015/3/7,优,48,70,32,49,4,30,1.18,28
2015/3/8,优,37,27,20,35,5,27,0.96,53
2015/3/9,良,63,159,40,72,10,65,1.16,36
2015/3/10,优,50,97,25,52,6,20,0.89,86
2015/3/11,良,71,188,51,76,7,30,0.99,51
2015/3/12,优,32,25,17,31,5,39,1.16,16
2015/3/13,优,38,22,21,36,7,32,0.97,48
2015/3/14,良,55,48,33,58,8,40,1.01,54
2015/3/15,优,46,27,28,45,7,37,0.93,46
2015/3/16,优,43,28,25,40,7,39,0.89,33
2015/3/17,优,41,24,26,37,6,26,0.83,39
2015/3/18,优,42,59,25,40,5,30,0.83,31
2015/3/19,优,47,59,28,46,7,34,0.85,30
2015/3/20,良,51,74,27,52,6,36,0.86,30
2015/3/21,良,68,137,48,79,12,58,1.03,36
2015/3/22,良,59,63,40,57,7,27,1.09,69
2015/3/23,良,70,186,40,86,9,30,0.98,94
2015/3/24,良,69,202,45,71,8,25,1.01,74
2015/3/25,良,61,149,39,65,8,35,0.89,56
2015/3/26,良,64,168,44,65,6,36,0.94,45
2015/3/27,良,57,121,36,59,6,46,0.96,34
2015/3/28,优,47,35,27,47,8,39,0.88,47
2015/3/29,良,55,54,36,54,9,37,0.86,62
2015/3/30,优,50,54,30,49,9,30,0.78,65
2015/3/31,优,42,31,23,41,8,33,0.72,36
2015/4/1,优,36,23,19,35,7,30,0.69,23
2015/4/2,优,34,22,16,33,7,24,0.66,27
