»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,«·∂»Œ€»æ,119,310,88,155,126,65,2.07,18
2015/1/2,÷–∂»Œ€»æ,172,621,130,219,115,69,2.65,21
2015/1/3,—œ÷ÿŒ€»æ,278,357,224,358,180,105,4.11,13
2015/1/4,—œ÷ÿŒ€»æ,443,359,391,540,259,170,6.97,9
2015/1/5,—œ÷ÿŒ€»æ,330,346,286,402,176,140,5.64,13
2015/1/6,¡º,81,217,52,105,77,52,1.2,27
2015/1/7,÷–∂»Œ€»æ,184,360,139,233,180,95,3.57,10
2015/1/8,÷ÿ∂»Œ€»æ,204,345,156,258,201,112,4.25,9
2015/1/9,—œ÷ÿŒ€»æ,253,344,203,306,178,119,4.61,19
2015/1/10,÷ÿ∂»Œ€»æ,221,331,178,265,167,110,4.45,20
2015/1/11,«·∂»Œ€»æ,125,228,94,150,105,75,2.37,25
2015/1/12,«·∂»Œ€»æ,133,286,100,148,104,67,2.19,19
2015/1/13,÷ÿ∂»Œ€»æ,243,359,195,284,173,93,3.41,13
2015/1/14,—œ÷ÿŒ€»æ,263,358,212,303,148,101,3.43,6
2015/1/15,—œ÷ÿŒ€»æ,358,362,310,418,144,112,5.48,9
2015/1/16,÷ÿ∂»Œ€»æ,202,320,157,253,47,64,3.65,29
2015/1/17,«·∂»Œ€»æ,111,214,82,142,113,73,1.88,19
2015/1/18,«·∂»Œ€»æ,110,203,54,153,65,42,1.21,44
2015/1/19,¡º,87,151,55,115,103,72,2,25
2015/1/20,÷–∂»Œ€»æ,153,317,115,190,129,82,2.71,13
2015/1/21,¡º,100,174,70,118,66,51,1.37,39
2015/1/22,÷–∂»Œ€»æ,152,304,114,187,143,76,2.51,19
2015/1/23,÷ÿ∂»Œ€»æ,212,348,164,263,189,100,3.95,12
2015/1/24,÷ÿ∂»Œ€»æ,231,326,184,283,111,94,3.54,5
2015/1/25,«·∂»Œ€»æ,128,183,96,129,50,48,1.42,12
2015/1/26,÷ÿ∂»Œ€»æ,235,308,190,276,66,65,2.74,12
2015/1/27,¡º,66,132,47,69,60,35,0.98,34
2015/1/28,«·∂»Œ€»æ,121,347,90,127,82,50,1.52,24
2015/1/29,÷–∂»Œ€»æ,162,351,124,171,84,58,1.75,20
2015/1/30,«·∂»Œ€»æ,106,280,76,128,81,54,1.36,30
2015/1/31,÷–∂»Œ€»æ,159,350,120,189,125,73,2.32,20
2015/2/1,÷ÿ∂»Œ€»æ,214,358,167,244,147,88,3.04,10
2015/2/2,—œ÷ÿŒ€»æ,252,359,201,290,163,99,3.5,8
2015/2/3,÷ÿ∂»Œ€»æ,232,335,183,261,179,90,3.37,15
2015/2/4,¡º,53,70,30,54,41,30,0.82,39
2015/2/5,¡º,67,123,43,77,33,23,0.67,24
2015/2/6,÷–∂»Œ€»æ,158,342,119,188,81,39,1.88,17
2015/2/7,¡º,75,104,45,93,34,21,0.76,31
2015/2/8,¡º,79,196,52,100,33,21,0.75,24
2015/2/9,«·∂»Œ€»æ,135,325,102,172,75,37,1.44,14
2015/2/10,«·∂»Œ€»æ,135,282,97,162,77,32,1.29,23
2015/2/11,«·∂»Œ€»æ,110,198,81,137,47,34,1.28,28
2015/2/12,÷–∂»Œ€»æ,160,284,122,182,76,45,1.7,37
2015/2/13,÷–∂»Œ€»æ,172,308,131,198,105,72,2.4,31
2015/2/14,÷–∂»Œ€»æ,200,322,154,232,137,82,2.94,35
2015/2/15,÷ÿ∂»Œ€»æ,222,340,173,259,86,61,2.41,41
2015/2/16,«·∂»Œ€»æ,142,269,93,189,70,44,1.44,40
2015/2/17,«·∂»Œ€»æ,115,246,83,149,58,33,1.21,46
2015/2/18,«·∂»Œ€»æ,128,292,96,143,76,33,1.3,49
2015/2/19,—œ÷ÿŒ€»æ,272,355,221,276,96,42,2.09,15
2015/2/20,÷ÿ∂»Œ€»æ,238,361,189,227,45,34,1.98,8
2015/2/21,÷–∂»Œ€»æ,196,351,142,210,63,28,1.61,32
2015/2/22,¡º,70,150,24,87,32,14,0.39,54
2015/2/23,¡º,100,272,68,131,76,32,1.28,37
2015/2/24,÷–∂»Œ€»æ,194,355,152,246,96,54,2.51,16
2015/2/25,÷–∂»Œ€»æ,185,349,145,230,64,38,1.9,39
2015/2/26,¡º,65,196,45,68,48,28,0.97,48
2015/2/27,¡º,82,309,60,87,46,33,1.17,29
2015/2/28,«·∂»Œ€»æ,132,357,100,126,50,41,1.32,19
2015/3/1,¡º,51,114,23,54,44,29,0.63,43
2015/3/2,¡º,79,208,52,100,72,39,0.9,24
2015/3/3,¡º,59,114,22,70,12,13,0.37,58
2015/3/4,¡º,79,299,53,97,63,39,1.1,40
2015/3/5,«·∂»Œ€»æ,101,325,75,127,77,50,1.43,28
2015/3/6,«·∂»Œ€»æ,133,333,99,175,82,51,1.59,39
2015/3/7,÷ÿ∂»Œ€»æ,226,360,176,256,110,72,2.29,36
2015/3/8,—œ÷ÿŒ€»æ,294,362,243,346,100,87,2.92,29
2015/3/9,¡º,92,274,60,106,35,39,1.04,44
2015/3/10,«·∂»Œ€»æ,104,312,77,143,75,53,1.25,39
2015/3/11,«·∂»Œ€»æ,107,313,73,145,64,51,1.16,44
2015/3/12,«·∂»Œ€»æ,146,336,108,199,80,66,1.65,56
2015/3/13,÷–∂»Œ€»æ,178,345,136,212,70,74,1.86,46
2015/3/14,÷–∂»Œ€»æ,160,327,119,220,99,83,1.78,33
2015/3/15,÷–∂»Œ€»æ,177,329,123,249,72,69,1.75,47
2015/3/16,÷ÿ∂»Œ€»æ,227,349,178,289,70,65,2.02,37
2015/3/17,÷ÿ∂»Œ€»æ,216,356,169,275,45,48,1.68,60
2015/3/18,¡º,89,275,54,125,42,45,0.63,50
2015/3/19,«·∂»Œ€»æ,145,336,108,227,79,71,1.48,47
2015/3/20,«·∂»Œ€»æ,121,286,69,182,52,55,0.79,44
2015/3/21,¡º,93,241,37,134,28,35,0.36,57
2015/3/22,«·∂»Œ€»æ,137,319,44,210,36,43,0.63,32
2015/3/23,«·∂»Œ€»æ,105,319,37,158,42,48,0.68,40
2015/3/24,«·∂»Œ€»æ,125,341,80,193,72,58,1.16,53
2015/3/25,÷–∂»Œ€»æ,171,360,129,234,58,61,1.11,49
2015/3/26,«·∂»Œ€»æ,102,302,71,142,55,59,0.88,56
2015/3/27,«·∂»Œ€»æ,102,277,75,137,59,56,0.9,54
2015/3/28,«·∂»Œ€»æ,106,251,53,153,42,50,0.69,50
2015/3/29,«·∂»Œ€»æ,146,301,68,241,57,56,0.86,64
