»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,«·∂»Œ€»æ,136,328,97,193,146,51,1.76,16
2015/1/2,÷–∂»Œ€»æ,157,601,114,231,190,56,2.13,16
2015/1/3,÷ÿ∂»Œ€»æ,202,333,152,289,235,67,2.64,17
2015/1/4,÷–∂»Œ€»æ,179,231,94,294,185,56,1.55,24
2015/1/5,«·∂»Œ€»æ,123,164,46,187,136,32,0.78,36
2015/1/6,¡º,75,193,41,94,92,29,0.98,23
2015/1/7,«·∂»Œ€»æ,127,324,87,190,183,37,1.59,14
2015/1/8,«·∂»Œ€»æ,148,296,103,237,168,40,1.7,19
2015/1/9,«·∂»Œ€»æ,116,199,74,169,172,40,1.35,28
2015/1/10,«·∂»Œ€»æ,123,203,86,180,159,57,1.62,24
2015/1/11,÷–∂»Œ€»æ,179,309,127,268,196,80,2.16,17
2015/1/12,—œ÷ÿŒ€»æ,255,364,176,352,259,89,2.81,19
2015/1/13,÷–∂»Œ€»æ,180,329,127,271,194,72,1.81,33
2015/1/14,«·∂»Œ€»æ,122,246,73,185,207,67,1.35,23
2015/1/15,«·∂»Œ€»æ,122,224,73,183,148,56,1.31,31
2015/1/16,«·∂»Œ€»æ,101,174,65,140,137,54,1.21,30
2015/1/17,¡º,82,127,51,108,92,44,1.1,32
2015/1/18,¡º,62,58,25,72,47,28,0.53,55
2015/1/19,«·∂»Œ€»æ,111,254,72,165,143,61,1.6,21
2015/1/20,¡º,93,167,38,131,59,26,0.63,55
2015/1/21,¡º,76,103,43,95,111,42,0.97,31
2015/1/22,¡º,89,135,48,125,135,48,1.04,28
2015/1/23,«·∂»Œ€»æ,114,152,74,172,142,64,1.73,21
2015/1/24,«·∂»Œ€»æ,110,150,58,166,163,60,1.26,28
2015/1/25,¡º,100,126,60,144,127,53,1.3,35
2015/1/26,¡º,97,124,26,142,92,27,0.59,43
2015/1/27,¡º,52,80,21,55,36,16,0.47,42
2015/1/28,¡º,78,282,41,102,54,24,0.69,35
2015/1/29,¡º,68,210,30,83,72,25,0.5,43
2015/1/30,¡º,74,199,40,97,56,23,0.69,40
2015/1/31,¡º,55,99,31,61,48,25,0.6,45
2015/2/1,¡º,89,208,63,94,56,31,0.78,46
2015/2/2,«·∂»Œ€»æ,138,280,104,156,79,33,1.24,43
2015/2/3,÷–∂»Œ€»æ,169,285,124,213,117,46,1.61,32
2015/2/4,¡º,63,102,31,75,77,33,0.78,42
2015/2/5,¡º,82,184,54,100,109,48,1,32
2015/2/6,¡º,76,101,45,96,111,38,0.94,37
