»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,78,182,41,101,192,41,1.28,24
2015/1/2,«·∂»Œ€»æ,111,468,70,152,282,57,2.07,19
2015/1/3,¡º,84,100,43,110,181,40,1.38,35
2015/1/4,«·∂»Œ€»æ,132,157,86,198,294,67,2.6,30
2015/1/5,«·∂»Œ€»æ,104,137,57,148,165,44,1.75,30
2015/1/6,¡º,80,214,44,92,201,47,1.29,24
2015/1/7,¡º,96,263,55,132,214,52,1.74,23
2015/1/8,¡º,80,137,33,107,137,36,1.19,44
2015/1/9,¡º,88,127,54,115,150,38,1.28,44
2015/1/10,«·∂»Œ€»æ,102,154,68,123,185,57,1.48,41
2015/1/11,«·∂»Œ€»æ,150,267,113,190,243,71,2.04,34
2015/1/12,÷–∂»Œ€»æ,195,343,150,223,271,70,2.69,30
2015/1/13,—œ÷ÿŒ€»æ,262,362,213,288,305,85,3.09,31
2015/1/14,÷ÿ∂»Œ€»æ,220,337,172,253,172,67,2.49,32
2015/1/15,÷–∂»Œ€»æ,171,283,126,199,163,49,2.09,38
2015/1/16,¡º,62,65,25,73,101,27,0.84,60
2015/1/17,«·∂»Œ€»æ,125,244,88,164,203,58,1.74,31
2015/1/18,¡º,68,69,24,84,64,15,0.59,80
2015/1/19,«·∂»Œ€»æ,125,278,88,162,221,59,1.9,35
2015/1/20,«·∂»Œ€»æ,111,238,72,140,152,45,1.36,44
2015/1/21,¡º,72,87,39,83,141,42,1.02,40
2015/1/22,÷–∂»Œ€»æ,160,312,123,207,287,64,2.49,25
2015/1/23,«·∂»Œ€»æ,140,217,101,182,227,66,2.07,29
2015/1/24,÷–∂»Œ€»æ,198,293,156,247,250,64,2.48,29
2015/1/25,«·∂»Œ€»æ,146,205,112,154,174,51,1.93,48
2015/1/26,«·∂»Œ€»æ,105,146,61,139,113,41,1.43,40
2015/1/27,¡º,81,176,51,91,101,34,0.83,37
2015/1/28,«·∂»Œ€»æ,127,350,95,148,172,57,1.38,24
2015/1/29,¡º,84,260,56,84,107,34,0.99,51
2015/1/30,¡º,91,252,64,94,128,43,1.34,37
2015/1/31,«·∂»Œ€»æ,120,318,90,132,180,50,1.99,30
2015/2/1,÷ÿ∂»Œ€»æ,201,354,155,218,246,60,2.92,29
2015/2/2,—œ÷ÿŒ€»æ,261,360,211,262,273,68,9.68,24
2015/2/3,÷–∂»Œ€»æ,170,286,132,161,174,45,1.89,47
2015/2/4,¡º,76,130,46,81,108,33,0.79,48
2015/2/5,«·∂»Œ€»æ,106,249,71,124,160,46,1.53,35
2015/2/6,«·∂»Œ€»æ,119,277,87,128,166,47,1.44,39
2015/2/7,¡º,98,183,68,95,114,40,1.1,44
2015/2/8,«·∂»Œ€»æ,110,294,80,99,165,46,1.22,35
2015/2/9,«·∂»Œ€»æ,131,319,98,144,229,59,1.92,38
2015/2/10,«·∂»Œ€»æ,135,281,100,154,184,54,1.83,59
2015/2/11,«·∂»Œ€»æ,123,224,85,151,144,48,1.47,74
2015/2/12,«·∂»Œ€»æ,115,200,79,150,162,49,1.42,99
2015/2/13,«·∂»Œ€»æ,114,224,71,137,148,44,1.47,104
2015/2/14,«·∂»Œ€»æ,146,254,112,165,217,65,2.14,69
2015/2/15,«·∂»Œ€»æ,133,253,77,175,113,31,1.1,86
2015/2/16,«·∂»Œ€»æ,105,193,45,149,92,22,0.82,87
2015/2/17,«·∂»Œ€»æ,106,224,75,129,135,39,1.43,61
2015/2/18,«·∂»Œ€»æ,132,305,106,91,137,32,1.39,77
2015/2/19,÷ÿ∂»Œ€»æ,218,337,186,236,192,47,2.6,93
2015/2/20,÷–∂»Œ€»æ,151,347,115,133,98,27,1.73,84
2015/2/21,«·∂»Œ€»æ,101,270,48,140,42,12,0.86,94
2015/2/22,¡º,75,163,27,97,58,9,0.7,97
2015/2/23,«·∂»Œ€»æ,102,277,71,118,128,27,1.51,87
2015/2/24,¡º,73,182,37,84,68,17,1.05,101
2015/2/25,¡º,62,173,25,62,58,14,0.74,94
2015/2/26,¡º,66,200,33,73,94,28,1.05,80
2015/2/27,¡º,82,308,55,82,59,24,1.21,67
2015/2/28,¡º,86,313,54,78,53,17,1.08,71
2015/3/1,¡º,60,166,33,62,73,23,1.13,67
2015/3/2,¡º,70,162,29,88,56,15,0.84,86
2015/3/3,¡º,58,109,16,64,48,15,0.73,77
2015/3/4,¡º,79,298,51,95,129,41,1.18,56
2015/3/5,«·∂»Œ€»æ,107,335,72,133,147,37,1.41,57
2015/3/6,¡º,80,219,53,92,66,20,1.08,84
2015/3/7,¡º,97,264,65,118,106,40,1.35,74
