»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,67,122,45,72,41,21,0.78,13
2015/1/2,¡º,82,274,59,88,63,23,1.11,14
2015/1/3,¡º,63,42,34,75,55,24,0.84,25
2015/1/4,÷–∂»Œ€»æ,155,208,116,174,66,63,2.11,37
2015/1/5,¡º,92,105,54,113,49,43,1.1,39
2015/1/6,”≈,49,78,19,53,26,27,1.26,41
2015/1/7,¡º,87,225,58,97,45,44,1.63,28
2015/1/8,¡º,98,198,72,108,74,60,1.49,20
2015/1/9,«·∂»Œ€»æ,120,209,89,127,143,77,1.59,15
2015/1/10,«·∂»Œ€»æ,130,221,97,140,96,62,1.74,16
2015/1/11,«·∂»Œ€»æ,146,260,110,152,38,50,1.48,25
2015/1/12,«·∂»Œ€»æ,138,295,104,140,64,63,1.9,19
2015/1/13,¡º,92,188,68,95,79,60,1.42,18
2015/1/14,÷ÿ∂»Œ€»æ,206,329,161,213,36,60,2.17,19
2015/1/15,÷–∂»Œ€»æ,169,282,128,168,63,62,1.37,24
2015/1/16,¡º,84,132,61,86,38,39,1.06,35
2015/1/17,¡º,73,92,51,75,54,47,0.97,33
2015/1/18,¡º,76,92,53,79,52,48,1.34,27
2015/1/19,«·∂»Œ€»æ,106,234,78,103,36,45,1.6,35
2015/1/20,¡º,84,121,58,97,67,54,1.12,25
2015/1/21,÷–∂»Œ€»æ,197,358,154,210,73,56,2.01,34
2015/1/22,÷–∂»Œ€»æ,168,328,129,178,65,66,1.76,23
2015/1/23,«·∂»Œ€»æ,121,181,91,131,71,54,1.47,25
2015/1/24,÷–∂»Œ€»æ,169,252,128,184,43,44,1.55,36
2015/1/25,÷–∂»Œ€»æ,171,245,126,203,89,63,1.61,25
2015/1/26,¡º,99,129,63,114,35,29,1.34,30
2015/1/27,¡º,67,134,41,74,49,35,1.61,30
2015/1/28,¡º,90,315,66,94,78,58,1.41,23
2015/1/29,¡º,95,285,69,100,88,60,1.3,24
2015/1/30,¡º,65,154,42,68,37,35,1.25,35
2015/1/31,¡º,88,249,64,93,67,54,1.16,26
2015/2/1,«·∂»Œ€»æ,112,268,83,117,114,65,1.71,23
2015/2/2,÷–∂»Œ€»æ,157,305,120,169,86,80,2.04,23
2015/2/3,«·∂»Œ€»æ,134,249,101,152,62,67,1.79,42
2015/2/4,«·∂»Œ€»æ,128,232,96,135,33,41,1.27,39
2015/2/5,¡º,97,230,72,101,46,45,1.07,36
2015/2/6,¡º,81,121,56,101,72,43,1.13,43
2015/2/7,¡º,96,169,23,141,8,7,0.87,61
2015/2/8,¡º,57,86,26,64,40,19,1.33,44
2015/2/9,¡º,74,149,51,78,60,42,1.36,34
2015/2/10,«·∂»Œ€»æ,120,241,89,121,73,65,2.08,29
2015/2/11,«·∂»Œ€»æ,137,260,102,133,56,55,1.58,35
2015/2/12,”≈,44,23,26,42,26,29,1.18,47
2015/2/13,¡º,68,78,48,72,51,51,1.22,38
2015/2/14,«·∂»Œ€»æ,121,198,91,132,74,47,1.8,53
2015/2/15,«·∂»Œ€»æ,146,265,110,147,71,67,2.35,59
2015/2/16,÷ÿ∂»Œ€»æ,205,346,160,214,35,47,2.47,45
2015/2/17,¡º,68,101,49,62,19,19,1,53
2015/2/18,«·∂»Œ€»æ,103,242,75,100,47,30,2.02,54
2015/2/19,÷ÿ∂»Œ€»æ,218,338,195,244,107,33,1.54,58
2015/2/20,¡º,55,145,36,52,39,17,0.74,77
2015/2/21,”≈,49,101,29,41,16,19,0.98,67
2015/2/22,—œ÷ÿŒ€»æ,260,344,62,342,10,15,0.52,65
2015/2/23,¡º,58,119,26,62,21,18,0.84,59
2015/2/24,¡º,77,197,54,81,62,31,1.25,57
2015/2/25,«·∂»Œ€»æ,121,304,91,105,36,34,1.46,66
2015/2/26,¡º,66,199,46,46,19,22,0.94,62
2015/2/27,¡º,79,303,57,73,36,34,1.18,57
2015/2/28,¡º,58,216,37,60,44,34,1.04,56
2015/3/1,¡º,55,130,35,53,25,28,1.1,52
2015/3/2,¡º,77,196,55,84,47,33,1.62,39
2015/3/3,¡º,53,87,36,45,23,27,1.08,46
2015/3/4,¡º,51,127,33,42,15,22,1.09,71
2015/3/5,¡º,77,261,54,90,55,35,1.18,50
2015/3/6,¡º,77,208,49,100,47,29,0.94,75
2015/3/7,¡º,89,238,65,96,45,33,1.34,65
2015/3/8,¡º,77,206,54,74,22,35,1.18,44
2015/3/9,¡º,54,107,23,57,16,20,0.73,59
2015/3/10,¡º,56,135,38,56,30,36,0.91,43
2015/3/11,¡º,84,240,52,86,36,41,1.46,40
2015/3/12,”≈,46,67,25,45,20,16,0.77,69
2015/3/13,¡º,70,152,49,76,40,40,1.21,42
2015/3/14,¡º,69,114,49,73,47,36,0.88,60
2015/3/15,«·∂»Œ€»æ,106,207,61,159,51,33,1.1,65
2015/3/16,«·∂»Œ€»æ,106,234,73,141,38,31,1.3,67
2015/3/17,¡º,76,184,51,79,25,29,1.07,55
2015/3/18,¡º,69,196,43,83,53,45,1.08,49
2015/3/19,¡º,82,215,58,89,31,37,1.17,59
2015/3/20,¡º,94,241,69,105,38,47,1.14,58
2015/3/21,¡º,77,177,42,98,33,33,2.01,57
2015/3/22,«·∂»Œ€»æ,129,311,23,178,13,15,0.79,62
2015/3/23,¡º,70,184,33,88,17,24,0.87,55
2015/3/24,«·∂»Œ€»æ,107,318,73,138,40,49,1.3,44
2015/3/25,«·∂»Œ€»æ,121,344,83,165,46,44,1.19,88
2015/3/26,÷–∂»Œ€»æ,168,356,95,252,47,36,1.22,118
2015/3/27,÷ÿ∂»Œ€»æ,228,361,78,326,38,32,1.18,124
2015/3/28,«·∂»Œ€»æ,138,322,87,216,38,38,1.42,82
2015/3/29,÷–∂»Œ€»æ,163,320,116,229,34,48,1.35,64
2015/3/30,÷ÿ∂»Œ€»æ,206,350,83,295,38,29,1.11,108
2015/3/31,¡º,89,245,60,110,13,24,0.95,76
2015/4/1,«·∂»Œ€»æ,142,344,109,164,23,57,1.39,62
2015/4/2,«·∂»Œ€»æ,141,350,109,135,24,47,0.92,49
2015/4/3,«·∂»Œ€»æ,103,320,76,90,9,21,0.97,79
2015/4/4,¡º,64,163,42,68,19,33,1.16,53
2015/4/5,¡º,79,233,57,74,5,18,1.14,38
2015/4/6,”≈,47,125,20,45,7,14,1.07,63
2015/4/7,¡º,51,194,29,51,10,17,1.66,65
2015/4/8,¡º,72,266,45,87,19,22,0.86,81
2015/4/9,¡º,100,318,70,127,27,31,1.17,95
2015/4/10,¡º,71,214,45,70,13,23,1,69
2015/4/11,¡º,84,249,61,82,19,27,1.12,75
2015/4/12,¡º,87,309,63,91,19,28,0.9,59
2015/4/13,«·∂»Œ€»æ,121,350,89,140,19,36,0.99,72
2015/4/14,¡º,81,218,57,96,20,33,0.85,83
2015/4/15,«·∂»Œ€»æ,132,312,67,177,23,22,1.13,123
2015/4/16,«·∂»Œ€»æ,116,274,39,161,5,14,0.86,63
2015/4/17,«·∂»Œ€»æ,101,217,50,135,12,29,1.29,49
2015/4/18,«·∂»Œ€»æ,122,317,90,145,15,38,1.17,57
2015/4/19,¡º,96,318,49,139,5,20,1.31,73
2015/4/20,¡º,97,337,53,142,12,31,1.04,51
2015/4/21,¡º,81,271,52,107,12,31,1.19,50
2015/4/22,¡º,75,226,39,97,10,27,0.82,63
2015/4/23,«·∂»Œ€»æ,110,321,32,168,8,14,0.73,80
2015/4/24,¡º,68,130,21,85,11,27,0.69,52
2015/4/25,¡º,100,253,40,150,21,30,0.86,106
2015/4/26,«·∂»Œ€»æ,131,342,77,198,34,28,1.17,153
2015/4/27,«·∂»Œ€»æ,134,343,69,167,25,24,0.95,180
2015/4/28,¡º,86,247,32,64,11,31,0.63,124
2015/4/29,¡º,91,264,60,100,20,47,0.75,95
2015/4/30,¡º,90,218,60,102,22,40,1.3,117
2015/5/1,¡º,97,291,45,137,12,25,0.55,120
2015/5/2,¡º,73,277,36,96,12,34,0.59,55
2015/5/3,¡º,67,188,30,78,9,19,1.27,76
2015/5/4,¡º,84,267,20,116,5,17,1,74
