»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,67,121,41,73,32,48,1.17,34
2015/1/2,¡º,92,353,61,109,54,65,2.17,24
2015/1/3,÷–∂»Œ€»æ,177,307,137,215,116,95,3.9,9
2015/1/4,÷ÿ∂»Œ€»æ,227,296,176,289,175,106,5.19,15
2015/1/5,÷–∂»Œ€»æ,160,226,110,222,146,70,4.93,24
2015/1/6,¡º,62,136,32,70,33,44,0.88,41
2015/1/7,«·∂»Œ€»æ,115,302,84,149,106,68,3.35,21
2015/1/8,«·∂»Œ€»æ,144,291,109,175,113,91,2.64,12
2015/1/9,÷–∂»Œ€»æ,174,290,133,204,81,90,2.95,20
2015/1/10,÷ÿ∂»Œ€»æ,209,316,165,251,111,114,3.52,15
2015/1/11,«·∂»Œ€»æ,114,195,84,148,109,74,3.06,16
2015/1/12,«·∂»Œ€»æ,114,248,84,143,86,71,2.62,19
2015/1/13,÷–∂»Œ€»æ,188,338,146,215,103,94,3.23,13
2015/1/14,—œ÷ÿŒ€»æ,379,367,310,464,177,128,7.43,7
2015/1/15,÷ÿ∂»Œ€»æ,243,333,194,267,91,80,3.13,8
2015/1/16,÷ÿ∂»Œ€»æ,208,324,166,244,47,84,2.78,21
2015/1/17,¡º,80,120,53,94,46,66,1.27,28
2015/1/18,«·∂»Œ€»æ,126,250,82,160,62,69,1.7,30
2015/1/19,¡º,92,174,58,125,87,71,2.37,26
2015/1/20,«·∂»Œ€»æ,131,290,99,174,120,78,4.41,9
2015/1/21,¡º,96,160,62,121,69,55,2.2,28
2015/1/22,«·∂»Œ€»æ,146,292,110,165,76,79,2.27,21
2015/1/23,÷–∂»Œ€»æ,190,330,148,217,99,102,2.54,14
2015/1/24,÷–∂»Œ€»æ,169,251,129,208,137,77,3.54,18
2015/1/25,÷–∂»Œ€»æ,163,235,123,170,81,67,2.72,17
2015/1/26,÷–∂»Œ€»æ,187,267,144,197,52,64,2.14,23
2015/1/27,¡º,59,105,30,62,35,46,1.25,43
2015/1/28,¡º,89,310,64,112,75,59,2.52,25
2015/1/29,¡º,98,287,72,109,36,50,1.33,32
2015/1/30,¡º,55,111,27,60,28,39,1.14,47
2015/1/31,¡º,72,194,48,86,50,58,1.76,31
2015/2/1,÷–∂»Œ€»æ,170,347,129,194,92,96,2.4,19
2015/2/2,÷–∂»Œ€»æ,193,341,147,219,142,114,2.79,16
2015/2/3,÷–∂»Œ€»æ,196,309,149,206,78,90,2.11,26
2015/2/4,¡º,83,150,50,95,32,48,1.2,42
2015/2/5,¡º,54,68,30,61,26,43,0.93,48
2015/2/6,«·∂»Œ€»æ,144,327,108,170,70,75,1.83,26
2015/2/7,«·∂»Œ€»æ,106,218,61,133,46,52,1.7,37
2015/2/8,”≈,46,41,21,47,15,29,0.71,56
2015/2/9,«·∂»Œ€»æ,115,302,86,143,75,77,1.78,25
2015/2/10,÷ÿ∂»Œ€»æ,248,361,199,294,103,106,3.46,23
2015/2/11,¡º,100,170,69,136,82,73,3.45,29
2015/2/12,«·∂»Œ€»æ,125,225,92,151,88,68,3.04,33
2015/2/13,«·∂»Œ€»æ,127,252,93,153,102,86,2.04,29
2015/2/14,—œ÷ÿŒ€»æ,274,360,223,329,114,112,3.39,32
2015/2/15,÷–∂»Œ€»æ,195,314,137,257,116,85,3.2,34
2015/2/16,÷–∂»Œ€»æ,196,342,151,224,58,77,3.06,32
2015/2/17,¡º,79,141,47,97,36,54,1.61,43
2015/2/18,«·∂»Œ€»æ,116,272,84,132,50,58,1.92,46
2015/2/19,«·∂»Œ€»æ,127,226,102,144,64,49,1.68,53
2015/2/20,¡º,100,297,74,105,47,54,2.18,28
2015/2/21,«·∂»Œ€»æ,147,328,103,167,28,34,1.49,36
2015/2/22,÷ÿ∂»Œ€»æ,233,336,54,328,10,17,0.53,65
2015/2/23,¡º,94,259,59,122,36,42,1.21,43
2015/2/24,÷–∂»Œ€»æ,156,341,116,218,78,70,3.38,12
2015/2/25,÷–∂»Œ€»æ,164,335,126,217,67,54,3.89,37
2015/2/26,¡º,64,193,43,69,34,42,1.21,49
2015/2/27,¡º,63,246,39,72,48,55,1.64,39
2015/2/28,¡º,97,331,70,95,28,38,1.22,29
2015/3/1,«·∂»Œ€»æ,128,343,86,166,31,40,1.28,44
2015/3/2,«·∂»Œ€»æ,125,330,90,174,63,69,2.1,34
2015/3/3,¡º,75,180,29,98,16,23,0.71,65
2015/3/4,¡º,56,164,29,62,15,38,0.78,53
2015/3/5,¡º,81,275,58,94,50,55,1.88,47
2015/3/6,«·∂»Œ€»æ,144,345,108,162,60,63,1.92,34
2015/3/7,÷–∂»Œ€»æ,194,356,148,215,84,83,2.52,34
2015/3/8,÷ÿ∂»Œ€»æ,203,358,160,233,122,75,3.27,21
