»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,96,257,63,128,58,35,1.57,23
2015/1/2,«·∂»Œ€»æ,142,573,99,222,81,39,2.23,13
2015/1/3,«·∂»Œ€»æ,136,230,98,175,76,45,2.31,17
2015/1/4,÷ÿ∂»Œ€»æ,212,281,168,245,122,84,2.74,34
2015/1/5,«·∂»Œ€»æ,108,147,63,148,43,36,1.72,68
2015/1/6,¡º,72,183,33,90,26,35,1.27,67
2015/1/7,¡º,93,255,66,110,29,51,1.65,53
2015/1/8,¡º,93,180,60,126,35,49,1.77,59
2015/1/9,¡º,97,162,66,129,43,55,1.9,57
2015/1/10,«·∂»Œ€»æ,108,173,78,133,51,60,2.09,39
2015/1/11,÷–∂»Œ€»æ,151,270,116,175,53,74,2.43,37
2015/1/12,÷–∂»Œ€»æ,175,334,133,199,61,58,2.89,47
2015/1/13,÷ÿ∂»Œ€»æ,228,357,177,234,49,62,2.91,37
2015/1/14,÷ÿ∂»Œ€»æ,250,352,199,281,53,65,3.18,33
2015/1/15,÷ÿ∂»Œ€»æ,223,321,168,276,63,64,2.94,37
2015/1/16,«·∂»Œ€»æ,102,176,57,143,54,42,2.17,52
2015/1/17,«·∂»Œ€»æ,111,213,75,152,74,54,2.38,36
2015/1/18,¡º,91,143,59,118,41,42,2.35,46
2015/1/19,¡º,97,198,56,139,72,52,2.43,39
2015/1/20,¡º,78,104,41,98,40,30,2.04,59
2015/1/21,¡º,68,75,26,85,27,25,1.49,60
2015/1/22,¡º,84,118,55,97,77,46,1.95,39
2015/1/23,«·∂»Œ€»æ,139,215,104,155,89,63,2.36,30
2015/1/24,÷ÿ∂»Œ€»æ,221,317,175,234,139,74,2.99,24
2015/1/25,—œ÷ÿŒ€»æ,277,356,226,285,56,64,3.12,18
2015/1/26,—œ÷ÿŒ€»æ,305,357,240,337,76,68,3.35,21
2015/1/27,«·∂»Œ€»æ,125,304,92,129,54,41,2.55,37
2015/1/28,¡º,83,295,60,78,40,25,2.04,53
2015/1/29,¡º,84,261,57,89,42,27,1.6,56
2015/1/30,¡º,63,144,37,74,38,29,1.29,59
2015/1/31,«·∂»Œ€»æ,110,309,80,112,70,32,1.5,57
2015/2/1,÷ÿ∂»Œ€»æ,215,359,165,205,73,42,2.09,52
2015/2/2,÷–∂»Œ€»æ,172,322,132,174,88,47,2.04,47
2015/2/3,÷–∂»Œ€»æ,176,294,134,173,54,47,2.37,43
2015/2/4,¡º,75,127,48,71,25,26,1.63,69
2015/2/5,¡º,52,55,28,55,35,28,1.58,56
2015/2/6,¡º,73,89,48,74,41,39,1.74,48
2015/2/7,¡º,61,60,34,67,39,27,2.09,61
2015/2/8,¡º,68,142,40,73,53,30,2.05,60
2015/2/9,«·∂»Œ€»æ,104,275,76,126,77,44,2.22,51
2015/2/10,«·∂»Œ€»æ,105,206,77,125,43,32,2.34,71
2015/2/11,¡º,99,168,46,146,30,28,1.95,59
2015/2/12,¡º,73,105,33,93,33,25,1.45,63
2015/2/13,¡º,70,83,35,87,55,30,1.14,71
2015/2/14,«·∂»Œ€»æ,125,207,93,147,84,41,1.65,67
2015/2/15,«·∂»Œ€»æ,110,208,52,146,29,20,1.19,77
2015/2/16,¡º,78,103,43,103,36,22,1.26,70
2015/2/17,¡º,89,174,59,115,70,29,1.61,79
2015/2/18,÷–∂»Œ€»æ,151,330,113,182,60,25,1.96,88
2015/2/19,«·∂»Œ€»æ,134,234,101,141,28,19,1.74,83
2015/2/20,«·∂»Œ€»æ,137,343,103,119,18,22,1.76,47
2015/2/21,«·∂»Œ€»æ,138,317,104,149,21,25,1.93,56
2015/2/22,÷–∂»Œ€»æ,165,313,61,260,21,16,1.44,65
2015/2/23,«·∂»Œ€»æ,119,319,65,184,37,23,1.6,59
2015/2/24,«·∂»Œ€»æ,119,303,83,160,39,31,1.89,54
2015/2/25,«·∂»Œ€»æ,110,288,55,157,25,21,1.74,68
2015/2/26,«·∂»Œ€»æ,121,332,73,180,51,22,1.97,82
2015/2/27,«·∂»Œ€»æ,117,350,88,130,32,20,2.11,83
2015/2/28,«·∂»Œ€»æ,111,348,78,105,20,20,1.91,58
2015/3/1,¡º,64,191,29,72,28,23,1.39,67
2015/3/2,¡º,71,166,40,88,27,25,1.46,73
2015/3/3,«·∂»Œ€»æ,107,287,37,159,11,13,1.06,91
2015/3/4,¡º,71,264,36,87,35,22,1.23,72
2015/3/5,¡º,99,319,74,90,26,24,1.33,61
2015/3/6,«·∂»Œ€»æ,114,305,86,115,22,31,1.4,61
2015/3/7,«·∂»Œ€»æ,121,320,91,139,39,41,1.41,59
2015/3/8,¡º,82,225,54,104,36,37,1.29,68
2015/3/9,¡º,71,197,29,91,20,25,1.03,76
2015/3/10,¡º,70,219,33,88,37,29,1.17,58
2015/3/11,¡º,87,262,59,118,27,37,1.3,57
2015/3/12,÷–∂»Œ€»æ,153,346,115,166,43,61,1.61,95
2015/3/13,¡º,97,234,61,139,43,46,1.51,90
2015/3/14,«·∂»Œ€»æ,126,272,89,185,58,52,1.53,92
2015/3/15,÷–∂»Œ€»æ,151,316,102,237,54,61,1.63,75
2015/3/16,«·∂»Œ€»æ,123,269,90,179,40,50,1.59,81
