日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,良,92,244,52,130,163,58,2.16,13
2015/1/2,良,87,320,61,108,111,60,2.55,13
2015/1/3,良,94,133,69,94,29,70,3.29,12
2015/1/4,轻度污染,145,189,108,159,66,74,4.22,13
2015/1/5,良,60,44,37,64,49,67,3.01,13
2015/1/6,轻度污染,113,290,83,62,49,54,2.74,20
2015/1/7,严重污染,262,369,202,199,47,69,3.55,12
2015/1/8,中度污染,196,341,134,114,47,64,3.22,18
2015/1/9,中度污染,160,275,106,133,57,84,4.17,15
2015/1/10,轻度污染,118,190,77,178,44,72,3.53,18
2015/1/11,中度污染,174,300,113,244,40,79,4.61,12
2015/1/12,轻度污染,107,229,49,158,58,51,2.28,21
2015/1/13,轻度污染,111,234,81,56,33,60,3.16,15
2015/1/14,轻度污染,140,270,106,84,85,51,2.43,19
2015/1/15,轻度污染,102,183,76,87,29,33,1.8,34
2015/1/16,良,77,112,54,55,21,45,1.93,16
2015/1/17,良,76,106,51,72,8,28,1.24,21
2015/1/18,良,82,113,59,79,91,30,1.17,21
2015/1/19,良,82,127,51,100,117,28,1.42,27
2015/1/20,良,81,111,57,93,55,28,1.35,30
2015/1/21,良,76,102,53,89,36,35,1.31,29
2015/1/22,轻度污染,135,269,99,149,21,46,1.84,19
2015/1/23,轻度污染,109,140,72,110,28,59,1.68,9
2015/1/24,轻度污染,126,180,93,109,20,62,2.62,15
2015/1/25,优,34,2,14,26,11,10,0.3,54
2015/1/26,优,34,2,17,23,32,12,0.3,47
2015/1/27,良,92,229,68,66,19,30,0.72,27
2015/1/28,轻度污染,146,357,108,160,14,49,2.04,9
2015/1/29,良,51,118,36,31,36,45,1.29,20
2015/1/30,轻度污染,126,320,64,118,33,46,1.62,22
2015/1/31,轻度污染,122,323,92,60,33,49,1.91,22
2015/2/1,轻度污染,122,290,91,124,41,54,2.36,19
2015/2/2,轻度污染,125,256,79,163,91,53,2.55,20
2015/2/3,重度污染,213,321,143,263,62,64,3.17,18
2015/2/4,中度污染,157,276,86,258,112,67,2.56,17
2015/2/5,轻度污染,123,291,71,183,63,70,2.68,16
2015/2/6,良,93,190,59,102,39,59,3.55,31
2015/2/7,轻度污染,103,204,69,137,60,73,2.54,27
2015/2/8,轻度污染,143,336,88,168,35,74,3.5,34
2015/2/9,轻度污染,122,308,71,176,32,49,2.54,51
2015/2/10,轻度污染,129,267,89,164,45,56,1.75,48
