»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,—œ÷ÿŒ€»æ,304,360,251,352,46,91,3.96,9
2015/1/2,÷ÿ∂»Œ€»æ,243,668,193,266,66,84,3.64,15
2015/1/3,«·∂»Œ€»æ,146,250,109,173,47,82,2.99,11
2015/1/4,÷–∂»Œ€»æ,169,220,131,178,35,81,2.91,10
2015/1/5,÷–∂»Œ€»æ,177,250,136,189,50,80,2.62,8
2015/1/6,«·∂»Œ€»æ,139,339,105,145,39,85,2.78,8
2015/1/7,÷ÿ∂»Œ€»æ,219,366,173,245,51,100,3.89,7
2015/1/8,—œ÷ÿŒ€»æ,265,362,214,277,74,94,4.14,7
2015/1/9,÷–∂»Œ€»æ,184,296,140,205,78,93,3.31,12
2015/1/10,«·∂»Œ€»æ,133,230,99,145,37,94,2.99,11
2015/1/11,«·∂»Œ€»æ,150,268,113,161,33,82,3.12,6
2015/1/12,÷–∂»Œ€»æ,169,329,126,184,31,74,3.05,10
2015/1/13,«·∂»Œ€»æ,110,232,82,123,29,76,3.06,8
2015/1/14,÷–∂»Œ€»æ,176,309,137,181,33,82,3.27,7
2015/1/15,«·∂»Œ€»æ,117,211,87,110,39,57,2.27,12
2015/1/16,¡º,66,78,46,56,17,59,1.62,15
2015/1/17,¡º,91,161,66,87,12,58,1.64,12
2015/1/18,÷–∂»Œ€»æ,155,337,118,158,17,65,2.31,10
2015/1/19,—œ÷ÿŒ€»æ,252,365,203,275,39,101,4.38,8
2015/1/20,÷ÿ∂»Œ€»æ,214,355,165,238,71,86,3.62,6
2015/1/21,«·∂»Œ€»æ,127,231,94,151,46,75,2.52,10
2015/1/22,¡º,80,101,56,88,34,71,2.07,9
2015/1/23,«·∂»Œ€»æ,140,216,105,159,32,82,2.64,6
2015/1/24,÷–∂»Œ€»æ,153,227,115,170,31,78,2.92,11
2015/1/25,¡º,62,33,42,52,19,46,1.11,21
2015/1/26,¡º,64,44,45,59,31,57,1.38,11
2015/1/27,«·∂»Œ€»æ,104,263,77,108,28,62,1.75,11
2015/1/28,«·∂»Œ€»æ,142,355,106,172,16,75,2.51,9
