»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,«·∂»Œ€»æ,132,323,85,188,68,40,2.8,40
2015/1/2,«·∂»Œ€»æ,106,432,4,160,103,44,2.5,27
2015/1/3,¡º,100,151,4,138,98,47,3.44,19
2015/1/4,«·∂»Œ€»æ,112,122,48,168,64,28,1.47,43
2015/1/5,«·∂»Œ€»æ,102,129,65,112,67,32,1.94,34
2015/1/6,«·∂»Œ€»æ,108,282,73,122,60,31,2.28,28
2015/1/7,«·∂»Œ€»æ,135,331,72,200,63,32,2.23,32
2015/1/8,«·∂»Œ€»æ,112,228,73,134,99,39,2.57,32
2015/1/9,¡º,92,141,56,114,83,41,1.69,29
2015/1/10,«·∂»Œ€»æ,137,236,100,135,92,49,2.04,10
2015/1/11,÷–∂»Œ€»æ,158,278,111,191,116,62,2.47,34
2015/1/12,«·∂»Œ€»æ,107,230,65,145,110,59,1.97,26
2015/1/13,«·∂»Œ€»æ,114,243,65,154,103,45,1.34,40
2015/1/14,«·∂»Œ€»æ,114,232,76,160,74,43,1.29,36
2015/1/15,¡º,100,175,67,118,88,45,1.58,32
2015/1/16,«·∂»Œ€»æ,141,246,99,166,109,49,2.02,25
2015/1/17,¡º,91,160,43,120,72,37,1.15,36
2015/1/18,¡º,87,132,52,98,63,46,1.99,38
2015/1/19,¡º,92,172,62,71,102,46,2.12,26
2015/1/20,¡º,54,31,29,51,56,34,1.51,39
2015/1/21,¡º,90,146,62,99,110,50,2.42,25
2015/1/22,¡º,94,157,65,93,93,45,2.2,23
2015/1/23,¡º,88,84,56,99,77,34,2.12,30
2015/1/24,«·∂»Œ€»æ,106,140,65,137,83,41,2.12,30
2015/1/25,¡º,93,110,47,126,79,41,2.03,37
2015/1/26,¡º,74,73,28,97,73,23,1.38,48
2015/1/27,¡º,76,158,42,92,39,16,1.57,40
2015/1/28,¡º,89,313,44,121,45,19,1.9,25
2015/1/29,«·∂»Œ€»æ,111,314,65,125,88,28,2.04,29
2015/1/30,¡º,100,268,64,127,81,33,2.28,22
2015/1/31,«·∂»Œ€»æ,121,321,90,152,41,24,2.14,26
2015/2/1,÷–∂»Œ€»æ,168,346,127,183,120,36,2.56,17
2015/2/2,«·∂»Œ€»æ,149,294,113,166,92,39,2.67,27
2015/2/3,«·∂»Œ€»æ,116,209,85,135,63,34,2.33,31
2015/2/4,¡º,84,152,61,82,68,25,1.2,50
2015/2/5,¡º,71,147,49,77,45,23,1.41,48
2015/2/6,¡º,91,177,62,114,70,29,1.89,30
