»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,«·∂»Œ€»æ,111,290,79,136,111,32,1.06,10
2015/1/2,÷ÿ∂»Œ€»æ,204,644,156,229,135,38,2.12,7
2015/1/3,÷–∂»Œ€»æ,174,304,132,187,123,33,1.57,13
2015/1/4,«·∂»Œ€»æ,106,110,55,142,70,25,0.92,18
2015/1/5,«·∂»Œ€»æ,102,130,72,123,31,21,1.36,6
2015/1/6,¡º,87,239,61,104,16,19,1.15,5
2015/1/7,÷–∂»Œ€»æ,166,353,80,239,19,16,1.33,8
2015/1/8,«·∂»Œ€»æ,104,211,54,152,28,17,0.85,7
2015/1/9,«·∂»Œ€»æ,110,190,82,136,37,24,1.62,4
2015/1/10,÷–∂»Œ€»æ,170,277,131,181,29,28,1.94,5
2015/1/11,÷–∂»Œ€»æ,199,327,156,223,41,28,1.75,5
2015/1/12,—œ÷ÿŒ€»æ,276,365,225,293,43,31,2.15,5
2015/1/13,÷–∂»Œ€»æ,169,318,132,202,26,24,1.61,8
2015/1/14,«·∂»Œ€»æ,126,251,94,157,26,23,1.3,5
2015/1/15,¡º,56,55,31,62,14,14,0.83,9
2015/1/16,¡º,79,116,52,100,30,20,1.19,5
2015/1/17,¡º,100,186,64,120,19,18,1.14,8
2015/1/18,¡º,90,139,37,126,15,16,0.89,8
2015/1/19,¡º,69,78,43,86,27,20,1.12,5
2015/1/20,¡º,83,116,25,114,10,12,0.64,10
2015/1/21,¡º,71,85,36,89,41,17,0.82,6
2015/1/22,«·∂»Œ€»æ,113,212,82,146,23,20,1.77,8
2015/1/23,«·∂»Œ€»æ,132,201,99,167,53,23,1.56,12
2015/1/24,¡º,70,52,37,89,10,12,0.62,14
2015/1/25,¡º,100,123,67,136,45,21,1.18,12
2015/1/26,¡º,98,128,51,134,15,13,0.7,16
2015/1/27,¡º,52,79,18,54,8,9,0.52,13
2015/1/28,¡º,55,178,29,62,10,12,0.64,11
2015/1/29,¡º,66,202,32,78,17,13,0.71,12
2015/1/30,¡º,68,171,46,81,51,17,0.87,15
2015/1/31,¡º,57,110,39,55,27,15,0.7,17
2015/2/1,¡º,85,198,62,78,27,15,0.95,16
2015/2/2,«·∂»Œ€»æ,131,263,99,124,17,15,1.15,12
2015/2/3,÷–∂»Œ€»æ,194,307,147,178,30,21,1.7,10
2015/2/4,¡º,71,125,49,78,27,17,0.86,15
2015/2/5,¡º,78,165,56,88,68,22,1.02,14
2015/2/6,¡º,82,125,57,91,29,19,1.07,12
2015/2/7,¡º,61,64,32,72,26,15,0.61,21
2015/2/8,¡º,81,214,51,109,33,20,0.83,15
2015/2/9,¡º,95,236,69,120,65,27,1.15,8
2015/2/10,«·∂»Œ€»æ,140,297,62,201,15,18,0.82,9
2015/2/11,÷ÿ∂»Œ€»æ,237,359,73,328,10,13,0.65,8
2015/2/12,¡º,58,63,30,68,16,13,0.72,8
2015/2/13,¡º,72,88,46,88,52,22,0.94,5
2015/2/14,÷–∂»Œ€»æ,174,290,86,229,29,24,1.45,8
2015/2/15,«·∂»Œ€»æ,115,217,38,179,7,10,0.62,10
2015/2/16,«·∂»Œ€»æ,108,198,61,164,36,19,0.89,5
2015/2/17,¡º,98,199,73,123,40,20,1.4,7
2015/2/18,«·∂»Œ€»æ,107,248,53,142,32,15,0.95,9
2015/2/19,÷–∂»Œ€»æ,186,308,140,187,49,19,1.27,6
2015/2/20,¡º,72,223,47,82,10,13,0.78,9
2015/2/21,«·∂»Œ€»æ,144,325,32,220,8,8,0.59,12
2015/2/22,«·∂»Œ€»æ,126,250,49,200,22,9,0.65,8
2015/2/23,¡º,82,201,37,112,18,13,0.64,8
2015/2/24,«·∂»Œ€»æ,109,291,42,166,14,12,0.92,10
2015/2/25,¡º,96,270,43,139,10,10,0.7,7
2015/2/26,¡º,76,236,25,102,17,14,0.66,10
2015/2/27,¡º,83,312,34,113,14,11,0.59,9
2015/2/28,¡º,70,262,22,88,10,10,0.62,12
2015/3/1,¡º,58,156,30,68,24,12,0.75,8
2015/3/2,÷ÿ∂»Œ€»æ,222,359,54,335,8,9,0.51,13
