»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,74,159,45,95,51,28,1.18,12
2015/1/2,¡º,93,359,68,129,59,32,1.68,7
2015/1/3,«·∂»Œ€»æ,130,213,98,168,74,49,2.23,10
2015/1/4,÷–∂»Œ€»æ,198,263,150,234,105,81,2.68,11
2015/1/5,¡º,82,85,37,100,41,20,0.79,35
2015/1/6,¡º,60,129,25,69,45,23,0.89,22
2015/1/7,¡º,79,185,52,105,37,26,1.34,16
2015/1/8,«·∂»Œ€»æ,103,208,70,137,29,32,1.33,13
2015/1/9,«·∂»Œ€»æ,114,194,79,167,38,50,1.47,11
2015/1/10,«·∂»Œ€»æ,147,252,111,192,41,59,2.06,15
2015/1/11,÷ÿ∂»Œ€»æ,215,346,164,251,52,75,2.66,9
2015/1/12,÷–∂»Œ€»æ,177,335,135,211,43,50,2.26,14
2015/1/13,«·∂»Œ€»æ,145,292,110,169,37,38,1.65,14
2015/1/14,÷ÿ∂»Œ€»æ,230,345,179,262,50,56,2.69,8
2015/1/15,÷ÿ∂»Œ€»æ,208,312,161,239,38,42,2.4,15
2015/1/16,«·∂»Œ€»æ,146,258,106,191,41,50,1.95,26
2015/1/17,¡º,76,103,46,101,49,38,1.22,22
2015/1/18,¡º,79,100,50,104,33,39,1.41,28
2015/1/19,¡º,96,189,63,137,53,52,1.65,19
2015/1/20,«·∂»Œ€»æ,107,219,67,129,28,35,1.47,34
2015/1/21,¡º,65,70,20,78,24,27,0.58,46
2015/1/22,¡º,80,99,51,102,59,49,1.27,24
2015/1/23,«·∂»Œ€»æ,147,239,111,201,67,69,1.98,14
2015/1/24,÷–∂»Œ€»æ,195,287,148,260,73,66,2.3,8
2015/1/25,÷–∂»Œ€»æ,181,258,138,214,44,51,1.85,5
2015/1/26,÷ÿ∂»Œ€»æ,232,306,181,282,45,55,2.26,14
2015/1/27,÷–∂»Œ€»æ,151,335,116,178,35,41,1.59,15
2015/1/28,¡º,57,188,37,60,25,19,0.79,31
2015/1/29,¡º,71,226,45,77,33,23,0.86,36
2015/1/30,¡º,68,167,40,85,24,29,0.78,30
2015/1/31,¡º,64,149,42,68,24,27,0.79,27
2015/2/1,«·∂»Œ€»æ,125,297,94,129,39,38,1.32,24
2015/2/2,«·∂»Œ€»æ,129,259,97,133,55,44,1.41,18
2015/2/3,÷–∂»Œ€»æ,193,306,147,197,47,45,2.21,19
2015/2/4,÷–∂»Œ€»æ,158,278,120,161,40,41,1.84,31
2015/2/5,¡º,72,148,50,79,35,39,1.16,27
2015/2/6,¡º,90,176,66,99,37,48,1.58,20
2015/2/7,¡º,66,79,38,68,28,27,0.96,40
2015/2/8,¡º,66,135,38,77,30,29,1.07,34
2015/2/9,¡º,76,157,50,93,42,39,1.24,34
2015/2/10,«·∂»Œ€»æ,127,259,95,142,35,45,1.75,29
2015/2/11,¡º,88,131,52,114,31,35,1.24,32
2015/2/12,¡º,82,134,48,113,29,36,1.37,28
2015/2/13,¡º,74,100,46,96,46,36,1.39,44
2015/2/14,«·∂»Œ€»æ,131,221,99,156,48,52,2.04,22
2015/2/15,¡º,92,158,44,115,24,31,0.78,50
2015/2/16,¡º,68,74,39,83,35,31,1.07,45
2015/2/17,¡º,71,118,45,88,38,29,1.3,50
2015/2/18,«·∂»Œ€»æ,116,274,83,162,33,30,1.57,50
2015/2/19,¡º,84,126,60,102,24,21,1.14,54
2015/2/20,¡º,78,244,56,76,20,18,1.09,39
2015/2/21,«·∂»Œ€»æ,101,268,72,106,19,21,1.37,43
2015/2/22,«·∂»Œ€»æ,107,219,40,162,20,16,0.57,51
2015/2/23,¡º,81,198,36,109,22,22,1.04,40
2015/2/24,¡º,87,235,55,121,32,29,1.38,36
2015/2/25,¡º,92,263,55,124,21,27,1.23,45
2015/2/26,¡º,83,256,45,114,39,26,1.29,40
2015/2/27,¡º,82,310,48,109,20,18,1.06,53
2015/2/28,¡º,70,258,46,70,21,22,1.01,34
2015/3/1,¡º,52,118,27,54,22,25,1.02,38
2015/3/2,¡º,78,202,46,96,23,29,1.05,39
2015/3/3,¡º,97,265,29,142,12,15,0.42,69
2015/3/4,¡º,51,122,20,54,24,17,0.82,47
