»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,«·∂»Œ€»æ,128,317,95,176,138,56,2.68,10
2015/1/2,÷–∂»Œ€»æ,183,627,140,233,149,60,3.05,12
2015/1/3,—œ÷ÿŒ€»æ,321,359,268,407,253,109,6.41,4
2015/1/4,—œ÷ÿŒ€»æ,483,361,464,648,285,159,6.04,4
2015/1/5,—œ÷ÿŒ€»æ,436,359,422,587,235,155,5.65,4
2015/1/6,¡º,99,267,64,132,70,55,1.39,15
2015/1/7,÷–∂»Œ€»æ,170,357,129,206,181,72,3.57,8
2015/1/8,—œ÷ÿŒ€»æ,301,366,244,371,252,113,6.49,6
2015/1/9,—œ÷ÿŒ€»æ,304,358,248,371,228,118,6.46,9
2015/1/10,—œ÷ÿŒ€»æ,273,352,217,350,248,114,6,9
2015/1/11,÷–∂»Œ€»æ,176,304,137,230,132,78,3.45,17
2015/1/12,«·∂»Œ€»æ,144,304,109,159,111,62,2.03,12
2015/1/13,÷ÿ∂»Œ€»æ,223,355,175,251,168,74,3.75,11
2015/1/14,—œ÷ÿŒ€»æ,312,365,261,360,182,97,3.63,5
2015/1/15,—œ÷ÿŒ€»æ,364,363,322,431,173,103,5.01,5
2015/1/16,—œ÷ÿŒ€»æ,327,365,299,427,78,81,5.21,14
2015/1/17,«·∂»Œ€»æ,137,276,100,179,119,61,2.2,13
2015/1/18,«·∂»Œ€»æ,110,197,53,153,58,33,1.25,42
2015/1/19,¡º,98,201,62,136,123,53,2.14,17
2015/1/20,÷–∂»Œ€»æ,190,347,144,239,154,73,2.74,8
2015/1/21,«·∂»Œ€»æ,119,216,85,146,91,58,1.8,24
2015/1/22,«·∂»Œ€»æ,149,295,111,186,126,59,2.64,17
2015/1/23,÷ÿ∂»Œ€»æ,233,358,185,277,180,92,4.61,7
2015/1/24,—œ÷ÿŒ€»æ,273,354,222,310,141,96,3.54,6
2015/1/25,«·∂»Œ€»æ,142,199,107,145,38,49,1.46,9
2015/1/26,—œ÷ÿŒ€»æ,278,343,225,342,122,66,5.82,5
2015/1/27,¡º,70,143,47,79,48,45,1.07,25
2015/1/28,¡º,98,330,71,105,86,51,1.46,21
2015/1/29,÷–∂»Œ€»æ,177,357,135,189,181,79,3.36,8
2015/1/30,«·∂»Œ€»æ,122,312,88,138,87,54,1.67,28
2015/1/31,«·∂»Œ€»æ,150,345,114,172,120,72,2.72,18
2015/2/1,÷–∂»Œ€»æ,165,345,124,185,139,74,2.8,11
2015/2/2,÷ÿ∂»Œ€»æ,219,354,171,257,175,92,3.4,8
2015/2/3,—œ÷ÿŒ€»æ,280,354,229,343,200,115,5,6
2015/2/4,«·∂»Œ€»æ,122,220,86,142,106,68,2.2,23
2015/2/5,¡º,89,205,59,114,82,61,1.59,23
2015/2/6,÷–∂»Œ€»æ,184,357,141,223,194,96,4.45,8
2015/2/7,«·∂»Œ€»æ,102,199,64,128,69,56,1.72,31
2015/2/8,¡º,93,255,62,116,68,52,1.25,24
2015/2/9,÷–∂»Œ€»æ,152,341,115,193,144,79,2.79,14
2015/2/10,÷–∂»Œ€»æ,158,322,119,195,143,84,3.27,26
2015/2/11,«·∂»Œ€»æ,125,233,91,160,92,69,1.81,40
2015/2/12,÷–∂»Œ€»æ,185,321,145,214,105,71,2.92,29
2015/2/13,÷–∂»Œ€»æ,162,296,121,190,117,75,2.83,29
2015/2/14,÷ÿ∂»Œ€»æ,230,347,180,289,138,97,3.53,35
2015/2/15,—œ÷ÿŒ€»æ,267,353,215,341,83,81,2.55,29
2015/2/16,÷ÿ∂»Œ€»æ,229,359,182,301,105,80,3.4,31
2015/2/17,÷–∂»Œ€»æ,199,353,152,265,86,62,2.31,42
2015/2/18,«·∂»Œ€»æ,109,255,80,128,61,41,1.28,49
2015/2/19,—œ÷ÿŒ€»æ,305,361,256,336,165,62,2.84,23
2015/2/20,—œ÷ÿŒ€»æ,310,364,261,325,58,53,2.24,9
2015/2/21,—œ÷ÿŒ€»æ,256,361,204,269,76,58,3,15
2015/2/22,¡º,87,179,38,121,42,31,0.75,50
2015/2/23,«·∂»Œ€»æ,150,342,106,194,86,48,1.64,28
2015/2/24,—œ÷ÿŒ€»æ,291,363,225,394,103,76,3.79,7
2015/2/25,—œ÷ÿŒ€»æ,309,363,239,387,88,70,3.05,35
2015/2/26,«·∂»Œ€»æ,116,324,86,136,49,41,1.19,45
2015/2/27,¡º,95,329,69,101,37,35,0.8,48
2015/2/28,«·∂»Œ€»æ,131,356,98,140,59,50,1.59,26
2015/3/1,¡º,73,233,35,95,55,40,1.19,43
2015/3/2,«·∂»Œ€»æ,125,332,89,180,90,68,2.42,20
2015/3/3,¡º,91,245,24,130,24,24,0.38,57
2015/3/4,¡º,89,319,57,118,62,54,1.22,30
2015/3/5,«·∂»Œ€»æ,126,349,90,163,80,63,1.44,24
2015/3/6,÷–∂»Œ€»æ,188,355,142,229,98,69,2.41,29
2015/3/7,÷–∂»Œ€»æ,170,350,129,212,75,71,1.89,31
2015/3/8,÷ÿ∂»Œ€»æ,203,357,158,242,72,79,2,14
2015/3/9,«·∂»Œ€»æ,124,329,83,151,35,46,0.98,35
2015/3/10,«·∂»Œ€»æ,114,322,77,168,87,63,2.08,27
2015/3/11,«·∂»Œ€»æ,111,317,75,153,69,65,1.66,31
2015/3/12,«·∂»Œ€»æ,150,343,114,196,107,74,1.53,55
2015/3/13,÷–∂»Œ€»æ,180,348,138,226,86,86,1.7,40
2015/3/14,÷–∂»Œ€»æ,170,335,113,242,105,86,1.64,39
2015/3/15,÷–∂»Œ€»æ,200,340,148,286,72,75,1.7,42
2015/3/16,÷ÿ∂»Œ€»æ,230,351,181,284,57,64,2.04,28
2015/3/17,÷–∂»Œ€»æ,196,350,150,245,37,52,1.42,39
2015/3/18,¡º,91,281,58,130,64,57,0.73,39
2015/3/19,÷–∂»Œ€»æ,186,357,139,278,111,88,2.4,22
2015/3/20,«·∂»Œ€»æ,142,313,86,227,82,70,1.76,39
2015/3/21,«·∂»Œ€»æ,113,286,51,174,45,50,0.82,55
2015/3/22,÷ÿ∂»Œ€»æ,216,357,66,326,59,55,0.93,29
2015/3/23,«·∂»Œ€»æ,107,323,36,162,53,49,0.7,39
2015/3/24,«·∂»Œ€»æ,132,345,83,204,87,67,1.83,38
2015/3/25,«·∂»Œ€»æ,117,338,82,169,63,67,1.18,41
2015/3/26,¡º,92,272,52,129,62,56,0.94,67
2015/3/27,«·∂»Œ€»æ,122,321,86,181,101,69,1.95,50
2015/3/28,«·∂»Œ€»æ,139,324,71,216,58,66,1.37,41
2015/3/29,÷–∂»Œ€»æ,167,323,73,278,72,65,1.32,60
2015/3/30,÷–∂»Œ€»æ,155,326,109,243,79,65,1.71,56
2015/3/31,÷–∂»Œ€»æ,158,340,118,197,39,55,1.28,17
2015/4/1,¡º,64,189,42,69,14,32,0.81,48
2015/4/2,¡º,67,233,45,72,20,41,0.97,56
2015/4/3,«·∂»Œ€»æ,145,349,109,173,40,51,1.83,45
2015/4/4,¡º,93,286,69,102,30,43,0.5,61
2015/4/5,«·∂»Œ€»æ,123,306,84,159,46,63,0.91,40
2015/4/6,¡º,65,227,31,79,15,32,0.31,57
2015/4/7,¡º,80,310,54,101,34,48,0.57,53
2015/4/8,«·∂»Œ€»æ,129,345,95,165,66,66,1.36,32
2015/4/9,«·∂»Œ€»æ,139,342,104,175,55,69,1.12,39
2015/4/10,«·∂»Œ€»æ,138,339,99,178,62,65,1.66,46
2015/4/11,÷–∂»Œ€»æ,161,354,120,204,71,64,1.87,38
2015/4/12,¡º,85,296,35,111,21,33,0.33,65
2015/4/13,¡º,65,189,37,74,26,39,0.45,60
2015/4/14,¡º,88,261,55,121,74,64,1.95,60
2015/4/15,÷–∂»Œ€»æ,152,327,87,244,111,74,2.65,52
2015/4/16,÷–∂»Œ€»æ,173,336,33,256,27,34,0.24,66
2015/4/17,«·∂»Œ€»æ,138,327,65,224,74,57,1.61,47
2015/4/18,÷–∂»Œ€»æ,167,353,107,275,73,74,1.54,17
2015/4/19,¡º,68,215,47,76,15,35,0.74,50
2015/4/20,¡º,99,340,64,129,34,49,1.84,45
2015/4/21,«·∂»Œ€»æ,109,345,76,151,44,53,1.48,44
2015/4/22,¡º,79,247,41,103,30,32,0.63,61
2015/4/23,¡º,98,281,53,145,57,55,1.71,50
2015/4/24,«·∂»Œ€»æ,120,334,68,187,42,49,0.82,54
2015/4/25,«·∂»Œ€»æ,126,316,81,200,42,71,1.53,61
2015/4/26,«·∂»Œ€»æ,113,311,75,161,53,60,1.65,65
2015/4/27,¡º,91,252,58,121,44,59,1.21,52
2015/4/28,¡º,94,284,67,104,27,44,0.67,60
2015/4/29,¡º,89,258,62,118,28,60,0.84,77
2015/4/30,«·∂»Œ€»æ,133,327,95,188,39,59,1.17,68
2015/5/1,«·∂»Œ€»æ,104,303,74,138,25,43,0.88,64
2015/5/2,¡º,56,154,35,59,12,27,0.39,59
2015/5/3,«·∂»Œ€»æ,123,340,92,151,25,45,0.82,41
2015/5/4,¡º,83,265,41,111,20,44,0.56,55
2015/5/5,«·∂»Œ€»æ,126,346,91,177,42,57,1.45,62
2015/5/6,«·∂»Œ€»æ,109,300,57,161,16,40,0.86,61
2015/5/7,«·∂»Œ€»æ,105,288,59,158,31,45,1.01,52
2015/5/8,«·∂»Œ€»æ,102,339,70,136,43,49,1.3,66
2015/5/9,¡º,60,170,42,60,8,22,0.56,48
2015/5/10,”≈,44,50,27,43,7,27,0.63,31
2015/5/11,¡º,56,183,31,51,13,30,1,49
2015/5/12,¡º,52,116,18,57,17,37,0.8,58
2015/5/13,¡º,69,159,34,88,36,47,1.44,64
2015/5/14,¡º,84,241,33,117,27,44,0.8,42
2015/5/15,¡º,85,285,41,117,31,47,0.77,59
2015/5/16,«·∂»Œ€»æ,101,320,62,149,42,63,1.21,68
2015/5/17,«·∂»Œ€»æ,124,330,78,191,46,62,2.02,55
2015/5/18,¡º,98,293,51,142,35,52,1.13,63
2015/5/19,¡º,86,242,36,119,30,46,0.68,75
2015/5/20,¡º,62,173,21,69,20,38,0.61,61
2015/5/21,¡º,79,287,41,105,59,59,1.93,49
2015/5/22,¡º,92,290,59,122,38,66,1.55,69
2015/5/23,«·∂»Œ€»æ,134,346,95,167,49,69,1.69,78
