»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,93,246,67,101,133,45,1.93,33
2015/1/2,«·∂»Œ€»æ,145,581,108,155,173,53,2.67,32
2015/1/3,÷ÿ∂»Œ€»æ,223,344,174,249,253,70,3.75,25
2015/1/4,—œ÷ÿŒ€»æ,328,351,278,403,373,97,4.83,24
2015/1/5,—œ÷ÿŒ€»æ,251,323,205,310,197,54,3.83,37
2015/1/6,¡º,76,196,47,82,133,40,1.96,47
2015/1/7,÷–∂»Œ€»æ,159,348,119,171,175,53,3.13,30
2015/1/8,÷–∂»Œ€»æ,151,303,114,174,124,56,3.04,31
2015/1/9,¡º,86,118,60,98,51,44,2.34,42
2015/1/10,¡º,90,121,66,102,65,58,2.67,31
2015/1/11,«·∂»Œ€»æ,144,258,108,161,85,67,3.52,31
2015/1/12,÷–∂»Œ€»æ,154,315,117,177,89,64,3.64,27
2015/1/13,÷–∂»Œ€»æ,189,340,144,229,105,71,4.43,26
2015/1/14,÷ÿ∂»Œ€»æ,223,341,173,259,102,69,4.72,28
2015/1/15,÷–∂»Œ€»æ,195,302,148,250,90,68,4.58,25
2015/1/16,¡º,99,169,66,119,51,34,2.62,50
2015/1/17,«·∂»Œ€»æ,105,199,75,135,112,52,2.84,33
2015/1/18,¡º,70,72,39,81,50,25,2.05,62
2015/1/19,«·∂»Œ€»æ,109,248,79,133,119,47,3.11,38
2015/1/20,÷–∂»Œ€»æ,174,333,129,224,147,49,3.61,33
2015/1/21,¡º,56,44,30,60,70,24,2.18,53
2015/1/22,«·∂»Œ€»æ,125,245,93,151,135,48,3.4,31
2015/1/23,÷–∂»Œ€»æ,199,340,153,262,187,61,4.77,27
2015/1/24,÷–∂»Œ€»æ,155,230,113,195,93,52,4.19,27
2015/1/25,«·∂»Œ€»æ,121,165,88,170,82,50,4.18,28
2015/1/26,¡º,86,99,49,117,58,30,2.97,41
2015/1/27,”≈,30,8,6,19,51,22,1.77,51
2015/1/28,”≈,45,117,19,46,67,37,2.34,33
2015/1/29,”≈,36,46,10,27,43,18,1.9,54
2015/1/30,”≈,32,17,8,22,41,22,1.85,52
2015/1/31,¡º,53,89,28,58,65,38,2.29,34
2015/2/1,¡º,79,184,56,98,87,49,2.77,29
2015/2/2,«·∂»Œ€»æ,105,215,78,139,83,60,3.52,29
2015/2/3,¡º,90,150,65,117,58,38,3.03,45
2015/2/4,”≈,41,31,14,31,34,19,1.93,68
2015/2/5,”≈,40,17,13,27,40,27,2.09,63
2015/2/6,¡º,55,35,32,60,52,38,2.67,44
2015/2/7,”≈,46,30,17,38,35,22,2.15,64
2015/2/8,”≈,40,20,17,36,65,30,2.26,53
2015/2/9,¡º,69,134,45,83,84,45,2.84,39
2015/2/10,¡º,71,86,48,87,74,50,2.97,43
2015/2/11,¡º,58,42,31,65,55,34,2.54,58
2015/2/12,¡º,64,86,35,75,63,39,2.72,41
2015/2/13,¡º,68,79,41,83,69,43,2.95,40
2015/2/14,¡º,88,110,63,114,105,52,3.46,36
2015/2/15,«·∂»Œ€»æ,105,194,76,133,96,41,3.55,43
2015/2/16,¡º,53,31,23,52,46,22,2.47,68
2015/2/17,¡º,57,66,34,59,63,24,2.76,64
2015/2/18,¡º,65,87,40,69,61,21,2.79,83
2015/2/19,«·∂»Œ€»æ,147,258,107,204,75,40,3.63,51
2015/2/20,«·∂»Œ€»æ,113,313,82,148,63,33,3.65,50
2015/2/21,¡º,98,265,58,132,57,24,3.11,62
2015/2/22,”≈,46,67,13,38,42,13,2.47,79
2015/2/23,¡º,58,120,35,62,61,25,2.94,59
2015/2/24,¡º,73,184,48,84,60,26,3.12,57
2015/2/25,”≈,44,87,14,33,44,16,2.56,68
2015/2/26,”≈,37,51,12,26,47,17,2.58,68
2015/2/27,”≈,49,165,25,51,44,18,2.74,64
2015/2/28,”≈,50,188,24,48,49,16,2.39,75
2015/3/1,”≈,42,74,17,35,45,24,2.45,68
2015/3/2,¡º,52,73,27,54,51,28,2.55,66
2015/3/3,”≈,47,66,8,27,34,8,2.11,91
2015/3/4,”≈,41,53,18,34,63,27,2.44,67
2015/3/5,¡º,64,202,41,70,91,35,2.75,60
2015/3/6,¡º,81,221,57,103,135,46,3.13,63
2015/3/7,¡º,89,240,62,114,116,59,3.48,67
2015/3/8,¡º,89,244,60,115,61,37,3.19,70
2015/3/9,”≈,46,69,8,24,41,13,2.37,89
2015/3/10,”≈,47,74,21,42,59,28,2.92,66
2015/3/11,¡º,56,110,31,55,67,33,3.05,60
2015/3/12,¡º,55,96,33,59,100,31,2.97,78
2015/3/13,”≈,49,72,25,46,70,29,2.87,69
2015/3/14,¡º,77,141,48,93,60,32,2.98,62
2015/3/15,¡º,81,143,49,106,75,35,3.01,60
2015/3/16,¡º,98,209,71,129,76,43,3.34,61
2015/3/17,¡º,77,195,49,96,56,22,3.08,94
2015/3/18,«·∂»Œ€»æ,129,345,94,187,71,45,3.69,78
2015/3/19,«·∂»Œ€»æ,132,327,91,186,69,40,3.36,59
2015/3/20,¡º,70,162,33,87,34,16,2,84
2015/3/21,¡º,79,183,43,104,40,22,2.1,83
2015/3/22,¡º,64,96,39,76,55,24,2.3,67
2015/3/23,¡º,78,235,46,103,51,28,2.49,63
2015/3/24,¡º,74,221,50,91,71,35,2.31,63
2015/3/25,«·∂»Œ€»æ,119,343,88,160,67,41,2.17,74
2015/3/26,«·∂»Œ€»æ,139,344,104,192,52,46,2.07,74
2015/3/27,¡º,97,264,71,126,77,48,1.8,74
2015/3/28,¡º,81,179,47,103,26,29,1.29,77
2015/3/29,¡º,78,147,51,104,52,41,1.5,73
2015/3/30,«·∂»Œ€»æ,116,289,83,165,55,41,1.85,102
2015/3/31,«·∂»Œ€»æ,118,302,86,175,38,27,1.97,93
2015/4/1,”≈,49,78,22,50,29,11,1.55,77
2015/4/2,¡º,54,138,29,56,64,16,1.49,78
2015/4/3,¡º,60,142,39,67,44,22,1.58,72
2015/4/4,¡º,86,266,62,102,42,31,3.47,58
2015/4/5,¡º,60,149,28,68,22,16,1.33,85
2015/4/6,”≈,44,104,20,37,23,14,1.21,82
2015/4/7,¡º,52,200,31,56,28,24,1.32,82
2015/4/8,«·∂»Œ€»æ,105,329,78,137,31,32,1.68,72
2015/4/9,¡º,59,156,35,61,28,29,1.69,70
2015/4/10,¡º,59,129,36,61,38,42,1.5,54
2015/4/11,¡º,61,119,31,68,32,26,1.24,71
2015/4/12,¡º,58,97,27,64,11,6,1.17,84
2015/4/13,”≈,47,27,18,34,17,18,1.38,87
2015/4/14,¡º,54,39,36,55,47,38,1.7,61
2015/4/15,«·∂»Œ€»æ,123,301,87,158,102,41,1.74,63
2015/4/16,¡º,78,109,47,104,24,22,1.43,76
2015/4/17,¡º,80,113,52,96,53,45,1.62,55
2015/4/18,«·∂»Œ€»æ,110,289,77,148,62,53,1.78,44
2015/4/19,¡º,59,161,33,64,22,17,1.46,73
2015/4/20,¡º,88,316,64,101,51,42,1.75,51
2015/4/21,¡º,72,223,49,81,34,29,1.51,66
2015/4/22,¡º,73,210,41,77,67,32,4.49,63
2015/4/23,¡º,84,228,52,81,67,27,4.66,81
2015/4/24,¡º,66,123,43,75,78,32,1.41,73
2015/4/25,¡º,86,204,60,108,91,43,1.59,68
2015/4/26,¡º,74,116,51,82,69,44,1.48,67
2015/4/27,¡º,66,93,43,73,47,26,1.45,91
2015/4/28,¡º,88,257,63,107,23,20,1.27,85
2015/4/29,«·∂»Œ€»æ,111,308,81,138,53,38,1.01,88
2015/4/30,«·∂»Œ€»æ,126,318,94,165,62,41,1.08,116
2015/5/1,¡º,88,258,57,109,28,25,0.69,74
2015/5/2,¡º,66,222,42,72,48,36,0.61,57
2015/5/3,¡º,86,274,59,109,30,23,0.32,82
2015/5/4,”≈,48,57,25,41,70,22,0.35,84
2015/5/5,¡º,80,221,54,95,119,33,0.64,87
2015/5/6,¡º,66,119,41,78,41,23,0.44,80
2015/5/7,¡º,80,179,53,107,44,33,0.71,60
2015/5/8,¡º,64,173,39,76,43,19,0.92,87
2015/5/9,¡º,66,221,35,72,34,17,1.3,62
2015/5/10,”≈,39,26,19,37,32,15,1.39,44
2015/5/11,”≈,43,83,17,37,42,14,0.94,82
2015/5/12,¡º,86,329,19,107,31,14,0.87,111
2015/5/13,¡º,81,241,44,87,42,26,0.85,111
2015/5/14,¡º,84,238,55,112,34,33,0.76,72
2015/5/15,¡º,75,254,43,81,22,22,0.71,104
2015/5/16,¡º,93,298,58,96,40,27,0.92,120
2015/5/17,«·∂»Œ€»æ,111,308,78,151,49,32,1,103
2015/5/18,¡º,67,155,33,65,24,19,0.68,104
2015/5/19,¡º,67,179,40,64,20,11,0.63,116
2015/5/20,¡º,60,164,24,40,35,18,0.72,95
2015/5/21,¡º,70,226,28,52,46,22,0.91,114
2015/5/22,¡º,97,311,56,75,57,26,1.03,105
2015/5/23,¡º,90,262,44,77,57,26,0.96,128
2015/5/24,«·∂»Œ€»æ,142,340,85,119,62,27,1.35,182
2015/5/25,«·∂»Œ€»æ,120,293,74,111,64,29,1.22,132
2015/5/26,«·∂»Œ€»æ,114,277,85,131,71,35,1.27,69
2015/5/27,«·∂»Œ€»æ,117,277,87,119,57,29,1.21,80
2015/5/28,«·∂»Œ€»æ,144,333,104,144,41,24,1.17,70
2015/5/29,”≈,28,3,14,25,28,25,0.43,34
2015/5/30,”≈,25,2,9,18,36,25,0.43,38
2015/5/31,”≈,28,4,14,23,55,33,0.56,43
2015/6/1,”≈,38,40,19,34,70,34,0.7,43
2015/6/2,¡º,52,147,26,56,13,15,0.21,42
2015/6/3,”≈,44,106,24,44,31,31,0.51,35
2015/6/4,”≈,47,128,20,47,15,17,0.45,41
2015/6/5,¡º,64,199,24,79,19,29,0.36,29
2015/6/6,¡º,68,188,26,85,32,29,0.36,36
2015/6/7,”≈,40,71,20,39,21,24,0.43,35
2015/6/8,”≈,50,174,28,48,25,30,0.55,25
2015/6/9,¡º,61,186,35,71,56,27,0.69,61
2015/6/10,¡º,56,160,26,64,14,19,0.39,40
2015/6/11,”≈,28,9,8,27,7,12,0.27,36
2015/6/12,”≈,32,18,14,31,18,17,0.26,27
2015/6/13,”≈,34,33,9,37,14,16,0.31,42
2015/6/14,”≈,37,60,16,37,24,22,0.41,47
2015/6/15,¡º,64,189,42,68,33,27,0.7,60
2015/6/16,¡º,68,210,48,70,35,30,0.78,59
2015/6/17,¡º,67,218,46,71,33,32,0.79,53
2015/6/18,”≈,38,60,13,38,13,12,0.3,36
2015/6/19,”≈,40,71,16,39,27,25,0.4,31
2015/6/20,¡º,51,127,26,53,20,24,0.61,44
2015/6/21,¡º,55,133,30,57,33,31,0.78,49
2015/6/22,¡º,74,262,52,79,29,33,0.94,48
2015/6/23,«·∂»Œ€»æ,117,334,85,141,35,35,1.09,53
2015/6/24,¡º,56,231,32,61,19,26,0.77,51
2015/6/25,¡º,74,313,50,87,25,27,0.86,79
2015/6/26,«·∂»Œ€»æ,122,353,40,67,21,29,11.74,130
2015/6/27,÷–∂»Œ€»æ,159,362,102,148,25,19,1.02,224
2015/6/28,«·∂»Œ€»æ,146,358,100,148,28,19,0.78,194
2015/6/29,¡º,80,320,49,74,13,15,0.72,114
2015/6/30,”≈,48,176,22,48,20,17,0.53,65
2015/7/1,”≈,48,148,23,47,25,31,0.4,50
2015/7/2,¡º,52,164,22,54,25,31,0.36,43
2015/7/3,”≈,50,164,24,50,26,36,0.39,54
2015/7/4,¡º,80,291,53,93,45,33,0.69,98
2015/7/5,«·∂»Œ€»æ,113,358,84,118,37,26,0.75,112
2015/7/6,«·∂»Œ€»æ,138,359,104,144,35,31,0.84,107
2015/7/7,«·∂»Œ€»æ,127,347,95,133,33,29,0.88,111
2015/7/8,«·∂»Œ€»æ,136,349,101,145,28,29,0.93,118
2015/7/9,¡º,87,286,60,95,36,35,0.73,119
2015/7/10,«·∂»Œ€»æ,129,360,97,143,48,39,0.74,104
2015/7/11,«·∂»Œ€»æ,108,340,80,110,67,36,0.73,93
2015/7/12,«·∂»Œ€»æ,116,338,78,118,83,35,0.69,106
2015/7/13,¡º,74,185,49,91,42,54,0.57,64
2015/7/14,¡º,82,220,59,93,44,38,0.59,89
2015/7/15,¡º,68,217,47,58,16,26,0.5,70
2015/7/16,¡º,53,133,28,43,13,14,0.48,95
2015/7/17,¡º,74,292,51,67,12,24,0.73,82
