»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,88,232,54,121,56,35,1.3,26
2015/1/2,«·∂»Œ€»æ,126,526,91,184,76,51,1.89,20
2015/1/3,«·∂»Œ€»æ,146,254,107,193,72,54,2.05,19
2015/1/4,÷–∂»Œ€»æ,194,255,147,242,73,73,2.04,39
2015/1/5,—œ÷ÿŒ€»æ,302,340,251,350,87,71,2.92,12
2015/1/6,«·∂»Œ€»æ,129,317,80,172,85,43,2.22,16
2015/1/7,¡º,99,271,63,146,107,46,1.9,15
2015/1/8,÷–∂»Œ€»æ,151,305,114,211,85,56,2.62,24
2015/1/9,÷ÿ∂»Œ€»æ,219,327,169,286,77,72,2.73,24
2015/1/10,÷ÿ∂»Œ€»æ,233,339,183,311,128,71,2.81,36
2015/1/11,÷ÿ∂»Œ€»æ,202,331,157,265,82,64,2.55,29
2015/1/12,¡º,75,157,43,98,47,31,1.58,23
2015/1/13,¡º,59,115,33,64,28,29,1.16,32
2015/1/14,«·∂»Œ€»æ,103,198,76,127,41,40,1.69,25
2015/1/15,«·∂»Œ€»æ,134,245,100,152,44,30,1.5,41
2015/1/16,÷–∂»Œ€»æ,163,280,120,204,57,34,1.81,48
2015/1/17,«·∂»Œ€»æ,104,196,65,154,72,49,2.08,33
2015/1/18,«·∂»Œ€»æ,122,237,58,176,41,25,1.55,60
2015/1/19,«·∂»Œ€»æ,101,215,40,151,56,37,1.45,41
2015/1/20,¡º,100,194,64,147,50,42,1.31,44
2015/1/21,«·∂»Œ€»æ,137,259,103,173,62,51,1.84,25
2015/1/22,«·∂»Œ€»æ,121,236,90,153,72,49,1.71,25
2015/1/23,«·∂»Œ€»æ,138,211,104,152,46,46,1.69,36
2015/1/24,÷ÿ∂»Œ€»æ,218,315,170,252,62,64,2.33,25
2015/1/25,÷–∂»Œ€»æ,194,280,147,194,50,45,2.18,15
2015/1/26,÷ÿ∂»Œ€»æ,212,289,162,234,81,48,2.38,12
2015/1/27,¡º,74,152,38,88,46,27,1.54,37
2015/1/28,¡º,60,205,34,68,45,23,1.28,39
2015/1/29,«·∂»Œ€»æ,122,328,91,106,45,32,1.68,30
2015/1/30,÷–∂»Œ€»æ,157,344,116,174,83,44,1.75,29
2015/1/31,¡º,69,175,35,86,61,38,1.41,34
2015/2/1,¡º,83,193,57,106,43,43,1.56,29
2015/2/2,«·∂»Œ€»æ,133,266,100,143,40,46,1.71,34
2015/2/3,÷–∂»Œ€»æ,185,299,141,217,58,50,1.85,44
2015/2/4,÷ÿ∂»Œ€»æ,204,335,152,233,78,42,2.05,43
2015/2/5,¡º,79,171,43,105,59,39,1.43,38
2015/2/6,¡º,94,197,64,133,60,48,1.78,37
2015/2/7,«·∂»Œ€»æ,145,301,100,183,77,58,1.82,25
2015/2/8,¡º,71,156,32,88,49,35,1.57,40
2015/2/9,¡º,85,192,55,115,37,39,1.54,43
