»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,«·∂»Œ€»æ,102,270,58,152,118,60,4.6,16
2015/1/2,«·∂»Œ€»æ,110,455,69,166,112,65,4.76,11
2015/1/3,«·∂»Œ€»æ,114,182,83,162,107,68,5.23,22
2015/1/4,÷–∂»Œ€»æ,162,214,122,207,160,92,5.86,20
2015/1/5,¡º,99,122,53,139,50,36,4.04,46
2015/1/6,¡º,70,173,40,87,65,52,4.07,20
2015/1/7,¡º,83,208,51,113,83,54,4.72,22
2015/1/8,¡º,94,182,52,135,84,53,4.74,23
2015/1/9,¡º,87,124,49,121,79,56,4.83,22
2015/1/10,¡º,89,118,55,126,86,62,5.32,22
2015/1/11,¡º,95,154,64,132,105,70,5.36,21
2015/1/12,«·∂»Œ€»æ,123,262,92,155,96,67,5.6,26
2015/1/13,÷ÿ∂»Œ€»æ,211,351,163,227,79,74,6.44,31
2015/1/14,÷–∂»Œ€»æ,153,287,115,191,69,70,4.98,26
2015/1/15,«·∂»Œ€»æ,113,205,81,155,78,60,3.46,26
2015/1/16,¡º,77,110,44,102,74,50,2.71,24
2015/1/17,¡º,75,102,44,98,85,51,2.68,25
2015/1/18,¡º,80,105,41,108,58,47,3.02,35
2015/1/19,¡º,83,134,46,114,86,57,3.26,24
2015/1/20,¡º,92,163,43,131,73,45,2.93,38
2015/1/21,¡º,62,60,30,75,48,41,2.44,36
2015/1/22,¡º,83,117,50,105,82,54,3.08,25
2015/1/23,«·∂»Œ€»æ,110,142,81,137,87,66,3.29,26
2015/1/24,«·∂»Œ€»æ,140,208,105,162,96,67,3.38,22
2015/1/25,÷ÿ∂»Œ€»æ,209,302,159,223,82,70,3.7,14
2015/1/26,«·∂»Œ€»æ,143,202,106,170,60,57,3.08,24
2015/1/27,¡º,59,102,29,65,36,36,2.05,27
2015/1/28,¡º,81,291,58,75,59,42,2.73,18
2015/1/29,¡º,60,173,36,62,45,37,2.43,42
2015/1/30,¡º,61,138,39,67,59,49,2.38,33
2015/1/31,¡º,64,150,44,65,61,48,2.47,35
2015/2/1,÷–∂»Œ€»æ,156,339,118,146,73,57,3.32,38
2015/2/2,«·∂»Œ€»æ,141,283,106,137,81,60,3.16,39
2015/2/3,«·∂»Œ€»æ,116,210,87,119,54,48,3.18,40
2015/2/4,”≈,46,46,22,48,33,36,2.4,49
