»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,¡º,77,177,39,102,231,45,1.15,25
2015/1/2,«·∂»Œ€»æ,117,492,79,181,299,70,2.14,19
2015/1/3,«·∂»Œ€»æ,146,253,107,228,284,69,2.83,26
2015/1/4,«·∂»Œ€»æ,143,182,108,211,246,86,2.36,25
2015/1/5,«·∂»Œ€»æ,138,190,93,209,194,61,2.31,27
2015/1/6,¡º,72,182,30,89,127,49,1.02,26
2015/1/7,«·∂»Œ€»æ,114,301,83,163,233,70,2.47,21
2015/1/8,¡º,99,201,62,139,117,58,2.39,33
2015/1/9,¡º,63,58,36,77,107,48,1.38,32
2015/1/10,¡º,69,69,39,86,122,50,1.52,31
2015/1/11,¡º,95,152,70,129,121,69,2.45,25
2015/1/12,«·∂»Œ€»æ,113,246,85,153,87,63,2.72,21
2015/1/13,«·∂»Œ€»æ,121,253,90,167,124,66,2.68,22
2015/1/14,÷–∂»Œ€»æ,199,326,153,247,164,71,4.08,22
2015/1/15,÷–∂»Œ€»æ,193,298,149,222,140,59,3.16,30
2015/1/16,¡º,67,82,31,72,61,31,0.73,42
2015/1/17,¡º,71,86,40,90,97,49,1.67,26
2015/1/18,¡º,71,74,18,92,24,17,0.71,47
2015/1/19,¡º,57,52,24,65,95,47,1.67,28
2015/1/20,¡º,70,82,24,89,98,51,2.55,30
2015/1/21,”≈,36,10,15,35,37,27,0.89,46
2015/1/22,¡º,76,84,44,101,101,46,1.93,30
2015/1/23,«·∂»Œ€»æ,122,184,87,183,127,64,2.95,30
2015/1/24,÷–∂»Œ€»æ,175,263,129,258,86,79,3.74,23
2015/1/25,÷–∂»Œ€»æ,184,265,139,191,87,67,3.01,26
2015/1/26,÷–∂»Œ€»æ,187,265,142,202,112,56,2.04,31
2015/1/27,«·∂»Œ€»æ,101,257,67,136,43,39,0.83,38
2015/1/28,¡º,85,302,52,117,56,46,0.91,33
2015/1/29,¡º,85,264,59,103,87,36,1.06,38
2015/1/30,¡º,56,118,22,65,65,35,0.68,39
2015/1/31,¡º,94,271,55,132,103,54,1.61,27
2015/2/1,÷–∂»Œ€»æ,174,349,132,251,130,72,3.02,25
2015/2/2,÷ÿ∂»Œ€»æ,227,355,176,307,118,78,3.07,22
2015/2/3,÷–∂»Œ€»æ,163,279,122,190,143,51,1.42,34
2015/2/4,”≈,44,36,11,44,33,19,0.4,56
2015/2/5,”≈,48,41,17,50,81,37,0.78,39
2015/2/6,¡º,87,162,59,120,148,46,1.52,32
2015/2/7,¡º,59,54,24,66,61,42,1,37
2015/2/8,¡º,76,185,33,99,56,43,1.2,31
2015/2/9,¡º,76,156,45,99,78,50,1.6,33
2015/2/10,¡º,73,95,45,94,98,48,1.31,44
2015/2/11,¡º,63,56,24,73,51,37,0.98,51
2015/2/12,¡º,91,154,53,125,76,55,1.76,35
2015/2/13,¡º,79,124,47,106,61,45,1.86,42
2015/2/14,¡º,85,101,47,113,69,56,2.32,44
2015/2/15,÷–∂»Œ€»æ,161,283,119,222,81,75,3.23,40
2015/2/16,¡º,82,119,21,113,42,31,0.98,49
2015/2/17,¡º,74,128,37,95,70,39,1.65,48
2015/2/18,¡º,82,159,54,111,55,41,1.82,46
