»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,«·∂»Œ€»æ,133,324,99,167,254,71,1.91,15
2015/1/2,÷–∂»Œ€»æ,196,635,150,258,312,72,2.95,15
2015/1/3,÷ÿ∂»Œ€»æ,214,337,164,280,309,81,3.33,15
2015/1/4,÷–∂»Œ€»æ,193,254,147,250,292,76,3,16
2015/1/5,«·∂»Œ€»æ,124,165,85,188,228,56,1.78,16
2015/1/6,¡º,81,220,52,108,125,43,1.6,18
2015/1/7,«·∂»Œ€»æ,139,335,105,173,233,74,2.22,15
2015/1/8,«·∂»Œ€»æ,119,253,83,148,172,55,1.68,27
2015/1/9,¡º,90,133,59,120,138,49,1.44,24
2015/1/10,«·∂»Œ€»æ,145,248,107,197,168,67,2.32,17
2015/1/11,÷ÿ∂»Œ€»æ,207,338,159,268,204,81,2.7,18
2015/1/12,÷ÿ∂»Œ€»æ,201,348,152,270,237,80,2.75,18
2015/1/13,÷ÿ∂»Œ€»æ,218,354,169,292,240,82,2.9,15
2015/1/14,«·∂»Œ€»æ,105,212,68,157,191,53,1.44,19
2015/1/15,«·∂»Œ€»æ,106,193,75,146,170,54,1.49,24
2015/1/16,¡º,85,138,57,112,219,56,1.21,20
2015/1/17,«·∂»Œ€»æ,119,232,89,154,220,60,1.65,15
2015/1/18,¡º,64,61,27,77,80,30,0.73,42
2015/1/19,«·∂»Œ€»æ,121,271,89,161,158,64,2.15,22
2015/1/20,¡º,92,162,50,115,84,35,1.36,35
2015/1/21,¡º,72,86,43,88,176,50,1.34,22
2015/1/22,¡º,94,156,66,130,176,52,1.86,17
2015/1/23,«·∂»Œ€»æ,102,120,72,147,135,54,1.93,23
2015/1/24,¡º,81,80,52,107,180,57,1.37,22
2015/1/25,¡º,92,106,63,122,165,62,1.5,24
2015/1/26,¡º,89,109,41,121,96,30,0.83,34
2015/1/27,¡º,57,99,24,62,63,24,0.82,32
2015/1/28,¡º,70,256,45,86,69,33,1.03,23
2015/1/29,¡º,74,234,45,92,136,37,0.92,30
2015/1/30,¡º,85,238,52,112,118,40,1.2,23
2015/1/31,¡º,60,121,31,67,102,32,0.93,29
2015/2/1,¡º,82,190,56,104,108,39,1.21,28
2015/2/2,«·∂»Œ€»æ,109,230,81,130,102,39,1.55,27
2015/2/3,«·∂»Œ€»æ,129,237,97,152,170,47,1.76,23
2015/2/4,¡º,60,96,34,64,105,38,0.84,33
2015/2/5,¡º,88,202,64,105,148,57,1.36,24
2015/2/6,¡º,91,179,66,113,160,55,1.36,23
2015/2/7,¡º,60,56,34,67,88,33,0.68,39
2015/2/8,¡º,71,155,40,88,85,37,1.02,31
2015/2/9,¡º,88,209,59,123,136,52,1.44,31
2015/2/10,«·∂»Œ€»æ,102,195,70,139,156,58,1.53,25
2015/2/11,¡º,93,148,37,134,83,30,0.87,40
2015/2/12,¡º,62,73,27,75,58,26,0.77,44
2015/2/13,¡º,74,101,47,93,143,52,1.1,27
2015/2/14,«·∂»Œ€»æ,110,165,70,161,132,51,1.77,26
2015/2/15,¡º,96,165,31,140,73,26,0.74,42
2015/2/16,¡º,81,116,35,111,88,36,1.07,36
2015/2/17,¡º,75,129,42,98,95,31,1.4,36
2015/2/18,¡º,71,113,36,88,97,24,1.11,42
2015/2/19,÷–∂»Œ€»æ,151,264,110,216,77,27,1.5,52
2015/2/20,¡º,96,290,62,128,68,23,1.05,45
2015/2/21,«·∂»Œ€»æ,131,311,28,204,44,11,0.57,56
2015/2/22,«·∂»Œ€»æ,104,217,26,155,77,13,0.79,44
2015/2/23,¡º,90,233,40,129,105,29,1.33,37
2015/2/24,¡º,90,244,29,129,34,16,0.76,53
2015/2/25,¡º,87,251,34,121,85,20,0.89,40
2015/2/26,¡º,58,176,22,67,58,13,0.76,41
2015/2/27,¡º,66,265,31,80,103,28,0.87,29
2015/2/28,¡º,56,210,22,64,46,18,0.63,45
2015/3/1,¡º,60,169,32,69,87,36,0.92,33
2015/3/2,÷–∂»Œ€»æ,162,352,38,229,46,21,0.84,41
