»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,÷–∂»Œ€»æ,166,339,127,172,128,44,2.36,31
2015/1/2,¡º,99,392,72,107,122,40,1.27,43
2015/1/3,¡º,71,69,45,79,100,28,1.17,40
2015/1/4,«·∂»Œ€»æ,102,100,51,149,64,34,0.96,56
2015/1/5,«·∂»Œ€»æ,111,152,82,139,141,49,1.96,26
2015/1/6,¡º,81,218,48,102,82,31,0.97,46
2015/1/7,—œ÷ÿŒ€»æ,268,370,87,373,119,36,1.34,34
2015/1/8,¡º,74,120,48,91,123,32,0.98,39
2015/1/9,¡º,70,78,44,79,113,31,0.94,41
2015/1/10,¡º,76,84,50,92,143,37,1.43,37
2015/1/11,«·∂»Œ€»æ,102,172,73,122,118,45,1.96,27
2015/1/12,¡º,73,153,43,85,130,26,0.89,37
2015/1/13,«·∂»Œ€»æ,130,271,96,185,130,41,1.73,34
2015/1/14,÷–∂»Œ€»æ,160,297,118,212,87,34,1.92,32
2015/1/15,«·∂»Œ€»æ,140,252,105,180,125,39,1.57,35
2015/1/16,«·∂»Œ€»æ,115,202,83,134,130,41,1.32,28
2015/1/17,÷–∂»Œ€»æ,159,311,69,205,57,22,0.77,63
2015/1/18,¡º,85,122,53,114,141,30,0.9,63
2015/1/19,«·∂»Œ€»æ,122,272,89,144,143,42,1.76,38
2015/1/20,«·∂»Œ€»æ,149,311,113,165,148,46,1.91,38
2015/1/21,¡º,97,166,71,109,125,36,1.07,47
2015/1/22,«·∂»Œ€»æ,114,221,81,144,127,40,1.16,36
2015/1/23,÷–∂»Œ€»æ,155,254,76,202,99,28,0.89,36
2015/1/24,«·∂»Œ€»æ,130,189,85,190,124,34,0.99,39
2015/1/25,«·∂»Œ€»æ,106,135,66,151,91,24,0.76,50
2015/1/26,¡º,93,116,64,122,90,28,1.13,46
2015/1/27,«·∂»Œ€»æ,103,261,49,155,52,16,0.49,52
2015/1/28,¡º,90,314,57,125,54,18,0.54,44
2015/1/29,«·∂»Œ€»æ,104,298,74,141,103,26,1,42
2015/1/30,«·∂»Œ€»æ,129,325,96,168,109,30,1.15,31
2015/1/31,«·∂»Œ€»æ,122,322,91,146,87,33,1.27,37
2015/2/1,«·∂»Œ€»æ,132,306,99,159,96,28,1.14,38
2015/2/2,«·∂»Œ€»æ,111,232,83,141,80,27,0.93,53
2015/2/3,«·∂»Œ€»æ,139,254,104,161,82,32,1.3,50
2015/2/4,«·∂»Œ€»æ,102,187,74,121,105,30,0.87,51
2015/2/5,¡º,97,228,72,106,77,27,0.76,50
2015/2/6,«·∂»Œ€»æ,132,310,91,181,65,28,0.95,41
2015/2/7,«·∂»Œ€»æ,125,262,85,192,104,29,0.86,52
2015/2/8,«·∂»Œ€»æ,115,303,85,142,104,31,1.18,55
2015/2/9,«·∂»Œ€»æ,136,327,102,166,108,32,1.35,53
2015/2/10,÷–∂»Œ€»æ,190,347,109,276,122,37,1.32,50
2015/2/11,«·∂»Œ€»æ,137,259,80,191,105,30,1.39,51
2015/2/12,«·∂»Œ€»æ,135,242,100,161,113,39,1.98,44
2015/2/13,«·∂»Œ€»æ,105,209,77,121,116,35,1.48,43
2015/2/14,÷–∂»Œ€»æ,199,321,117,201,42,13,0.65,66
2015/2/15,¡º,72,93,47,82,66,19,0.6,77
2015/2/16,¡º,84,126,58,98,139,29,1.12,53
2015/2/17,«·∂»Œ€»æ,101,207,72,118,113,27,1.16,50
2015/2/18,«·∂»Œ€»æ,149,328,79,221,88,20,0.75,74
2015/2/19,«·∂»Œ€»æ,132,229,77,203,79,13,0.65,67
2015/2/20,«·∂»Œ€»æ,108,304,68,158,100,20,0.92,60
2015/2/21,¡º,73,200,40,94,74,13,0.56,80
2015/2/22,¡º,87,180,50,122,55,13,0.78,65
2015/2/23,¡º,80,195,48,107,93,18,0.81,70
2015/2/24,¡º,71,174,38,90,44,10,0.49,93
2015/2/25,¡º,61,171,36,70,35,11,0.59,78
2015/2/26,¡º,70,213,40,84,63,15,0.8,66
2015/2/27,¡º,66,264,41,80,44,9,0.74,78
2015/2/28,¡º,76,282,50,84,104,23,0.72,76
2015/3/1,¡º,92,285,59,117,74,22,1,69
2015/3/2,«·∂»Œ€»æ,121,324,73,175,51,22,1.29,67
2015/3/3,¡º,92,248,48,129,57,13,0.54,80
2015/3/4,«·∂»Œ€»æ,133,350,74,211,90,26,1.32,72
2015/3/5,«·∂»Œ€»æ,128,352,90,185,88,27,1.28,61
2015/3/6,«·∂»Œ€»æ,127,325,83,193,88,30,1.27,64
2015/3/7,«·∂»Œ€»æ,148,340,96,237,121,33,1.44,57
2015/3/8,÷–∂»Œ€»æ,158,341,85,260,82,25,1.18,63
2015/3/9,«·∂»Œ€»æ,140,340,75,228,76,14,0.72,78
2015/3/10,«·∂»Œ€»æ,117,326,72,175,59,25,0.92,74
2015/3/11,«·∂»Œ€»æ,120,335,83,166,85,23,1.23,74
2015/3/12,÷–∂»Œ€»æ,175,355,93,271,76,23,1,94
2015/3/13,÷–∂»Œ€»æ,170,339,79,253,31,13,0.77,87
2015/3/14,÷–∂»Œ€»æ,176,339,83,266,85,21,0.87,75
2015/3/15,÷–∂»Œ€»æ,159,322,91,248,108,17,1.08,64
2015/3/16,—œ÷ÿŒ€»æ,316,359,148,429,114,30,1.5,50
2015/3/17,«·∂»Œ€»æ,126,307,65,184,45,11,1.83,81
2015/3/18,«·∂»Œ€»æ,123,338,78,176,93,21,1.33,55
2015/3/19,¡º,84,225,41,109,48,16,0.71,88
2015/3/20,«·∂»Œ€»æ,126,295,69,200,78,30,1.25,69
2015/3/21,«·∂»Œ€»æ,124,302,58,196,74,21,0.66,76
2015/3/22,«·∂»Œ€»æ,102,245,54,151,62,28,0.94,58
2015/3/23,¡º,93,304,44,134,75,24,0.8,74
2015/3/24,¡º,84,256,42,110,60,28,0.75,76
2015/3/25,¡º,82,257,42,102,72,26,0.83,73
2015/3/26,«·∂»Œ€»æ,117,328,60,181,79,32,0.99,73
2015/3/27,«·∂»Œ€»æ,118,315,57,184,46,23,0.81,70
2015/3/28,«·∂»Œ€»æ,108,263,55,161,84,32,0.8,68
2015/3/29,¡º,98,207,60,141,62,25,0.75,66
2015/3/30,«·∂»Œ€»æ,103,261,58,152,34,26,0.69,67
2015/3/31,—œ÷ÿŒ€»æ,401,358,179,580,39,18,0.71,93
2015/4/1,—œ÷ÿŒ€»æ,484,361,423,255,27,16,1.88,74
2015/4/2,÷ÿ∂»Œ€»æ,235,354,107,343,16,10,0.64,69
2015/4/3,«·∂»Œ€»æ,139,347,69,162,15,16,0.69,66
2015/4/4,¡º,97,293,52,132,19,13,0.48,88
2015/4/5,¡º,70,204,40,87,30,18,0.63,82
2015/4/6,¡º,99,306,45,144,20,16,0.6,89
2015/4/7,¡º,90,330,46,128,22,19,0.5,93
2015/4/8,¡º,99,325,45,146,16,13,0.57,106
2015/4/9,¡º,73,239,33,88,24,15,0.52,92
2015/4/10,«·∂»Œ€»æ,119,328,47,160,25,17,0.83,76
2015/4/11,¡º,78,215,30,102,17,11,0.44,100
2015/4/12,¡º,61,119,26,59,24,22,0.82,73
2015/4/13,¡º,62,161,26,72,22,15,0.61,80
2015/4/14,«·∂»Œ€»æ,129,351,57,205,27,28,1.02,87
2015/4/15,«·∂»Œ€»æ,113,286,53,175,21,20,0.91,77
2015/4/16,÷–∂»Œ€»æ,158,327,69,260,23,12,0.48,94
2015/4/17,«·∂»Œ€»æ,141,331,58,225,15,14,0.48,88
2015/4/18,”≈,49,37,26,43,14,6,0.54,94
2015/4/19,¡º,71,240,28,72,18,10,0.52,122
