»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,÷–∂»Œ€»æ,198,351,149,194,22,30,1.52,38
2015/1/2,÷ÿ∂»Œ€»æ,216,654,166,226,19,30,1.63,39
2015/1/3,÷ÿ∂»Œ€»æ,244,350,193,263,65,30,1.93,51
2015/1/4,÷ÿ∂»Œ€»æ,247,322,196,267,28,24,1.8,33
2015/1/5,÷ÿ∂»Œ€»æ,206,292,159,217,31,27,1.68,37
2015/1/6,¡º,76,197,55,80,21,28,1.09,46
2015/1/7,¡º,91,245,67,97,25,33,1.09,42
2015/1/8,¡º,91,173,67,88,20,31,0.95,44
2015/1/9,«·∂»Œ€»æ,114,195,85,126,20,32,1.29,53
2015/1/10,÷–∂»Œ€»æ,151,254,115,166,28,34,1.38,58
2015/1/11,«·∂»Œ€»æ,125,224,94,136,20,34,1.37,55
2015/1/12,«·∂»Œ€»æ,132,284,99,156,26,44,1.61,77
2015/1/13,÷–∂»Œ€»æ,192,342,144,209,35,41,1.63,55
2015/1/14,÷ÿ∂»Œ€»æ,230,344,179,254,29,42,1.75,51
2015/1/15,÷ÿ∂»Œ€»æ,237,329,186,246,26,36,1.92,41
2015/1/16,—œ÷ÿŒ€»æ,265,353,214,271,22,40,1.79,45
2015/1/17,÷ÿ∂»Œ€»æ,234,367,187,226,21,34,1.48,42
2015/1/18,÷–∂»Œ€»æ,198,361,151,173,14,29,1.35,43
2015/1/19,÷ÿ∂»Œ€»æ,204,361,156,185,21,31,1.41,42
2015/1/20,÷ÿ∂»Œ€»æ,212,354,164,203,34,34,1.48,44
2015/1/21,÷ÿ∂»Œ€»æ,223,363,174,218,20,35,1.57,48
2015/1/22,÷ÿ∂»Œ€»æ,233,357,183,236,34,41,1.74,47
2015/1/23,÷ÿ∂»Œ€»æ,229,357,181,225,21,30,1.59,43
2015/1/24,—œ÷ÿŒ€»æ,256,350,205,253,21,37,1.63,37
