日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015/1/1,轻度污染,121,314,90,158,33,39,0.52,58
2015/1/2,轻度污染,102,416,70,148,38,39,0.75,46
2015/1/3,轻度污染,134,224,101,187,82,53,1.81,23
2015/1/4,轻度污染,149,201,112,182,79,57,1.25,37
2015/1/5,良,84,91,61,86,27,36,1.23,30
2015/1/6,良,55,100,38,53,15,24,0.56,41
2015/1/7,轻度污染,102,278,76,98,21,26,0.84,42
2015/1/8,良,76,128,55,75,15,25,0.66,45
2015/1/9,良,70,81,50,67,19,35,0.83,12
2015/1/10,良,91,124,67,99,39,43,1.08,13
2015/1/11,良,91,141,67,82,34,45,0.94,18
2015/1/12,良,68,137,47,69,27,38,0.79,32
2015/1/13,良,92,189,66,112,43,43,1.09,38
2015/1/14,轻度污染,117,235,88,123,43,47,0.95,42
2015/1/15,轻度污染,150,262,113,155,49,49,1.27,28
2015/1/16,中度污染,191,311,145,197,75,54,1.72,14
2015/1/17,轻度污染,125,243,94,122,30,33,0.57,62
2015/1/18,轻度污染,140,297,106,136,32,48,1.07,31
2015/1/19,轻度污染,107,238,79,122,29,45,0.98,21
2015/1/20,良,97,180,71,118,64,48,0.95,23
2015/1/21,轻度污染,126,229,94,146,57,51,1.19,36
2015/1/22,轻度污染,137,275,103,164,52,55,1.29,41
2015/1/23,轻度污染,137,210,104,151,52,49,1.09,44
2015/1/24,中度污染,153,228,116,153,40,40,1.12,56
2015/1/25,轻度污染,147,206,111,140,28,39,1.12,30
2015/1/26,良,68,49,48,65,12,25,1.07,17
2015/1/27,优,48,69,32,44,10,23,1.16,24
2015/1/28,优,27,13,16,26,7,24,1.48,26
2015/1/29,优,33,28,18,31,11,19,1.01,13
2015/1/30,优,38,39,26,34,13,18,0.81,32
2015/1/31,良,61,135,43,55,21,19,0.93,47
2015/2/1,优,37,14,25,34,16,17,0.89,31
2015/2/2,优,43,20,28,42,18,23,0.97,20
2015/2/3,优,48,30,33,44,20,26,1.01,15
2015/2/4,良,55,74,38,50,17,29,1.01,21
2015/2/5,良,95,221,70,90,29,32,0.79,59
2015/2/6,轻度污染,106,236,79,123,46,46,1.11,26
2015/2/7,轻度污染,106,215,79,120,52,50,1.06,32
2015/2/8,轻度污染,101,273,75,102,39,40,0.92,48
2015/2/9,良,100,259,74,106,36,30,0.77,86
2015/2/10,轻度污染,137,291,103,151,59,47,1.19,60
2015/2/11,轻度污染,133,251,99,157,61,52,1.44,43
2015/2/12,轻度污染,120,213,90,157,70,60,1.57,43
2015/2/13,中度污染,161,295,121,185,81,57,1.52,41
2015/2/14,良,87,108,62,88,29,26,0.98,59
2015/2/15,轻度污染,148,269,111,144,32,40,1.22,54
2015/2/16,中度污染,171,316,128,161,37,41,1.22,55
2015/2/17,良,82,159,60,78,16,18,0.84,57
2015/2/18,轻度污染,101,236,75,97,24,21,0.94,49
2015/2/19,良,76,104,55,70,9,14,0.87,56
2015/2/20,良,53,130,37,49,10,16,0.96,35
2015/2/21,优,47,91,32,43,9,10,0.84,41
2015/2/22,优,39,37,26,35,8,12,0.75,47
2015/2/23,优,37,39,25,32,7,14,0.75,40
2015/2/24,优,43,62,29,41,10,15,0.77,30
2015/2/25,优,47,103,31,44,17,19,0.89,28
2015/2/26,优,35,41,22,31,8,13,0.64,44
2015/2/27,优,24,18,15,20,8,16,0.74,34
2015/2/28,优,29,51,19,25,10,15,0.94,27
2015/3/1,优,39,61,25,35,13,15,0.76,49
2015/3/2,良,65,137,45,67,31,21,0.89,48
2015/3/3,良,65,137,45,63,28,28,0.93,41
2015/3/4,良,74,281,49,93,19,17,0.69,72
2015/3/5,优,42,85,28,36,10,17,0.68,52
2015/3/6,良,64,155,45,59,17,19,0.81,45
2015/3/7,良,66,141,47,65,17,17,0.82,51
2015/3/8,良,67,154,47,70,25,31,0.96,49
